t2_ms,amplitude,normalized_amplitude
0.01,5.5908832853274895e-18,7.00979011174445e-17
0.010843659686896103,2.4248054064789088e-17,3.0401952775239713e-16
0.01175849554052157,1.538760046937295e-17,1.9292810117635388e-16
0.012750512407130129,2.1852927970193843e-17,2.739896910388743e-16
0.013826221737646556,3.9015754653394675e-17,4.891753900306891e-16
0.014992684327860457,6.340170624901229e-17,7.949238623857621e-16
0.01625755666443794,1.0856745426617421e-16,1.3612072163436652e-15
0.01762914118095948,1.5770296099557154e-16,1.9772629836160583e-15
0.019116440753857017,1.8856448407337446e-16,2.3642014837845233e-15
0.02072921779595371,2.2115041241525692e-16,2.772760394095528e-15
0.02247805833548725,2.603453502429627e-16,3.2641823637440984e-15
0.024374441501222206,2.9425106248136573e-16,3.6892885844447665e-15
0.026430814869741057,3.2374166247716234e-16,4.0590385965447546e-15
0.0286606761694825,3.4304348377963017e-16,4.3010427830026946e-15
0.03107866187782014,3.563725531460373e-16,4.468161239738505e-15
0.03370064329271928,3.614593695947561e-16,4.531939204369007e-15
0.03654383070957257,3.6360936321487337e-16,4.558895596140167e-15
0.03962688638701478,3.5945258698305376e-16,4.506778377018435e-15
0.04297004704320839,3.508791138352221e-16,4.3992850808290895e-15
0.046595256686646824,3.3914088238946827e-16,4.2521123810631115e-15
0.0505263106533568,3.2407660982782593e-16,4.0632381308702134e-15
0.054789011795939424,3.056728815847008e-16,3.83249413985103e-15
0.05941133984965034,2.835908091251375e-16,3.55563145952984e-15
0.0644236350872137,2.590382681650136e-16,3.2477943074072918e-15
0.0698587974678525,2.3313509236937324e-16,2.923023039097007e-15
0.07575250258771912,2.0668543593440125e-16,2.591400054543781e-15
0.08214343584919426,1.7931551799719097e-16,2.248238928968119e-15
0.0890735463861044,1.5115931940807346e-16,1.8952195000484043e-15
0.09658832241158703,1.2231733839551605e-16,1.5336018039045226e-15
0.10473708979594497,9.368095957108054e-17,1.1745619261691068e-15
0.11357333583431052,6.631822084541596e-17,8.314908127856778e-16
0.12315506032928256,4.1839969947450676e-17,5.245851015760296e-16
0.13354515629298988,2.1725531316340682e-17,2.723924053169691e-16
0.14481182276745339,7.260942523586135e-18,9.10369265574778e-17
0.15702901247293774,0.0,0.0
0.17027691722258995,0.0,0.0
0.18464249428955434,0.0,0.0
0.20022003718155845,0.0,0.0
0.21711179456945043,0.0,0.0
0.2354286414322418,0.0,0.0
0.25529080682395167,0.0,0.0
0.2768286630392065,0.0,0.0
0.3001835813575589,0.0,0.0
0.3255088599835058,0.0,0.0
0.352970730273065,0.0,0.0
0.3827494478516313,0.0,0.0
0.41504047578504744,0.0,0.0
0.4500557675700497,0.0,0.0
0.48802515836544313,0.0,0.0
0.5291978735958442,0.0,0.0
0.5738441648302396,0.0,0.0
0.6222570836730228,0.0,0.0
0.6747544053110693,0.0,0.0
0.7316807143427196,0.0,0.0
0.7934096665797492,0.0,0.0
0.8603464416684504,0.0,0.0
0.9329304026284686,0.0,0.0
1.011637979766207,0.0,0.0
1.096985797892384,0.0,0.0
