fit_time_ms,fit_amplitude,residual
5.0,0.9734027749801062,-0.0009673219411643341
10.0,0.9693997575114528,-0.000817430041920697
17.5,0.9634535070397706,-0.0006096604880286849
27.5,0.9556302431939037,-0.00037062210423011166
40.0,0.946012542699523,-0.00011902006818009792
60.0,0.9309747112433482,0.0001847810937929406
90.0,0.9091593760075958,0.00044110526951879336
137.5,0.8762232152420919,0.0005356813640510216
212.5,0.8275894804345181,0.00022036196578156808
330.0,0.7580646280879049,-0.0004391108950823064
510.0,0.663951387151166,-0.0007819603100570616
787.5,0.541976161989087,0.000975537631498602
1220.0,0.3952258088656279,-0.00030367081205906477
