fit_time_ms,fit_amplitude,residual
5.0,0.969138881050146,-0.0008602417189153
10.0,0.9646058089272564,-0.0007479316551344262
17.5,0.9578678829303076,-0.0005880071904253992
27.5,0.9489964015425201,-0.000400904799196522
40.0,0.9380821405610937,-0.00019554285990985854
60.0,0.9210067728742928,6.815573824214827e-05
90.0,0.8962343213480927,0.000316594989085206
137.5,0.858894260375586,0.00047839364135426887
212.5,0.8040586554203007,0.0003084212793204033
330.0,0.7266275485094411,-0.00021562138486208582
510.0,0.6240081902056602,-0.0006849091739158375
787.5,0.4949262904824935,0.0006488432844056757
1220.0,0.3456222554903272,-0.00018233789653870902
