fit_time_ms,fit_amplitude,residual
5.0,0.9736779106131853,-0.0009016174364170348
10.0,0.9698901762285,-0.0009318976527645795
17.5,0.9642379875001605,-0.000971075846800229
27.5,0.9567562781310878,-0.0010192868066701832
40.0,0.9474910298178276,-0.0010657949887321605
60.0,0.9328649531700848,-0.0011142497630468595
90.0,0.911375198402451,-0.001147957945906386
137.5,0.8784215703039067,-0.0010926472668352227
212.5,0.8289482761455429,-0.0008710042185869904
330.0,0.7573162120434076,-0.0002566716699321514
510.0,0.6600802110180848,0.0008243503033175115
787.5,0.5353374000950076,0.0025937831397955247
1220.0,0.388395797260382,-0.0016188221757604815
