slice_index_0_based,slice_index_1_based,pore_px,solid_px,total_px,porosity
126,127,27333,95167,122500,0.2231265306122449
127,128,28621,93879,122500,0.2336408163265306
128,129,30095,92405,122500,0.2456734693877551
129,130,30508,91992,122500,0.24904489795918366
130,131,29519,92981,122500,0.24097142857142856
131,132,28337,94163,122500,0.23132244897959184
132,133,26566,95934,122500,0.21686530612244898
133,134,26461,96039,122500,0.2160081632653061
134,135,26981,95519,122500,0.2202530612244898
135,136,27025,95475,122500,0.2206122448979592
136,137,26948,95552,122500,0.21998367346938774
137,138,26705,95795,122500,0.218
138,139,26164,96336,122500,0.21358367346938775
139,140,24717,97783,122500,0.20177142857142857
140,141,24335,98165,122500,0.1986530612244898
141,142,23986,98514,122500,0.19580408163265306
142,143,23841,98659,122500,0.1946204081632653
143,144,24663,97837,122500,0.20133061224489796
144,145,24135,98365,122500,0.1970204081632653
145,146,22783,99717,122500,0.18598367346938777
146,147,22439,100061,122500,0.18317551020408163
147,148,21936,100564,122500,0.17906938775510203
148,149,21764,100736,122500,0.177665306122449
149,150,22130,100370,122500,0.1806530612244898
150,151,22391,100109,122500,0.18278367346938776
151,152,22446,100054,122500,0.1832326530612245
152,153,22524,99976,122500,0.18386938775510203
153,154,22508,99992,122500,0.1837387755102041
154,155,22415,100085,122500,0.1829795918367347
155,156,21649,100851,122500,0.1767265306122449
156,157,22370,100130,122500,0.1826122448979592
157,158,21728,100772,122500,0.17737142857142857
158,159,22252,100248,122500,0.18164897959183673
159,160,22625,99875,122500,0.1846938775510204
160,161,22515,99985,122500,0.18379591836734693
161,162,22566,99934,122500,0.18421224489795918
162,163,23334,99166,122500,0.19048163265306123
163,164,24148,98352,122500,0.1971265306122449
164,165,24661,97839,122500,0.20131428571428572
165,166,25329,97171,122500,0.20676734693877552
166,167,25860,96640,122500,0.21110204081632652
167,168,26063,96437,122500,0.21275918367346938
168,169,25703,96797,122500,0.2098204081632653
169,170,25157,97343,122500,0.20536326530612245
170,171,25451,97049,122500,0.20776326530612244
171,172,26534,95966,122500,0.21660408163265307
172,173,27385,95115,122500,0.22355102040816327
173,174,27489,95011,122500,0.2244
174,175,27620,94880,122500,0.22546938775510203
175,176,27318,95182,122500,0.22300408163265306
176,177,26769,95731,122500,0.21852244897959183
177,178,26781,95719,122500,0.2186204081632653
178,179,26913,95587,122500,0.21969795918367346
179,180,26365,96135,122500,0.21522448979591838
180,181,27425,95075,122500,0.22387755102040816
181,182,28186,94314,122500,0.23008979591836734
182,183,28368,94132,122500,0.23157551020408162
183,184,28306,94194,122500,0.23106938775510205
184,185,28314,94186,122500,0.23113469387755103
185,186,28119,94381,122500,0.22954285714285713
186,187,27472,95028,122500,0.2242612244897959
187,188,27585,94915,122500,0.22518367346938775
188,189,28193,94307,122500,0.2301469387755102
189,190,27827,94673,122500,0.22715918367346938
190,191,27478,95022,122500,0.22431020408163266
191,192,27904,94596,122500,0.22778775510204083
192,193,27514,94986,122500,0.22460408163265305
193,194,27065,95435,122500,0.22093877551020408
194,195,27397,95103,122500,0.22364897959183674
195,196,27878,94622,122500,0.22757551020408162
196,197,27370,95130,122500,0.22342857142857142
197,198,27715,94785,122500,0.22624489795918368
198,199,28069,94431,122500,0.22913469387755103
199,200,27828,94672,122500,0.22716734693877552
200,201,26802,95698,122500,0.21879183673469388
201,202,26034,96466,122500,0.21252244897959183
202,203,26686,95814,122500,0.2178448979591837
203,204,26821,95679,122500,0.2189469387755102
204,205,26886,95614,122500,0.21947755102040817
205,206,26572,95928,122500,0.21691428571428573
206,207,26992,95508,122500,0.22034285714285715
207,208,29335,93165,122500,0.23946938775510204
208,209,30293,92207,122500,0.24728979591836733
209,210,29909,92591,122500,0.24415510204081634
210,211,30021,92479,122500,0.24506938775510204
211,212,30497,92003,122500,0.24895510204081633
212,213,29953,92547,122500,0.2445142857142857
213,214,29200,93300,122500,0.2383673469387755
214,215,28309,94191,122500,0.2310938775510204
215,216,27305,95195,122500,0.22289795918367347
216,217,27304,95196,122500,0.22288979591836736
217,218,27372,95128,122500,0.22344489795918368
218,219,27464,95036,122500,0.22419591836734695
219,220,27972,94528,122500,0.22834285714285715
220,221,28688,93812,122500,0.23418775510204082
221,222,29322,93178,122500,0.23936326530612245
222,223,29325,93175,122500,0.23938775510204083
223,224,28430,94070,122500,0.23208163265306123
224,225,28278,94222,122500,0.2308408163265306
225,226,28222,94278,122500,0.23038367346938776
226,227,28629,93871,122500,0.2337061224489796
227,228,28466,94034,122500,0.23237551020408162
228,229,28514,93986,122500,0.23276734693877552
229,230,28994,93506,122500,0.23668571428571428
230,231,28935,93565,122500,0.23620408163265305
231,232,28136,94364,122500,0.2296816326530612
