fit_time_ms,fit_amplitude,residual
5.0,0.9730375497567392,-0.0007070530860269209
10.0,0.9691948383779532,-0.0007440629952426558
17.5,0.9634610948428408,-0.0007932036005829923
27.5,0.9558723280513588,-0.000854630292751013
40.0,0.9464759243486196,-0.0009172406959769841
60.0,0.9316460411098868,-0.000990408843359214
90.0,0.9098641208684886,-0.0010587701498293578
137.5,0.8764796645202395,-0.0010502961507086184
212.5,0.8263999594217198,-0.0008844103792849944
330.0,0.7539803353417363,-0.0003153740869910049
510.0,0.6558605501411208,0.0007567186530097469
787.5,0.5303361543142338,0.002560621432380339
1220.0,0.3830822173095754,-0.001580209540775701
