group_id,start_index,end_index,representative_index,slice_count,porosity_min,porosity_max,porosity_mean
0,0,1,0,2,0.24891428571428573,0.25626122448979594,0.25258775510204085
1,2,4,3,3,0.263069387755102,0.27154285714285714,0.26811700680272105
2,5,7,6,3,0.27129795918367344,0.28066938775510203,0.2758530612244898
3,8,9,8,2,0.2696081632653061,0.27177142857142855,0.27068979591836734
4,10,11,10,2,0.2746530612244898,0.280734693877551,0.2776938775510204
5,12,14,13,3,0.2652816326530612,0.27048163265306124,0.2677387755102041
6,15,18,16,4,0.2576,0.26195102040816326,0.25986530612244896
7,19,20,19,2,0.2505469387755102,0.2507020408163265,0.25062448979591834
8,21,24,22,4,0.2377877551020408,0.24629387755102042,0.24076530612244898
9,25,29,27,5,0.25204897959183675,0.2580816326530612,0.2553485714285714
10,30,35,32,6,0.25612244897959185,0.26591020408163263,0.2598748299319728
11,36,41,38,6,0.24605714285714286,0.25464489795918366,0.2510095238095238
12,42,44,43,3,0.25395102040816325,0.25917551020408164,0.2568027210884354
13,45,45,45,1,0.24866938775510203,0.24866938775510203,0.24866938775510203
14,46,50,48,5,0.2385877551020408,0.24773061224489795,0.24411591836734692
15,51,53,52,3,0.2552326530612245,0.2649061224489796,0.26097959183673464
16,54,55,54,2,0.25435102040816326,0.25795102040816326,0.2561510204081633
17,56,61,58,6,0.26463673469387755,0.27431020408163265,0.27064625850340135
18,62,63,62,2,0.27114285714285713,0.27653877551020406,0.27384081632653057
19,64,66,65,3,0.26365714285714287,0.27183673469387754,0.26696598639455776
20,67,74,70,8,0.27736326530612243,0.286269387755102,0.282915306122449
21,75,76,75,2,0.27940408163265307,0.28868571428571427,0.28404489795918364
22,77,78,77,2,0.27131428571428573,0.2729551020408163,0.272134693877551
23,79,79,79,1,0.2618367346938775,0.2618367346938775,0.2618367346938775
24,80,83,81,4,0.24760816326530613,0.2529387755102041,0.2500244897959184
25,84,85,84,2,0.25870204081632653,0.26692244897959183,0.2628122448979592
26,86,86,86,1,0.2695183673469388,0.2695183673469388,0.2695183673469388
27,87,89,88,3,0.2805061224489796,0.28877551020408165,0.28568163265306123
28,90,93,91,4,0.2855673469387755,0.29377142857142857,0.29101632653061227
29,94,97,95,4,0.28224489795918367,0.2900244897959184,0.28606530612244896
30,98,99,98,2,0.2708163265306123,0.2794530612244898,0.2751346938775511
31,100,101,100,2,0.2659183673469388,0.2671265306122449,0.2665224489795919
32,102,104,103,3,0.2502122448979592,0.258065306122449,0.25367891156462585
33,105,108,106,4,0.25674285714285716,0.26376326530612243,0.26108571428571425
34,109,116,112,8,0.24681632653061225,0.2567755102040816,0.25174693877551024
35,117,120,118,4,0.23335510204081633,0.24114285714285713,0.23703061224489794
36,121,122,121,2,0.24503673469387754,0.24674285714285715,0.24588979591836735
37,123,123,123,1,0.23542857142857143,0.23542857142857143,0.23542857142857143
38,124,124,124,1,0.22340408163265307,0.22340408163265307,0.22340408163265307
39,125,126,125,2,0.21318367346938777,0.2231265306122449,0.21815510204081634
40,127,127,127,1,0.2336408163265306,0.2336408163265306,0.2336408163265306
41,128,130,129,3,0.24097142857142856,0.24904489795918366,0.24522993197278908
42,131,131,131,1,0.23132244897959184,0.23132244897959184,0.23132244897959184
43,132,138,135,7,0.21358367346938775,0.2206122448979592,0.21790087463556848
44,139,144,141,6,0.1946204081632653,0.20177142857142857,0.19820000000000002
45,145,161,153,17,0.1767265306122449,0.18598367346938777,0.1820124849939976
46,162,163,162,2,0.19048163265306123,0.1971265306122449,0.19380408163265306
47,164,166,165,3,0.20131428571428572,0.21110204081632652,0.20639455782312924
48,167,170,168,4,0.20536326530612245,0.21275918367346938,0.2089265306122449
49,171,178,174,8,0.21660408163265307,0.22546938775510203,0.22123367346938774
50,179,180,179,2,0.21522448979591838,0.22387755102040816,0.21955102040816327
51,181,192,186,12,0.2242612244897959,0.23157551020408162,0.22807210884353737
52,193,199,196,7,0.22093877551020408,0.22913469387755103,0.22544839650145773
53,200,206,203,7,0.21252244897959183,0.22034285714285715,0.2178344023323615
54,207,212,209,6,0.23946938775510204,0.24895510204081633,0.24490884353741496
55,213,214,213,2,0.2310938775510204,0.2383673469387755,0.23473061224489794
56,215,219,217,5,0.22288979591836736,0.22834285714285715,0.22435428571428573
57,220,231,225,12,0.2296816326530612,0.23938775510204083,0.2339721088435374
58,232,233,232,2,0.21143673469387755,0.22036734693877552,0.21590204081632652
59,234,238,236,5,0.20644897959183672,0.21288979591836735,0.20902367346938772
60,239,243,241,5,0.2133469387755102,0.22259591836734693,0.21870204081632655
61,244,247,245,4,0.20324897959183674,0.21231020408163265,0.2062387755102041
62,248,254,251,7,0.19702857142857144,0.20600816326530613,0.2003813411078717
63,255,259,257,5,0.18842448979591836,0.19554285714285713,0.19171918367346935
64,260,264,262,5,0.19103673469387755,0.20004081632653062,0.19552816326530614
65,265,268,266,4,0.17717551020408162,0.18693877551020407,0.1815448979591837
