time_ms,group_weighted_normalized_signal
0.0,1.0
5.0,0.9813732460952534
10.0,0.9755130445442429
15.0,0.9711778929818495
20.0,0.9671476729585964
25.0,0.9632125823087274
30.0,0.959321529561431
35.0,0.955458734792034
40.0,0.9516184904662394
45.0,0.9477984743473649
50.0,0.9439976298167148
55.0,0.9402154089525391
60.0,0.9364514798865763
65.0,0.9327056072584405
70.0,0.9289776013483153
75.0,0.9252672956957697
80.0,0.9215745369333582
85.0,0.9178991799986854
90.0,0.9142410857701943
95.0,0.910600119820491
100.0,0.9069761516986565
105.0,0.9033690544717177
110.0,0.8997787043993547
115.0,0.8962049806818644
120.0,0.8926477652520123
125.0,0.8891069425958785
130.0,0.8855823995946919
135.0,0.8820740253830656
140.0,0.8785817112207477
145.0,0.8751053503759068
150.0,0.8716448380184867
155.0,0.8682000711224638
160.0,0.8647709483760393
165.0,0.8613573700989627
170.0,0.8579592381662581
175.0,0.8545764559377442
180.0,0.8512089281927965
185.0,0.8478565610698611
190.0,0.8445192620102882
195.0,0.8411969397061011
200.0,0.8378895040513487
205.0,0.8345968660967349
210.0,0.8313189380072383
215.0,0.8280556330224814
220.0,0.8248068654196108
225.0,0.821572550478491
230.0,0.818352604449022
235.0,0.8151469445204164
240.0,0.8119554887922767
245.0,0.8087781562473463
250.0,0.8056148667257896
255.0,0.8024655409009108
260.0,0.799330100256179
265.0,0.7962084670634892
270.0,0.793100564362556
275.0,0.7900063159413654
280.0,0.7869256463176082
285.0,0.783858480721034
290.0,0.780804745076658
295.0,0.7777643659887646
300.0,0.7747372707256592
305.0,0.7717233872051144
310.0,0.7687226439804712
315.0,0.7657349702273522
320.0,0.7627602957309462
325.0,0.7597985508738327
330.0,0.7568496666243149
335.0,0.7539135745252235
340.0,0.7509902066831732
345.0,0.7480794957582394
350.0,0.7451813749540315
355.0,0.7422957780081438
360.0,0.7394226391829615
365.0,0.7365618932567941
370.0,0.7337134755153393
375.0,0.7308773217434325
380.0,0.728053368217092
385.0,0.7252415516958232
390.0,0.7224418094151873
395.0,0.7196540790796058
400.0,0.7168782988553982
405.0,0.7141144073640384
410.0,0.7113623436756195
415.0,0.7086220473025133
420.0,0.7058934581932259
425.0,0.7031765167264247
430.0,0.7004711637051422
435.0,0.6977773403511431
440.0,0.6950949882994453
445.0,0.6924240495929938
450.0,0.6897644666774722
455.0,0.687116182396257
460.0,0.6844791399854987
465.0,0.6818532830693272
470.0,0.6792385556551815
475.0,0.6766349021292511
480.0,0.6740422672520273
485.0,0.6714605961539631
490.0,0.6688898343312345
495.0,0.6663299276415946
500.0,0.6637808223003302
505.0,0.6612424648763018
510.0,0.6587148022880731
515.0,0.6561977818001247
520.0,0.6536913510191489
525.0,0.6511954578904188
530.0,0.6487100506942381
535.0,0.6462350780424586
540.0,0.6437704888750686
545.0,0.6413162324568499
550.0,0.6388722583741006
555.0,0.6364385165314177
560.0,0.6340149571485427
565.0,0.6316015307572678
570.0,0.6291981881983941
575.0,0.6268048806187508
580.0,0.6244215594682644
585.0,0.6220481764970792
590.0,0.6196846837527309
595.0,0.6173310335773669
600.0,0.6149871786050122
605.0,0.6126530717588863
610.0,0.6103286662487594
615.0,0.6080139155683538
620.0,0.6057087734927883
625.0,0.6034131940760611
630.0,0.6011271316485758
635.0,0.5988505408147016
640.0,0.5965833764503752
645.0,0.5943255937007359
650.0,0.5920771479777993
655.0,0.5898379949581635
660.0,0.5876080905807485
665.0,0.5853873910445727
670.0,0.5831758528065557
675.0,0.5809734325793562
680.0,0.57878008732924
685.0,0.5765957742739762
690.0,0.5744204508807635
695.0,0.5722540748641861
700.0,0.5700966041841938
705.0,0.5679479970441139
710.0,0.5658082118886848
715.0,0.5636772074021179
720.0,0.5615549425061855
725.0,0.5594413763583325
730.0,0.5573364683498109
735.0,0.5552401781038397
740.0,0.5531524654737876
745.0,0.551073290541378
750.0,0.5490026136149161
755.0,0.5469403952275382
760.0,0.5448865961354812
765.0,0.5428411773163766
770.0,0.540804099967556
775.0,0.5387753255043894
780.0,0.5367548155586312
785.0,0.5347425319767934
790.0,0.532738436818534
795.0,0.5307424923550635
800.0,0.5287546610675726
805.0,0.5267749056456745
810.0,0.5248031889858662
815.0,0.5228394741900083
820.0,0.5208837245638164
825.0,0.5189359036153771
830.0,0.5169959750536727
835.0,0.5150639027871277
840.0,0.5131396509221638
845.0,0.5112231837617818
850.0,0.5093144658041444
855.0,0.507413461741186
860.0,0.5055201364572307
865.0,0.5036344550276255
870.0,0.5017563827173902
875.0,0.49988588497987846
880.0,0.49802292745545257
885.0,0.4961674759701744
890.0,0.49431949653450796
895.0,0.49247895534203207
900.0,0.490645818768173
905.0,0.4888200533689417
910.0,0.4870016258796892
915.0,0.4851905032138724
920.0,0.48338665246183066
925.0,0.4815900408895766
930.0,0.47980063593759675
935.0,0.47801840521966493
940.0,0.47624331652166607
945.0,0.47447533780043166
950.0,0.47271443718258727
955.0,0.4709605829634088
960.0,0.46921374360569
965.0,0.46747388773862325
970.0,0.46574098415668663
975.0,0.4640150018185447
980.0,0.4622959098459566
985.0,0.4605836775226965
990.0,0.45887827429348316
995.0,0.4571796697629176
1000.0,0.4554878336944338
1005.0,0.4538027360092535
1010.0,0.4521243467853586
1015.0,0.4504526362564623
1020.0,0.44878757481099935
1025.0,0.4471291329911168
1030.0,0.4454772814916822
1035.0,0.44383199115929073
1040.0,0.44219323299129054
1045.0,0.4405609781348084
1050.0,0.4389351978857913
1055.0,0.43731586368804953
1060.0,0.43570294713231233
1065.0,0.4340964199552904
1070.0,0.4324962540387463
1075.0,0.4309024214085716
1080.0,0.4293148942338751
1085.0,0.427733644826075
1090.0,0.42615864563800154
1095.0,0.42458986926300457
1100.0,0.4230272884340714
1105.0,0.4214708760229492
1110.0,0.41992060503927753
1115.0,0.41837644862972573
1120.0,0.41683838007713736
1125.0,0.41530637279968413
1130.0,0.4137804003500246
1135.0,0.41226043641446936
1140.0,0.41074645481215466
1145.0,0.40923842949422173
1150.0,0.4077363345430032
1155.0,0.4062401441712157
1160.0,0.4047498327211582
1165.0,0.40326537466391854
1170.0,0.4017867445985856
1175.0,0.4003139172514659
1180.0,0.39884686747530956
1185.0,0.39738557024853965
1190.0,0.3959300006744885
1195.0,0.3944801339806421
1200.0,0.39303594551788573
1205.0,0.3915974107597607
1210.0,0.39016450530172253
1215.0,0.38873720486040775
1220.0,0.3873154852729054
1225.0,0.38589932249603337
1230.0,0.3844886926056222
1235.0,0.38308357179580144
1240.0,0.38168393637829556
1245.0,0.38028976278172055
1250.0,0.3789010275508901
1255.0,0.37751770734612405
1260.0,0.37613977894256356
1265.0,0.37476721922949063
1270.0,0.3734000052096541
1275.0,0.3720381139985988
1280.0,0.37068152282400085
1285.0,0.36933020902500874
1290.0,0.367984150051587
1295.0,0.3666433234638668
1300.0,0.3653077069315002
1305.0,0.36397727823302056
1310.0,0.3626520152552055
1315.0,0.3613318959924466
1320.0,0.36001689854612245
1325.0,0.3587070011239769
1330.0,0.3574021820395016
1335.0,0.35610241971132317
1340.0,0.3548076926625948
1345.0,0.3535179795203921
1350.0,0.35223325901511326
1355.0,0.350953509979884
1360.0,0.3496787113499671
1365.0,0.3484088421621736
1370.0,0.3471438815542827
1375.0,0.3458838087644617
1380.0,0.3446286031306921
1385.0,0.3433782440901997
1390.0,0.34213271117888766
1395.0,0.34089198403077536
1400.0,0.33965604237743935
1405.0,0.3384248660474596
1410.0,0.3371984349658692
1415.0,0.3359767291536074
1420.0,0.3347597287269771
1425.0,0.33354741389710696
1430.0,0.3323397649694151
1435.0,0.331136762343078
1440.0,0.3299383865105035
1445.0,0.32874461805680627
1450.0,0.3275554376592873
1455.0,0.32637082608691786
1460.0,0.3251907641998257
1465.0,0.3240152329487854
1470.0,0.32284421337471286
1475.0,0.3216776866081617
1480.0,0.3205156338688244
1485.0,0.3193580364650369
1490.0,0.31820487579328594
1495.0,0.31705613333771937
1500.0,0.3159117906696612
