equivalent_t2_ms_center,pore_diameter_um_center,volume_weighted_count,normalized_volume_weighted_count,display_equivalent_t2_ms_center,display_alignment_scale,display_alignment_shift_ms,top_axis_min_um,top_axis_max_um
203.53644292039206,6.1060932876117615,0.0,0.0,203.53644292039206,1.0,0.0,0.9115262956731514,3000.0
214.8789319863563,6.446367959590688,0.0,0.0,214.8789319863563,1.0,0.0,0.9115262956731514,3000.0
226.85350470459224,6.805605141137767,0.0,0.0,226.85350470459224,1.0,0.0,0.9115262956731514,3000.0
239.49538524337075,7.184861557301122,0.0,0.0,239.49538524337075,1.0,0.0,0.9115262956731514,3000.0
252.84176071056066,7.5852528213168195,52298.51468000001,0.0007400456390475584,252.84176071056066,1.0,0.0,0.9115262956731514,3000.0
266.93189054249626,8.007956716274888,218246.68109999987,0.003088280911473451,266.93189054249626,1.0,0.0,0.9115262956731514,3000.0
281.80722198876515,8.454216659662954,585143.1565999996,0.008280017968195807,281.80722198876515,1.0,0.0,0.9115262956731514,3000.0
297.5115120326248,8.925345360978744,550121.7716999984,0.007784450869833007,297.5115120326248,1.0,0.0,0.9115262956731514,3000.0
314.0909561056864,9.422728683170591,1324400.2579000012,0.01874081207103906,314.0909561056864,1.0,0.0,0.9115262956731514,3000.0
331.59432397549045,9.947829719264714,623823.8162999959,0.00882736532024999,331.59432397549045,1.0,0.0,0.9115262956731514,3000.0
350.07310320569866,10.50219309617096,1150595.6347999997,0.016281404683305946,350.07310320569866,1.0,0.0,0.9115262956731514,3000.0
369.5816506109013,11.08744951832704,1107682.397400002,0.01567416460412592,369.5816506109013,1.0,0.0,0.9115262956731514,3000.0
390.17735215155744,11.705320564546723,2226760.1806999967,0.03150957863745941,390.17735215155744,1.0,0.0,0.9115262956731514,3000.0
411.9207917394099,12.357623752182295,2051002.069888007,0.02902252858968068,411.9207917394099,1.0,0.0,0.9115262956731514,3000.0
434.8759294499327,13.04627788349798,1356087.928379992,0.019189205729898764,434.8759294499327,1.0,0.0,0.9115262956731514,3000.0
459.1102896660349,13.773308689981045,1616511.7768000085,0.022874311024120776,459.1102896660349,1.0,0.0,0.9115262956731514,3000.0
484.6951597064601,14.540854791193803,2106280.3634999897,0.02980473933451437,484.6951597064601,1.0,0.0,0.9115262956731514,3000.0
511.7057995231665,15.351173985694993,1629740.3191,0.02306150037548124,511.7057995231665,1.0,0.0,0.9115262956731514,3000.0
540.2216630845244,16.20664989253573,2831098.46759996,0.040061215647923545,540.2216630845244,1.0,0.0,0.9115262956731514,3000.0
570.3266320955519,17.109798962866556,1979819.7232999764,0.0280152689095164,570.3266320955519,1.0,0.0,0.9115262956731514,3000.0
602.1092627426943,18.06327788228083,1358175.9240000062,0.019218751732541412,602.1092627426943,1.0,0.0,0.9115262956731514,3000.0
635.6630461889638,19.069891385668914,2420397.008000005,0.0342496199269528,635.6630461889638,1.0,0.0,0.9115262956731514,3000.0
671.0866835857117,20.13260050757135,2403509.194000013,0.03401065036576716,671.0866835857117,1.0,0.0,0.9115262956731514,3000.0
708.48437641,21.254531292299998,1464896.3089999966,0.020728889372204094,708.48437641,1.0,0.0,0.9115262956731514,3000.0
747.9661329816226,22.43898398944868,2114009.386,0.02991410820340541,747.9661329816226,1.0,0.0,0.9115262956731514,3000.0
789.6480920614218,23.689442761842653,1751564.9789999872,0.024785369759517777,789.6480920614218,1.0,0.0,0.9115262956731514,3000.0
