fit_time_ms,fit_amplitude,residual
5.0,0.9702845625667331,-0.0008881588650559991
10.0,0.9658899500390149,-0.0007584749774403043
17.5,0.9593615733149805,-0.0005764011497737531
27.5,0.9507721836738575,-0.00036594889222862914
40.0,0.9402133435116474,-0.00014047212083445615
60.0,0.9237087822174711,0.00013848169843899694
90.0,0.8997853856503096,0.0003825595274986604
137.5,0.8637385405452429,0.0004990745192756663
212.5,0.8107421676958728,0.00024202967159170363
330.0,0.7356028034310256,-0.0003471047823535578
510.0,0.6352421908512855,-0.0007181392380261054
787.5,0.5076658594917234,0.0008372078761549329
1220.0,0.3583467233095807,-0.00026157213091598797
