 11101
     1     -1   1856 6.752279E-06 1.635974E-02 3.509893E-05
     2     -1   1937 6.673969E-06 5.492160E-02 5.779200E-06
     3     -1    856 1.009529E-05 5.712016E-02 5.779200E-06
     4     -1    871 7.495004E-06 4.378869E-02 1.317670E-05
     5     -1   3194 9.500525E-07 1.562500E-02 1.692867E-05
     6     -1    833 8.254102E-06 2.008859E-02 2.105633E-05
     7     -1   4794 4.257253E-06 2.731392E-02 2.461183E-05
     8     -1   2905 5.987167E-06 4.313771E-02 6.523885E-06
     9     -1   2476 4.759308E-06 3.746634E-02 1.739440E-05
    10     -1   3467 2.620251E-06 3.581623E-02 1.671018E-05
    11     -1   1172 6.720084E-06 2.734443E-02 3.768689E-05
    12     -1   1950 6.662809E-06 3.237199E-02 1.526451E-05
    13     -1   1936 6.941176E-06 3.439379E-02 5.779200E-06
    14     -1   1940 5.659772E-06 4.259565E-02 1.154924E-05
    15     -1    660 1.099165E-05 2.269634E-02 5.779200E-06
    16     -1   4381 9.549209E-07 1.250000E-02 1.279571E-05
    17     -1   2548 5.940907E-06 4.787106E-02 5.779200E-06
    18     -1    417 1.734246E-06 1.456903E-02 4.886596E-05
    19     -1   2955 5.812911E-06 1.863029E-02 5.779200E-06
    20     -1    552 4.326403E-06 4.231266E-02 6.042497E-05
    21     -1   2671 9.633128E-07 3.604818E-02 1.191853E-05
    22     -1    556 2.852615E-06 3.361112E-02 5.501415E-05
    23     -1   1933 7.057988E-06 2.047460E-02 5.779200E-06
    24     -1   3215 3.744969E-06 4.323260E-02 1.045486E-05
    25     -1   2053 3.018450E-06 6.178819E-02 2.126849E-05
    26     -1   2753 5.626607E-06 2.439765E-02 1.267354E-05
    27     -1   1215 4.566051E-06 1.936851E-02 4.847384E-05
    28     -1   3433 4.198211E-06 3.230459E-02 2.322150E-05
    29     -1   4356 5.305228E-06 5.613927E-02 5.779200E-06
    30     -1   5498 4.672466E-06 3.896245E-02 5.779200E-06
    31     -1   1523 7.444712E-06 1.833494E-02 5.779200E-06
    32     -1   4909 9.358495E-07 3.125000E-02 9.998929E-06
    33     -1   2547 6.096877E-06 3.453262E-02 5.779200E-06
    34     -1   2545 6.268485E-06 1.889921E-02 5.779200E-06
    35     -1   4265 3.807049E-06 2.184248E-02 2.671332E-05
    36     -1   1932 7.333255E-06 2.989312E-02 1.091379E-05
    37     -1   2155 4.855831E-06 2.050077E-02 8.879095E-06
    38     -1   4936 3.082957E-06 2.929880E-02 7.305959E-06
    39     -1    645 4.568418E-06 1.505710E-02 2.757011E-05
