time_ms,signal,normalized_signal
0.0,50227.27097607906,1.0
5.0,49956.27007836423,0.9946045068257063
10.0,49687.03937710475,0.9892442573829744
15.0,49419.43872020849,0.9839164613133112
20.0,49153.41328606337,0.9786200271456691
25.0,48888.933536299315,0.9733543667857819
30.0,48625.97927642409,0.9681190781713466
35.0,48364.534558328894,0.9629138437834438
40.0,48104.58572356657,0.9577383916891796
45.0,47846.12051039272,0.9525924777633176
50.0,47589.12758253449,0.9474758763062999
55.0,47333.59625244835,0.9423883745344469
60.0,47079.51630668645,0.9373297691030886
65.0,46826.87789040527,0.9322998638071887
70.0,46575.671428534675,0.92729846801186
75.0,46325.88757071082,0.9223253955560059
80.0,46077.51715207626,0.9173804639718702
85.0,45830.55116489301,0.9124634939198667
90.0,45584.98073763904,0.9075743087724011
95.0,45340.7971193504,0.9027127343021311
100.0,45097.99166768419,0.8978785984443051
105.0,44856.55583965157,0.8930717311122613
110.0,44616.481184289885,0.8882919640515341
115.0,44377.759336762036,0.8835391307223743
120.0,44140.382013519775,0.8788130662034537
125.0,43904.34100827293,0.8741136071116138
130.0,43669.62818857716,0.8694405915339297
135.0,43436.235492905034,0.8647938589693976
140.0,43204.154928099604,0.8601732502782354
145.0,42973.37856713631,0.8555786076373242
150.0,42743.898547135905,0.8510097745006464
155.0,42515.70706758561,0.8464665955638697
160.0,42288.796388734445,0.8419489167323994
165.0,42063.158830136,0.8374565850923645
170.0,41838.78676931745,0.83298944888412
175.0,41615.67264055746,0.8285473574779145
180.0,41393.80893375866,0.8241301613514425
185.0,41173.188193402966,0.8197377120690443
190.0,40953.8030175798,0.8153698622623596
195.0,40735.646057078804,0.8110264656122631
200.0,40518.71001453988,0.8067073768319422
