fit_time_ms,fit_amplitude,residual
5.0,0.9725968926295536,-0.0010492118125111638
10.0,0.9684650165324715,-0.000883562867536658
17.5,0.9623342655382147,-0.000654562470357889
27.5,0.9542804314761649,-0.00039248662278346114
40.0,0.9443973786967457,-0.00011819917449895634
60.0,0.9289820933486164,0.00020985500089099052
90.0,0.9066925613700134,0.00048040783524927466
137.5,0.8731801593761876,0.0005692288606652385
212.5,0.8239311745178541,0.00021677484151916282
330.0,0.7538470805438654,-0.0004778446448229223
510.0,0.6593076315193215,-0.0007943891698565242
787.5,0.5370921903664863,0.00102378550513893
1220.0,0.3904518789207804,-0.00032700822800735274
