time_ms,signal,normalized_signal
0.0,465412168.8760319,1.0
5.0,459333701.3962226,0.9869396034605439
10.0,453346093.8809888,0.9740744316501595
15.0,447447617.1678615,0.9614007692330979
20.0,441636628.2231476,0.9489150859327505
25.0,435911551.16982853,0.9366139957675641
30.0,430270865.4125547,0.9244942315360097
35.0,424713097.9282421,0.9125526282519044
40.0,419236817.9066683,0.9007861116290173
45.0,413840632.8041189,0.889191689601804
50.0,408523185.30155134,0.8777664457896166
55.0,403283150.87362355,0.8665075342734385
60.0,398119235.7891399,0.8554121752995757
65.0,393030175.42770714,0.8444776516627683
70.0,388014732.83540046,0.8337013056028469
75.0,383071697.4657903,0.823080536099661
80.0,378199884.0678622,0.8126127964836267
85.0,373398131.69250345,0.802295592301031
90.0,368665302.7962171,0.792126479388242
95.0,364000282.42566836,0.7821030621195988
100.0,359401977.470254,0.7722229918014564
105.0,354869315.9725369,0.7624839651905634
110.0,350401246.4883856,0.7528837231192362
115.0,345996737.4901862,0.7434200492130807
120.0,341654776.8076845,0.7340907686895662
125.0,337374371.1019453,0.7248937472277589
130.0,333154545.3686595,0.7158268899011088
135.0,328994342.46762556,0.7068881401664793
140.0,324892822.6757102,0.6980754789036239
145.0,320849063.26099265,0.6893869235001774
150.0,316862158.0761151,0.6808205269779165
155.0,312931217.16913545,0.6723743771566241
160.0,309055366.4103989,0.6640465958523734
165.0,305233747.1341344,0.6558353381074509
170.0,301465515.7936397,0.6477387914494748
175.0,297749843.62905425,0.6397551751775608
180.0,294085916.34683317,0.63188273967363
185.0,290472933.8101325,0.6241197657371599
190.0,286910109.7394018,0.6164645639418675
195.0,283396671.4225538,0.6089154740129709
200.0,279931859.43413985,0.6014708642237996
205.0,276514927.36302125,0.5941291308106607
210.0,273145141.5480681,0.5868886974049524
215.0,269821792.32771176,0.5797480392043253
220.0,266544158.8782023,0.572705607422997
225.0,263311544.36349016,0.5657599048159533
230.0,260123263.65375534,0.558909459290572
235.0,256978643.14171895,0.5521528235119445
240.0,253877020.52791283,0.545488574441499
