component_label,voxel_count,volume_um3,is_open
1,2019,7316611.006463999,True
2,8,28991.029247999995,True
3,1,3623.8786559999994,True
4,1,3623.8786559999994,True
5,2,7247.757311999999,True
6,2,7247.757311999999,True
7,1,3623.8786559999994,True
8,2,7247.757311999999,True
9,21,76101.45177599999,True
10,1,3623.8786559999994,True
11,1,3623.8786559999994,True
12,1,3623.8786559999994,True
13,1,3623.8786559999994,True
14,1,3623.8786559999994,True
15,1,3623.8786559999994,True
16,47,170322.29683199996,True
17,3825,13861335.859199997,True
18,4,14495.514623999998,True
19,1,3623.8786559999994,True
20,1,3623.8786559999994,True
21,1,3623.8786559999994,True
22,25,90596.96639999999,True
23,1,3623.8786559999994,True
24,10,36238.78655999999,True
25,1,3623.8786559999994,True
26,4,14495.514623999998,True
27,2045,7410831.851519999,True
28,1,3623.8786559999994,True
29,1,3623.8786559999994,True
30,2,7247.757311999999,True
31,1,3623.8786559999994,True
32,3,10871.635967999999,True
33,32,115964.11699199998,True
34,1,3623.8786559999994,True
35,3,10871.635967999999,True
36,32,115964.11699199998,True
37,35123,127281490.03468798,True
38,1,3623.8786559999994,True
39,9,32614.907903999996,True
40,22,79725.33043199999,True
41,2,7247.757311999999,True
42,80,289910.29247999995,True
43,3,10871.635967999999,True
44,10,36238.78655999999,True
45,2,7247.757311999999,True
46,16,57982.05849599999,True
47,1,3623.8786559999994,True
48,1,3623.8786559999994,True
49,2,7247.757311999999,True
50,9,32614.907903999996,True
51,3,10871.635967999999,True
52,1,3623.8786559999994,True
53,2,7247.757311999999,True
54,5,18119.393279999997,True
55,1,3623.8786559999994,True
56,1,3623.8786559999994,True
57,1,3623.8786559999994,True
58,82,297158.049792,True
59,32,115964.11699199998,True
60,1,3623.8786559999994,True
61,2,7247.757311999999,True
62,1,3623.8786559999994,False
63,2,7247.757311999999,False
64,6,21743.271935999997,False
65,5,18119.393279999997,False
66,1,3623.8786559999994,False
67,13,47110.422527999996,False
68,1,3623.8786559999994,False
69,3,10871.635967999999,False
70,1,3623.8786559999994,False
71,1,3623.8786559999994,False
72,2,7247.757311999999,False
73,1,3623.8786559999994,False
74,1,3623.8786559999994,False
75,1,3623.8786559999994,False
76,2,7247.757311999999,False
77,2,7247.757311999999,False
78,2,7247.757311999999,False
79,3,10871.635967999999,False
80,6,21743.271935999997,True
81,1,3623.8786559999994,False
82,1,3623.8786559999994,False
83,3,10871.635967999999,False
84,1,3623.8786559999994,False
85,4,14495.514623999998,False
86,11,39862.665215999994,False
87,1,3623.8786559999994,False
88,1,3623.8786559999994,False
89,1,3623.8786559999994,False
90,1,3623.8786559999994,False
91,1,3623.8786559999994,False
92,1,3623.8786559999994,False
