tetra_index,volume_um3,min_edge_um,max_edge_um,aspect_max_over_min
0,57.82053084335693,6.270693741524966,11.459675162302736,1.8274971852661175
83,275.8051092191935,10.86116015902538,19.083115147132997,1.757005224830918
166,558.1763476472495,15.246316384860341,18.327913988085086,1.2021207959638556
249,414.31403015501724,10.86116015902542,20.01252721308346,1.842577304824423
332,398.1820470794166,10.86116015902542,18.812081224574847,1.7320508075688728
416,301.9898880000006,10.86116015902538,21.72232031805076,2.0
499,150.9949439999992,10.86116015902534,10.86116015902538,1.0000000000000036
582,603.9797759999877,10.861160159025253,24.286292430093102,2.236067977499809
665,301.98988799999626,10.86116015902522,21.72232031805068,2.000000000000022
748,2537.858859088159,21.507876358674334,37.68779127985087,1.7522785909381993
832,335.6586410923355,10.86116015902546,20.155170703965325,1.8557106615554955
915,208.26936904328218,10.86116015902546,15.360000000000127,1.4142135623730951
998,444.1925692760921,12.919924431082677,22.40750875231899,1.7343374469289572
1081,339.98084959968565,10.86116015902538,18.81208122457473,1.7320508075688685
1165,308.25366671849963,10.8611601590253,18.687858521631235,1.720613474804732
1248,254.57536425549333,10.86116015902542,16.903232882664472,1.5563008587639877
1331,232.4657804762029,10.861160159025319,16.8598362168462,1.5523052758628322
1414,672.4562822138021,15.359999999999985,21.72232031805073,1.4142135623730958
1497,312.8142735823407,10.861160159025415,21.92225367775498,2.0184081034416943
1581,150.99494399999907,10.861160159025248,15.3599999999999,1.4142135623731018
1664,184.410481287007,10.86116015902522,14.121789578636587,1.3002100486384878
1747,333.1799578213632,10.861160159025259,21.497638485732214,1.979313275098738
1830,296.3535287394424,10.8611601590253,21.247130830607443,1.956248735817758
1913,420.6750459704883,10.86116015902538,19.003518751466483,1.749676689527038
1997,59.003721027877766,6.270693741524976,12.486081761444966,1.9911802866023025
2080,456.45869664396054,10.86116015902538,22.083330463567847,2.0332386356734733
2163,486.363690023524,10.86116015902542,21.72232031805076,1.9999999999999925
2246,164.89056256849832,7.9509210655495295,15.977099224690516,2.0094652044676353
2330,421.03100123683856,10.86116015902546,19.56827133902312,1.801674135406445
2413,1411.7413031942551,17.76906039383968,29.16391159431235,1.6412748309653518
2496,75.49747199999833,9.406040612287365,15.360000000000014,1.6329931618554603
2579,205.73090408696666,10.688363526154147,16.040610918086312,1.5007546177518527
2662,166.44761797141476,10.86116015902538,15.838617541240325,1.458280451566566
2746,150.9949439999992,10.86116015902522,15.3599999999999,1.4142135623731054
2829,227.28329381909248,10.86116015902542,17.372024590500846,1.5994630717294984
2912,921.71722872401,16.642801794460546,25.77861774695984,1.5489349729286623
2995,240.9799914354331,7.950921065549449,19.971537940799628,2.51185212079822
3078,301.9898880000006,10.861160159025415,21.72232031805067,1.9999999999999853
3162,174.00866201116276,10.853987801265745,16.06219618681402,1.4798428449441334
3245,1648.5659624970315,20.53313673647798,30.5308137401046,1.4869045159508105
3328,301.9898879999974,10.861160159025335,21.722320318050638,1.9999999999999971
3411,284.99634421662427,10.86116015902522,18.812081224574822,1.7320508075689025
3495,1747.076748488643,21.8223181788066,30.11408268134157,1.3799671709758026
3578,75.49747199999852,5.43058007951265,15.360000000000014,2.828427124746211
3661,254.83027315069035,8.678335730320494,18.128229960870925,2.088906274682858
3744,387.1254351637071,11.973614776371747,19.476099916739678,1.6265848100586162
3827,1293.0754691349491,20.345815427055406,27.413158137220496,1.3473609959504054
3911,441.7142281692034,13.53666873439472,20.191232249426907,1.4915953581787742
3994,301.98988800000296,10.86116015902538,21.72232031805076,2.0
4077,393.58576467495686,10.86116015902538,21.722320318050752,1.9999999999999993
4160,469.02265830481775,10.861160159025335,21.748143453908014,2.002377566989092
4244,301.98988800000296,10.86116015902538,21.72232031805076,2.0
4327,753.9526909439105,15.3599999999999,21.851297777028137,1.422610532358612
4410,301.98988800000194,10.86116015902538,18.812081224574825,1.7320508075688774
4493,196.72613243690625,10.86116015902538,15.939022991826251,1.4675249014334146
4576,474.6503897863325,10.86116015902534,22.641519813623333,2.084631796430036
4660,183.58847364378838,10.8611601590253,18.713387933912852,1.7229639983130702
4743,1072.6001609545974,17.514831673087222,28.644355605366172,1.635434250240626
4826,160.03736736405932,13.612025544741822,21.444511942246358,1.5754093225699344
4909,200.2231748436244,15.005122371091455,25.80943777910076,1.7200418057785831
4992,12447.003161628614,38.07627440590686,62.89668289335057,1.651860216754643
5076,301.73285586303797,10.86116015902534,18.8120812245748,1.7320508075688814
5159,421.68542803322856,10.580275605162134,20.82430280996849,1.9682193155543395
5242,504.51520561569095,10.838577299699871,24.01194188371115,2.215414553012973
5325,345.38486840605384,10.8611601590253,19.2890129682936,1.7759624833692382
5409,358.2316895203193,10.86116015902542,21.72232031805092,2.000000000000007
5492,517.567341451389,15.154432991121077,21.72232031805084,1.4333971010844064
5575,785.9951644222648,12.969449019180647,26.50647105311372,2.0437623073974103
5658,318.531656315559,10.86116015902546,18.81208122457487,1.732050807568869
5741,221.8873179594287,10.468085095989599,20.977498957755323,2.0039480731573303
5825,301.9898880000041,10.86116015902546,21.7223203180508,1.9999999999999891
5908,484.45267781904727,15.27583970439407,21.72232031805076,1.422004992092341
5991,209.75299117752618,10.8611601590254,16.835432378114795,1.5500583852568361
6074,250.410531299554,10.86116015902538,16.51801908965124,1.5208337643308885
6157,301.98988800000296,10.86116015902538,21.72232031805076,2.0
6241,420.15513551027544,10.86116015902522,18.96264438151022,1.7459133374212301
6324,301.9898879999998,10.8611601590253,21.72232031805068,2.0000000000000075
6407,358.38626506382207,10.861160159025415,18.81208122457494,1.7320508075688823
6490,178.817081901158,10.8611601590253,15.3599999999999,1.414213562373095
6574,179.94985598020085,10.861160159025319,20.113703024305355,1.8518926827159834
6657,1931.6822714400878,20.74282183579044,40.1768367947872,1.936903142342214
6740,258.31590597835685,10.86116015902538,18.812081224574918,1.7320508075688859
6823,331.29864444520837,10.86116015902538,18.812081224574825,1.7320508075688774
6906,150.99494399999585,10.8611601590253,18.812081224574822,1.7320508075688898
