time_index,time_ms,cg_info,cg_iterations
0,0.0,0,8
1,5.0,0,8
2,10.0,0,8
3,15.0,0,8
4,20.0,0,8
5,25.0,0,8
6,30.0,0,8
7,35.0,0,8
8,40.0,0,8
9,45.0,0,8
10,50.0,0,8
11,55.0,0,8
12,60.0,0,8
13,65.0,0,8
14,70.0,0,8
15,75.0,0,8
16,80.0,0,8
17,85.0,0,8
18,90.0,0,8
19,95.0,0,8
20,100.0,0,8
21,105.0,0,8
22,110.0,0,8
23,115.0,0,8
24,120.0,0,8
25,125.0,0,8
26,130.0,0,8
27,135.0,0,8
28,140.0,0,8
29,145.0,0,8
30,150.0,0,8
31,155.0,0,8
32,160.0,0,8
33,165.0,0,8
34,170.0,0,8
35,175.0,0,8
36,180.0,0,8
37,185.0,0,8
38,190.0,0,8
39,195.0,0,8
40,200.0,0,8
41,205.0,0,8
42,210.0,0,7
43,215.0,0,7
44,220.0,0,7
45,225.0,0,7
46,230.0,0,7
47,235.0,0,7
48,240.0,0,7
49,245.0,0,7
50,250.0,0,7
51,255.0,0,7
52,260.0,0,7
53,265.0,0,7
54,270.0,0,7
55,275.0,0,7
56,280.0,0,7
57,285.0,0,7
58,290.0,0,7
59,295.0,0,7
60,300.0,0,7
61,305.0,0,7
62,310.0,0,7
63,315.0,0,7
64,320.0,0,7
65,325.0,0,6
66,330.0,0,7
67,335.0,0,6
68,340.0,0,6
69,345.0,0,6
70,350.0,0,6
71,355.0,0,6
72,360.0,0,6
73,365.0,0,6
74,370.0,0,6
75,375.0,0,6
76,380.0,0,6
77,385.0,0,6
78,390.0,0,6
79,395.0,0,6
80,400.0,0,6
81,405.0,0,6
82,410.0,0,6
83,415.0,0,6
84,420.0,0,6
85,425.0,0,6
86,430.0,0,6
87,435.0,0,6
88,440.0,0,6
89,445.0,0,6
90,450.0,0,6
91,455.0,0,6
92,460.0,0,6
93,465.0,0,6
94,470.0,0,6
95,475.0,0,6
96,480.0,0,6
97,485.0,0,6
98,490.0,0,6
99,495.0,0,6
100,500.0,0,6
101,505.0,0,6
102,510.0,0,6
103,515.0,0,6
104,520.0,0,6
105,525.0,0,6
106,530.0,0,6
107,535.0,0,6
108,540.0,0,6
109,545.0,0,6
110,550.0,0,6
111,555.0,0,6
112,560.0,0,6
113,565.0,0,6
114,570.0,0,6
115,575.0,0,6
116,580.0,0,6
117,585.0,0,6
118,590.0,0,6
119,595.0,0,6
120,600.0,0,6
121,605.0,0,6
122,610.0,0,6
123,615.0,0,6
124,620.0,0,6
125,625.0,0,6
126,630.0,0,6
127,635.0,0,6
128,640.0,0,6
129,645.0,0,6
130,650.0,0,6
131,655.0,0,6
132,660.0,0,6
133,665.0,0,6
134,670.0,0,6
135,675.0,0,6
136,680.0,0,6
137,685.0,0,6
138,690.0,0,6
139,695.0,0,6
140,700.0,0,6
141,705.0,0,6
142,710.0,0,6
143,715.0,0,6
144,720.0,0,6
145,725.0,0,6
146,730.0,0,6
147,735.0,0,6
148,740.0,0,6
149,745.0,0,6
150,750.0,0,6
151,755.0,0,6
152,760.0,0,6
153,765.0,0,6
154,770.0,0,6
155,775.0,0,6
156,780.0,0,6
157,785.0,0,6
158,790.0,0,6
159,795.0,0,6
160,800.0,0,6
161,805.0,0,6
162,810.0,0,6
163,815.0,0,6
164,820.0,0,6
165,825.0,0,6
166,830.0,0,6
167,835.0,0,6
168,840.0,0,6
169,845.0,0,6
170,850.0,0,6
171,855.0,0,6
172,860.0,0,6
173,865.0,0,6
174,870.0,0,6
175,875.0,0,6
176,880.0,0,6
177,885.0,0,6
178,890.0,0,6
179,895.0,0,6
180,900.0,0,6
181,905.0,0,6
182,910.0,0,6
183,915.0,0,6
184,920.0,0,6
185,925.0,0,6
186,930.0,0,6
187,935.0,0,6
188,940.0,0,6
189,945.0,0,6
190,950.0,0,6
191,955.0,0,6
192,960.0,0,6
193,965.0,0,6
194,970.0,0,6
195,975.0,0,6
196,980.0,0,6
197,985.0,0,6
198,990.0,0,6
199,995.0,0,6
200,1000.0,0,6
201,1005.0,0,6
202,1010.0,0,6
203,1015.0,0,6
204,1020.0,0,6
205,1025.0,0,6
206,1030.0,0,6
207,1035.0,0,6
208,1040.0,0,6
209,1045.0,0,6
210,1050.0,0,6
211,1055.0,0,6
212,1060.0,0,6
213,1065.0,0,6
214,1070.0,0,6
215,1075.0,0,6
216,1080.0,0,6
217,1085.0,0,6
218,1090.0,0,6
219,1095.0,0,6
220,1100.0,0,6
221,1105.0,0,6
222,1110.0,0,6
223,1115.0,0,6
224,1120.0,0,6
225,1125.0,0,6
226,1130.0,0,6
227,1135.0,0,6
228,1140.0,0,6
229,1145.0,0,5
230,1150.0,0,5
231,1155.0,0,6
232,1160.0,0,5
233,1165.0,0,5
234,1170.0,0,6
235,1175.0,0,5
236,1180.0,0,5
237,1185.0,0,5
238,1190.0,0,5
239,1195.0,0,5
240,1200.0,0,5
241,1205.0,0,5
242,1210.0,0,5
243,1215.0,0,5
244,1220.0,0,5
245,1225.0,0,5
246,1230.0,0,5
247,1235.0,0,5
248,1240.0,0,5
249,1245.0,0,5
250,1250.0,0,5
251,1255.0,0,5
252,1260.0,0,5
253,1265.0,0,5
254,1270.0,0,5
255,1275.0,0,5
256,1280.0,0,5
257,1285.0,0,5
258,1290.0,0,5
259,1295.0,0,5
260,1300.0,0,5
261,1305.0,0,5
262,1310.0,0,5
263,1315.0,0,5
264,1320.0,0,5
265,1325.0,0,5
266,1330.0,0,5
267,1335.0,0,5
268,1340.0,0,5
269,1345.0,0,5
270,1350.0,0,5
271,1355.0,0,5
272,1360.0,0,5
273,1365.0,0,5
274,1370.0,0,5
275,1375.0,0,5
276,1380.0,0,5
277,1385.0,0,5
278,1390.0,0,5
279,1395.0,0,5
280,1400.0,0,5
281,1405.0,0,5
282,1410.0,0,5
283,1415.0,0,5
284,1420.0,0,5
285,1425.0,0,5
286,1430.0,0,5
287,1435.0,0,5
288,1440.0,0,5
289,1445.0,0,5
290,1450.0,0,5
291,1455.0,0,5
292,1460.0,0,5
293,1465.0,0,5
294,1470.0,0,5
295,1475.0,0,5
296,1480.0,0,5
297,1485.0,0,5
298,1490.0,0,5
299,1495.0,0,5
300,1500.0,0,0
