time_ms,average_normalized_signal
0.0,1.0
5.0,0.9956036997382048
10.0,0.99123924038975
15.0,0.9869045772599906
20.0,0.9825982249845806
25.0,0.9783190503946172
30.0,0.9740661544785786
35.0,0.969838800608998
40.0,0.9656363687648616
45.0,0.9614583251849788
50.0,0.9573042015852048
55.0,0.9531735805208152
60.0,0.9490660848216858
65.0,0.944981369800796
70.0,0.9409191173966774
75.0,0.9368790316932284
80.0,0.9328608354391494
85.0,0.9288642673052104
90.0,0.9248890796945332
95.0,0.9209350369731834
100.0,0.9170019140243336
105.0,0.9130894950544968
110.0,0.9091975725982976
115.0,0.9053259466812362
120.0,0.9014744241094084
125.0,0.8976428178621546
130.0,0.8938309465688978
135.0,0.8900386340553859
140.0,0.8862657089475948
145.0,0.8825120043238915
150.0,0.878777357407856
155.0,0.8750616092955887
160.0,0.8713646047124458
165.0,0.8676861917950348
170.0,0.8640262218950123
175.0,0.8603845494017925
180.0,0.8567610315817503
185.0,0.8531555284318673
190.0,0.8495679025460894
195.0,0.8459980189929087
200.0,0.8424457452029097
205.0,0.8389109508651749
210.0,0.8353935078316149
215.0,0.8318932900283952
220.0,0.8284101733737468
225.0,0.8249440357015323
230.0,0.8214947566900156
235.0,0.8180622177953529
240.0,0.8146463021893726
245.0,0.811246894701262
250.0,0.807863881762827
255.0,0.8044971513570135
260.0,0.8011465929694291
265.0,0.7978120975426128
270.0,0.7944935574328417
275.0,0.7911908663692718
280.0,0.78790391941524
285.0,0.7846326129315598
290.0,0.7813768445416712
295.0,0.7781365130985053
300.0,0.7749115186529497
305.0,0.7717017624237955
310.0,0.768507146769074
315.0,0.7653275751586822
320.0,0.7621629521482212
325.0,0.7590131833539605
330.0,0.7558781754288639
335.0,0.7527578360396089
340.0,0.7496520738445369
345.0,0.746560798472481
350.0,0.7434839205024188
355.0,0.740421351443901
360.0,0.7373730037182135
365.0,0.7343387906402313
370.0,0.7313186264009244
375.0,0.7283124260504821
380.0,0.7253201054820215
385.0,0.7223415814158527
390.0,0.7193767713842636
395.0,0.71642559371681
400.0,0.713487967526075
405.0,0.7105638126938795
410.0,0.7076530498579219
415.0,0.7047556003988252
420.0,0.7018713864275731
425.0,0.6990003307733178
430.0,0.6961423569715391
435.0,0.6932973892525444
440.0,0.6904653525302916
445.0,0.6876461723915184
450.0,0.6848397750851711
455.0,0.6820460875121145
460.0,0.6792650372151137
465.0,0.6764965523690782
470.0,0.6737405617715535
475.0,0.6709969948334544
480.0,0.6682657815700307
485.0,0.66554685259205
490.0,0.6628401390972
495.0,0.6601455728616917
500.0,0.6574630862320625
505.0,0.6547926121171713
510.0,0.6521340839803746
515.0,0.6494874358318827
520.0,0.646852602221286
525.0,0.644229518230247
530.0,0.6416181194653532
535.0,0.6390183420511223
540.0,0.6364301226231595
545.0,0.6338533983214568
550.0,0.631288106783836
555.0,0.6287341861395223
560.0,0.6261915750028544
565.0,0.6236602124671178
570.0,0.6211400380985047
575.0,0.6186309919301918
580.0,0.6161330144565347
585.0,0.6136460466273759
590.0,0.6111700298424612
595.0,0.6087049059459633
600.0,0.6062506172211098
605.0,0.6038071063849096
610.0,0.6013743165829789
615.0,0.5989521913844609
620.0,0.5965406747770406
625.0,0.5941397111620468
630.0,0.5917492453496436
635.0,0.5893692225541071
640.0,0.5869995883891849
645.0,0.5846402888635377
650.0,0.5822912703762592
655.0,0.5799524797124737
660.0,0.5776238640390078
665.0,0.5753053709001379
670.0,0.5729969482134063
675.0,0.5706985442655099
680.0,0.5684101077082555
685.0,0.5661315875545821
690.0,0.5638629331746495
695.0,0.5616040942919877
700.0,0.5593550209797116
705.0,0.5571156636567952
710.0,0.5548859730844038
715.0,0.5526659003622861
720.0,0.5504553969252233
725.0,0.5482544145395312
730.0,0.5460629052996188
735.0,0.5438808216246007
740.0,0.5417081162549586
745.0,0.5395447422492562
750.0,0.5373906529809028
755.0,0.5352458021349666
760.0,0.5331101437050345
765.0,0.5309836319901189
770.0,0.5288662215916123
775.0,0.5267578674102839
780.0,0.5246585246433215
785.0,0.5225681487814181
790.0,0.5204866956058971
795.0,0.5184141211858821
800.0,0.5163503818755067
805.0,0.5142954343111624
810.0,0.5122492354087874
815.0,0.5102117423611933
820.0,0.5081829126354285
825.0,0.5061627039701795
830.0,0.504151074373207
835.0,0.5021479821188196
840.0,0.5001533857453804
845.0,0.4981672440528472
850.0,0.4961895161003494
855.0,0.4942201612037946
860.0,0.4922591389335088
865.0,0.4903064091119082
870.0,0.4883619318112019
875.0,0.486425667351126
880.0,0.4844975762967067
885.0,0.4825776194560531
890.0,0.4806657578781798
895.0,0.4787619528508564
900.0,0.4768661658984874
905.0,0.4749783587800166
910.0,0.4730984934868606
915.0,0.4712265322408685
920.0,0.469362437492307
925.0,0.4675061719178718
930.0,0.4656576984187233
935.0,0.4638169801185488
940.0,0.461983980361647
945.0,0.4601586627110379
950.0,0.4583409909465953
955.0,0.4565309290632032
960.0,0.4547284412689346
965.0,0.4529334919832524
970.0,0.4511460458352336
975.0,0.4493660676618126
980.0,0.4475935225060489
985.0,0.4458283756154135
990.0,0.4440705924400971
995.0,0.4423201386313377
1000.0,0.4405769800397693
1005.0,0.438841082713789
1010.0,0.4371124128979444
1015.0,0.4353909370313395
1020.0,0.4336766217460598
1025.0,0.4319694338656153
1030.0,0.4302693404034016
1035.0,0.42857630856118
1040.0,0.4268903057275734
1045.0,0.425211299476581
1050.0,0.4235392575661095
1055.0,0.421874147936521
1060.0,0.4202159387091974
1065.0,0.4185645981851215
1070.0,0.4169200948434736
1075.0,0.4152823973402442
1080.0,0.4136514745068623
1085.0,0.4120272953488389
1090.0,0.4104098290444254
1095.0,0.4087990449432873
1100.0,0.407194912565192
1105.0,0.4055974015987121
1110.0,0.404006481899941
1115.0,0.4024221234912246
1120.0,0.4008442965599059
1125.0,0.3992729714570821
1130.0,0.3977081186963778
1135.0,0.3961497089527283
1140.0,0.3945977130611782
1145.0,0.3930521020156923
1150.0,0.391512846967978
1155.0,0.3899799192263218
1160.0,0.3884532902544371
1165.0,0.3869329316703243
1170.0,0.3854188152451435
1175.0,0.3839109129020973
1180.0,0.3824091967153272
1185.0,0.3809136389088207
1190.0,0.3794242118553284
1195.0,0.3779408880752952
1200.0,0.3764636402357986
1205.0,0.374992441149502
1210.0,0.3735272637736143
1215.0,0.3720680812088647
1220.0,0.3706148666984837
1225.0,0.3691675936271972
1230.0,0.3677262355202289
1235.0,0.366290766042314
1240.0,0.364861158996722
1245.0,0.3634373883242896
1250.0,0.362019428102462
1255.0,0.3606072525443462
1260.0,0.3592008359977705
1265.0,0.3578001529443557
1270.0,0.3564051779985938
1275.0,0.3550158859069371
1280.0,0.3536322515468941
1285.0,0.3522542499261363
1290.0,0.350881856181612
1295.0,0.3495150455786698
1300.0,0.3481537935101895
1305.0,0.346798075495722
1310.0,0.3454478671806366
1315.0,0.3441031443352773
1320.0,0.3427638828541264
1325.0,0.3414300587549761
1330.0,0.3401016481781082
1335.0,0.3387786273854811
1340.0,0.3374609727599237
1345.0,0.336148660804339
1350.0,0.3348416681409125
1355.0,0.333539971510329
1360.0,0.3322435477709972
1365.0,0.3309523738982804
1370.0,0.3296664269837344
1375.0,0.328385684234353
1380.0,0.3271101229718198
1385.0,0.3258397206317665
1390.0,0.3245744547630383
1395.0,0.3233143030269662
1400.0,0.322059243196645
1405.0,0.3208092531562181
1410.0,0.3195643109001695
1415.0,0.31832439453262
1420.0,0.3170894822666322
1425.0,0.3158595524235195
1430.0,0.314634583432162
1435.0,0.3134145538283291
1440.0,0.3121994422540065
1445.0,0.3109892274567301
1450.0,0.3097838882889256
1455.0,0.3085834037072536
1460.0,0.3073877527719598
1465.0,0.3061969146462319
1470.0,0.3050108685955616
1475.0,0.303829593987111
1480.0,0.3026530702890862
1485.0,0.3014812770701148
1490.0,0.3003141939986292
1495.0,0.2991518008422549
1500.0,0.2979940774672046
