fit_time_ms,fit_amplitude,residual
5.0,0.9737751284139404,-0.0010790079895491855
10.0,0.9697988041985557,-0.0009097375475699554
17.5,0.9638994545778488,-0.0006757042079953424
27.5,0.9561506566703073,-0.00040718101674275253
40.0,0.9466434606891292,-0.00012576046722256873
60.0,0.9318174892067144,0.00021181532332592568
90.0,0.9103854591922173,0.0004932060952433925
137.5,0.8781693495663074,0.0005892580489784693
212.5,0.8308214257161592,0.00023254048144283335
330.0,0.7633699227927594,-0.0004912419027248704
510.0,0.672080427890732,-0.0008338415621099715
787.5,0.5532282568920034,0.001053426658792378
1220.0,0.408831671715402,-0.00032852130818394887
