max_grid_size,simulation_pixels,mesh_nodes,mesh_triangles,mean_element_quality,peak_t2_ms,log_weighted_mean_t2_ms,total_amplitude,spectral_l1_distance_vs_128
32,1024,558,560,0.9274178211598504,1482.020705798857,1447.4855925289985,0.9795693309877108,1.0
48,2304,1135,1172,0.9223295206242529,1366.7163564620073,1265.2766890564835,0.9759865373720141,0.7360810151779544
64,4096,1975,2374,0.9300491980211572,1366.7163564620073,1323.7250132495137,0.9774377381205778,1.0
80,6400,2354,2445,0.9233703595098561,1162.322468679852,1011.9534571753813,0.9677653209268151,0.2479094195268389
96,9216,3336,3728,0.9267504814976146,1162.322468679852,1013.8737046460818,0.9670694207019713,0.08569292084689577
128,16384,6363,8013,0.9385769764317473,1162.322468679852,1018.152883448008,0.9667829102286968,0.0
