fit_time_ms,fit_amplitude,residual
5.0,0.9733858244162258,-0.0012742133930589983
10.0,0.9692972863323774,-0.001049206769579425
17.5,0.963252042095865,-0.0007423749318683504
27.5,0.9553472356767443,-0.0003970955280998556
40.0,0.9457004244883489,-4.555342145218244e-05
60.0,0.9307605228351481,0.00035572025386831907
90.0,0.9093584965302982,0.0006513487511616844
137.5,0.8775360309843101,0.000670288369738925
212.5,0.8313117611930209,0.00013092340919662604
330.0,0.7661623920789221,-0.0007316462350221986
510.0,0.6787748239974223,-0.000918240622726274
787.5,0.5659443415750816,0.00140259488830774
1220.0,0.4298111999111278,-0.0004665189817661397
