time_ms,average_normalized_signal,slice_0008_normalized_signal
0.0,1.0,1.0
5.0,0.9955755980061466,0.9955755980061466
10.0,0.9911836179383524,0.9911836179383524
15.0,0.9868220345960388,0.9868220345960388
20.0,0.982489361101418,0.982489361101418
25.0,0.978184452951964,0.978184452951964
30.0,0.973906395290766,0.973906395290766
35.0,0.969654433758108,0.969654433758108
40.0,0.9654279300233604,0.9654279300233604
45.0,0.9612263320814354,0.9612263320814354
50.0,0.95704915377191,0.95704915377191
55.0,0.9528959602698116,0.9528959602698116
60.0,0.9487663575631724,0.9487663575631724
65.0,0.9446599846633182,0.9446599846633182
70.0,0.9405765077317478,0.9405765077317478
75.0,0.9365156155784942,0.9365156155784942
80.0,0.932477016159544,0.932477016159544
85.0,0.92846043381371,0.92846043381371
90.0,0.924465607054784,0.924465607054784
95.0,0.9204922867862156,0.9204922867862156
100.0,0.9165402348412582,0.9165402348412582
105.0,0.912609222776706,0.912609222776706
110.0,0.9086990308663244,0.9086990308663244
115.0,0.9048094472531658,0.9048094472531658
120.0,0.9009402672294736,0.9009402672294736
125.0,0.8970912926200215,0.8970912926200215
130.0,0.8932623312499983,0.8932623312499983
135.0,0.8894531964825979,0.8894531964825979
140.0,0.8856637068145067,0.8856637068145067
145.0,0.8818936855198506,0.8818936855198506
150.0,0.8781429603349826,0.8781429603349826
155.0,0.8744113631779267,0.8744113631779267
160.0,0.8706987298974074,0.8706987298974074
165.0,0.8670049000472915,0.8670049000472915
170.0,0.8633297166829864,0.8633297166829864
175.0,0.8596730261768926,0.8596730261768926
180.0,0.8560346780504977,0.8560346780504977
185.0,0.8524145248210641,0.8524145248210641
190.0,0.8488124218611531,0.8488124218611531
195.0,0.8452282272695274,0.8452282272695274
200.0,0.8416618017521408,0.8416618017521408
205.0,0.8381130085121316,0.8381130085121316
210.0,0.8345817131478569,0.8345817131478569
215.0,0.8310677835581608,0.8310677835581608
220.0,0.8275710898541468,0.8275710898541468
225.0,0.8240915042768236,0.8240915042768236
230.0,0.8206289011200777,0.8206289011200777
235.0,0.8171831566584813,0.8171831566584813
240.0,0.8137541490795032,0.8137541490795032
245.0,0.8103417584197375,0.8103417584197375
250.0,0.8069458665048153,0.8069458665048153
255.0,0.8035663568926882,0.8035663568926882
260.0,0.8002031148200137,0.8002031148200137
265.0,0.7968560271513986,0.7968560271513986
270.0,0.7935249823312792,0.7935249823312792
275.0,0.7902098703382398,0.7902098703382398
280.0,0.7869105826415889,0.7869105826415889
285.0,0.7836270121600353,0.7836270121600353
290.0,0.7803590532223109,0.7803590532223109
295.0,0.777106601529609,0.777106601529609
300.0,0.7738695541197184,0.7738695541197184
305.0,0.7706478093327326,0.7706478093327326
310.0,0.7674412667782476,0.7674412667782476
315.0,0.7642498273039366,0.7642498273039366
320.0,0.7610733929654335,0.7610733929654335
325.0,0.7579118669974299,0.7579118669974299
330.0,0.7547651537859277,0.7547651537859277
335.0,0.7516331588415707,0.7516331588415707
340.0,0.7485157887739966,0.7485157887739966
345.0,0.745412951267154,0.745412951267154
350.0,0.7423245550555265,0.7423245550555265
355.0,0.7392505099012233,0.7392505099012233
360.0,0.7361907265718803,0.7361907265718803
365.0,0.7331451168193373,0.7331451168193373
370.0,0.7301135933590495,0.7301135933590495
375.0,0.7270960698501963,0.7270960698501963
380.0,0.7240924608764516,0.7240924608764516
385.0,0.7211026819273861,0.7211026819273861
390.0,0.7181266493804727,0.7181266493804727
395.0,0.7151642804836591,0.7151642804836591
400.0,0.7122154933384955,0.7122154933384955
405.0,0.709280206883777,0.709280206883777
410.0,0.706358340879687,0.706358340879687
415.0,0.7034498158924218,0.7034498158924218
420.0,0.7005545532792631,0.7005545532792631
425.0,0.6976724751740978,0.6976724751740978
430.0,0.6948035044733483,0.6948035044733483
435.0,0.6919475648223092,0.6919475648223092
440.0,0.689104580601868,0.689104580601868
445.0,0.6862744769155955,0.6862744769155955
450.0,0.6834571795771945,0.6834571795771945
455.0,0.6806526150982842,0.6806526150982842
460.0,0.6778607106765203,0.6778607106765203
465.0,0.6750813941840269,0.6750813941840269
470.0,0.6723145941561339,0.6723145941561339
475.0,0.6695602397804079,0.6695602397804079
480.0,0.6668182608859667,0.6668182608859667
485.0,0.6640885879330635,0.6640885879330635
