fit_time_ms,fit_amplitude,residual
5.0,0.9753512111418216,-0.0008529999200912464
10.0,0.9715947185778149,-0.0006573609493734089
17.5,0.96603550705964,-0.0003997497265750827
27.5,0.9587550476043659,-0.00012358332434392327
40.0,0.949848739083213,0.00013692334048232002
60.0,0.9359982885092679,0.0003946655622039108
90.0,0.9160105964680374,0.000507878330428646
137.5,0.8859254826338898,0.00033986133841590327
212.5,0.8414250479204797,-0.0002378536337708237
330.0,0.7773445806380435,-0.0008545682437274271
510.0,0.6897878688464488,-0.0006614898500020283
787.5,0.5754287370425352,0.0016723747328341032
1220.0,0.43655027499475535,-0.0006418575766358736
