time_ms,average_normalized_signal,slice_0014_normalized_signal,slice_0021_normalized_signal,slice_0121_normalized_signal,slice_0193_normalized_signal,slice_0428_normalized_signal,slice_0574_normalized_signal,slice_0582_normalized_signal,slice_0616_normalized_signal,slice_0640_normalized_signal,slice_0691_normalized_signal
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5.0,0.996308244711391,0.9961082407049704,0.9961241643611688,0.9953332053260682,0.996514829009953,0.997069553835204,0.996284173772372,0.9963258774886752,0.9963956047712044,0.9965673769784164,0.996359420865878
10.0,0.992642787343436,0.9922440141921705,0.99227555270858,0.9907072087110352,0.9930543503751068,0.9941566315626508,0.9925937704293042,0.9926773143480956,0.992816594636325,0.9931581826046548,0.9927442538664366
15.0,0.9890018375917016,0.9884053266365056,0.9884522166550702,0.9861193946928948,0.9896169833943088,0.99126003382521,0.9889269676996992,0.9890525296741802,0.9892612773749478,0.9897708527383592,0.98915279322584
20.0,0.9853843142917873,0.9845909787357736,0.9846529954450204,0.9815681821566248,0.9862017766560712,0.9883790152431255,0.9852826651079172,0.985450446174026,0.9857286284906656,0.9864044368052476,0.9855840181034012
25.0,0.9817894615419689,0.980800140561394,0.9808770905768568,0.9770524484640862,0.9828080623955228,0.9855130450374056,0.9816600994344566,0.9818703137993408,0.9822179294109404,0.9830582666779144,0.982037219061772
30.0,0.9782166931145909,0.9770321768811016,0.9771238923019626,0.9725713038482968,0.9794353186326702,0.9826617077936328,0.9780586857713632,0.9783115547312496,0.9787286214117802,0.9797318221273176,0.9785118476465332
35.0,0.974665521430965,0.9732865663452316,0.9733929000696592,0.968123991649457,0.9760831072186688,0.9798246569960448,0.9744779437733656,0.9747736916985058,0.9752602389939592,0.9764246692940376,0.9750074482707208
40.0,0.9711355217805503,0.9695628602637166,0.9696836823632246,0.9637098394953224,0.9727510430626526,0.977001591031656,0.9709174600085032,0.9712563115202888,0.9718123762698244,0.9731364296339332,0.9715236241563812
45.0,0.9676263127319003,0.9658606597901126,0.9659958547157184,0.9593282332391532,0.9694387774895948,0.9741922397557778,0.9673768671209626,0.9677590450182524,0.968384668504562,0.9698667628738618,0.9680600188110072
50.0,0.9641375446137367,0.9621796023880624,0.9623290668113664,0.9549786019427452,0.9661459885565477,0.9713963564374364,0.9638558314680123,0.9642815551600236,0.9649767812189706,0.9666153569555148,0.9646163051986884
55.0,0.9606688923064638,0.95851935331172,0.9586829944439104,0.9506604086158306,0.9628723750461972,0.968613712634879,0.9603540453261836,0.9608235296283544,0.9615884033413888,0.9633819217169208,0.961192178999254
60.0,0.9572200504779991,0.9548795999589346,0.955057334227254,0.9463731441488814,0.9596176525259668,0.965844094760622,0.9568712217099586,0.9573846759114344,0.9582192426643312,0.960166184698143,0.9577873541744656
