t2_ms,amplitude,normalized_amplitude
0.01,0.0,0.0
0.010843659686896103,7.500626239730125e-18,8.424663541578413e-17
0.01175849554052157,8.91365439070865e-18,1.0011769253327765e-16
0.012750512407130129,6.8178246625321805e-18,7.657744437799855e-17
0.013826221737646556,8.852573273651781e-19,9.943163267173948e-18
0.014992684327860457,2.958655296176299e-18,3.323145909306259e-17
0.01625755666443794,0.0,0.0
0.01762914118095948,1.0913078304217722e-18,1.2257511570026107e-17
0.019116440753857017,1.9559558131942927e-18,2.196919177371143e-17
0.02072921779595371,2.936903793321051e-18,3.2987147368651507e-17
0.02247805833548725,2.6420915159542117e-18,2.9675831532666754e-17
0.024374441501222206,1.301157579451895e-18,1.4614532801798703e-17
0.026430814869741057,0.0,0.0
0.0286606761694825,4.401053956633067e-20,4.943240421255823e-19
0.03107866187782014,0.0,0.0
0.03370064329271928,0.0,0.0
0.03654383070957257,3.254701613126134e-18,3.655663559607893e-17
0.03962688638701478,7.558675246564044e-18,8.489863877639439e-17
0.04297004704320839,1.3236643424640559e-17,1.4867327568165198e-16
0.046595256686646824,1.8426607325964982e-17,2.0696667447813584e-16
0.0505263106533568,2.2251115596547883e-17,2.4992334817689646e-16
0.054789011795939424,2.589142662805716e-17,2.90811128272796e-16
0.05941133984965034,2.830154988373398e-17,3.1788150463051907e-16
0.0644236350872137,2.9738617646640823e-17,3.3402257339196496e-16
0.0698587974678525,2.9212317470245837e-17,3.281111977730664e-16
0.07575250258771912,2.6017756713959706e-17,2.9223006108572594e-16
0.08214343584919426,2.1387156493939533e-17,2.4021940543861484e-16
0.0890735463861044,1.6220611194889998e-17,1.8218904313865033e-16
0.09658832241158703,1.1040774848995625e-17,1.2400939650667897e-16
0.10473708979594497,7.51198071221132e-18,8.43741682474289e-17
0.11357333583431052,5.110683188242784e-18,5.740292203934144e-17
0.12315506032928256,3.696154699595705e-18,4.1515013208867795e-17
0.13354515629298988,1.878709865781437e-18,2.110156939645352e-17
0.14481182276745339,5.520217538520804e-19,6.200279010307178e-18
0.15702901247293774,0.0,0.0
0.17027691722258995,0.0,0.0
0.18464249428955434,0.0,0.0
0.20022003718155845,0.0,0.0
0.21711179456945043,0.0,0.0
0.2354286414322418,0.0,0.0
0.25529080682395167,0.0,0.0
0.2768286630392065,0.0,0.0
0.3001835813575589,0.0,0.0
0.3255088599835058,0.0,0.0
0.352970730273065,0.0,0.0
0.3827494478516313,0.0,0.0
0.41504047578504744,0.0,0.0
0.4500557675700497,0.0,0.0
0.48802515836544313,0.0,0.0
0.5291978735958442,0.0,0.0
0.5738441648302396,0.0,0.0
0.6222570836730228,0.0,0.0
0.6747544053110693,0.0,0.0
0.7316807143427196,0.0,0.0
0.7934096665797492,0.0,0.0
0.8603464416684504,0.0,0.0
0.9329304026284686,0.0,0.0
1.011637979766207,0.0,0.0
1.096985797892384,0.0,0.0
1.1895340673703196,0.0,0.0
1.289890261253308,0.0,0.0
1.3987131026472386,0.0,0.0
1.5167168884709226,0.0,0.0
1.6446761779946644,0.0,0.0
1.7834308769319094,0.0,0.0
1.9338917504552302,0.0,0.0
2.0970464013232326,0.0,0.0
2.2739657523579275,0.0,0.0
2.4658110758226037,0.0,0.0
2.6738416158399465,0.0,0.0
2.899422853882875,0.0,0.0
3.1440354715915,0.0,0.0
3.409285069746811,0.0,0.0
3.6969127071950285,0.0,0.0
4.008806328898465,0.0,0.0
4.347013158125022,0.0,0.0
4.7137531341167245,0.0,0.0
5.111433483440165,0.0,0.0
5.5426645206631076,0.0,0.0
6.010276782070382,0.0,0.0
6.51733960488242,0.0,0.0
7.067181273927491,0.0,0.0
7.663410868007454,0.0,0.0
