time_ms,signal,normalized_signal
0.0,146469.22765230018,1.0
5.0,145807.85788472518,0.995484582132535
10.0,145150.82995828384,0.9909988076325079
15.0,144497.98855417263,0.9865416160805666
20.0,143849.20596786722,0.9821121355903333
25.0,143204.3746498061,0.9777096318808723
30.0,142563.40224620778,0.9733334744185015
35.0,141926.2081413669,0.9689831128097579
40.0,141292.72096591842,0.9646580597893903
45.0,140662.87675572277,0.9603578786503814
50.0,140036.617563833,0.9560821737673294
55.0,139413.890396183,0.951830583329997
60.0,138794.64638341145,0.9476027736890426
65.0,138178.84012795848,0.9433984348984071
70.0,137566.42918324328,0.9392172771594656
75.0,136957.3736337195,0.9350590279539082
80.0,136351.63575291802,0.9309234297090713
85.0,135749.17972245836,0.9268102378795231
90.0,135149.97139920972,0.9227192193573863
95.0,134553.97812084368,0.9186501511447727
100.0,133961.1685422664,0.9146028192370457
105.0,133371.5124970944,0.9105770176770637
110.0,132784.98087959373,0.9065725477491343
115.0,132201.54554346143,0.9025892172879585
120.0,131621.17921456118,0.8986268400828438
125.0,131043.85541529165,0.8946852353613385
130.0,130469.5483987096,0.8907642273394666
135.0,129898.23309087852,0.8868636448281195
140.0,129329.88504018793,0.8829833208870403
145.0,128764.4803726099,0.8791230925193437
150.0,128201.99575203538,0.8752828004007166
155.0,127642.40834497634,0.8714622886384273
160.0,127085.69578903491,0.8676614045560521
165.0,126531.83616463644,0.8638799985004861
170.0,125980.80796960116,0.8601179236683353
175.0,125432.59009619325,0.8563750359492214
180.0,124887.1618103402,0.8526511937839043
185.0,124344.50273275857,0.8489462580354218
190.0,123804.59282176169,0.8452600918717103
195.0,123267.4123575534,0.8415925606583725
200.0,122732.94192784137,0.8379435318604546
205.0,122201.16241462332,0.8343128749522306
210.0,121672.05498201918,0.830700461334128
215.0,121145.60106504071,0.8271061642560537
220.0,120621.78235919905,0.8235298587464408
225.0,120100.58081086841,0.8199714215464584
230.0,119581.97860832931,0.8164307310488599
235.0,119065.95817342655,0.8129076672410289
240.0,118552.50215378401,0.8094021116518275
245.0,118041.59341552442,0.8059139473018903
250.0,117533.21503644857,0.8024430586570571
255.0,117027.35029963308,0.7989893315846625
260.0,116523.9826874114,0.7955526533124412
265.0,116023.09587570385,0.7921329123898183
270.0,115524.67372866953,0.7887299986513946
275.0,115028.70029365244,0.7853438031824428
280.0,114535.15979639946,0.7819742182862585
285.0,114044.03663652808,0.7786211374532165
290.0,113555.31538322577,0.7752844553314095
295.0,113068.98077116256,0.771964067698741
300.0,112585.01769660198,0.7686598714363735
305.0,112103.41121369567,0.7653717645034307
310.0,111624.14653094935,0.7620996459128689
315.0,111147.20900784677,0.7588434157084278
320.0,110672.58415162319,0.7556029749426016
325.0,110200.25761417623,0.7523782256555486
330.0,109730.21518910678,0.7491690708548879
335.0,109262.44280888027,0.7459754144963185
340.0,108796.92654210248,0.7427971614650206
345.0,108333.65259090062,0.7396342175577747
350.0,107872.60728840547,0.7364864894657716
355.0,107413.77709632681,0.7333538847580587
360.0,106957.14860261833,0.7302363118655979
365.0,106502.708519225,0.7271336800658855
370.0,106050.44367991053,0.7240458994681201
375.0,105600.34103815824,0.7209728809988701
380.0,105152.38766514295,0.7179145363882282
385.0,104706.57074776942,0.7148707781564184
390.0,104262.87758677414,0.7118415196008359
