fit_time_ms,fit_amplitude,residual
5.0,0.9692292464623257,-0.0002208149525447789
10.0,0.9647371025363072,-5.416264923496783e-05
17.5,0.9581425696084387,0.00010175814886104195
27.5,0.9495594036627818,0.00018090505515833133
40.0,0.9390831200424221,0.0001647098269839109
60.0,0.9227469042151384,1.6228420582131697e-05
90.0,0.898973260454027,-0.0002840868699428567
137.5,0.8627761182284628,-0.0006455123029273091
212.5,0.8088206633483965,-0.0009140947154241408
330.0,0.7314701242062337,-0.000695599884637077
510.0,0.6280129377312391,0.00023983004355598858
787.5,0.49815122247302623,0.0021810033021262276
1220.0,0.34995448329576967,-0.001203387522821897
