t2_ms,amplitude,normalized_amplitude
0.01,2.4884524718988528e-17,2.413917643517932e-16
0.010843659686896103,4.036163492998831e-17,3.9152711887795546e-16
0.01175849554052157,4.3535570059707425e-17,4.223158041975671e-16
0.012750512407130129,4.6280108075113647e-17,4.489391326055209e-16
0.013826221737646556,4.904697053986943e-17,4.757790188251078e-16
0.014992684327860457,5.067469754065136e-17,4.915687474632433e-16
0.01625755666443794,5.1538159847756766e-17,4.999447438753586e-16
0.01762914118095948,5.1577149902864956e-17,5.003229660154648e-16
0.019116440753857017,5.0822225512456375e-17,4.929998391882172e-16
0.02072921779595371,4.889028885163044e-17,4.742591316826876e-16
0.02247805833548725,4.600780289072194e-17,4.462976423763627e-16
0.024374441501222206,4.3226386343389094e-17,4.1931657461075587e-16
0.026430814869741057,3.973757267697381e-17,3.8547341722917237e-16
0.0286606761694825,3.594620766218167e-17,3.4869536739469123e-16
0.03107866187782014,2.996699090581061e-17,2.906941116519662e-16
0.03370064329271928,2.2784389875070633e-17,2.210194542082453e-16
0.03654383070957257,1.4723133952466632e-17,1.4282142503054286e-16
0.03962688638701478,7.586444874517487e-18,7.359213543749092e-17
0.04297004704320839,1.5197392175893858e-18,1.4742195610775842e-17
0.046595256686646824,1.7526160636046498e-19,1.7001212142982704e-18
0.0505263106533568,0.0,0.0
0.054789011795939424,0.0,0.0
0.05941133984965034,0.0,0.0
0.0644236350872137,1.2367411484661487e-18,1.1996979297213649e-17
0.0698587974678525,2.638732623141403e-18,2.5596965614002262e-17
0.07575250258771912,5.171838012370861e-18,5.016929665509071e-17
0.08214343584919426,8.230097149252593e-18,7.983586964507227e-17
0.0890735463861044,1.0460498411567424e-17,1.0147182620854276e-16
0.09658832241158703,1.2586013296881809e-17,1.2209033486466846e-16
0.10473708979594497,1.3744831244678118e-17,1.3333142193142782e-16
0.11357333583431052,1.3880876631409006e-17,1.3465112710183966e-16
0.12315506032928256,1.229250931650223e-17,1.1924320619863298e-16
0.13354515629298988,8.729888692029753e-18,8.468408610415629e-17
0.14481182276745339,4.798402888690367e-18,4.654679775691491e-17
0.15702901247293774,1.3575368464623655e-18,1.3168755209942367e-17
0.17027691722258995,0.0,0.0
0.18464249428955434,0.0,0.0
0.20022003718155845,0.0,0.0
0.21711179456945043,0.0,0.0
0.2354286414322418,0.0,0.0
0.25529080682395167,0.0,0.0
0.2768286630392065,0.0,0.0
0.3001835813575589,0.0,0.0
0.3255088599835058,0.0,0.0
0.352970730273065,0.0,0.0
0.3827494478516313,0.0,0.0
0.41504047578504744,0.0,0.0
0.4500557675700497,0.0,0.0
0.48802515836544313,0.0,0.0
0.5291978735958442,0.0,0.0
0.5738441648302396,0.0,0.0
0.6222570836730228,0.0,0.0
0.6747544053110693,0.0,0.0
0.7316807143427196,0.0,0.0
0.7934096665797492,0.0,0.0
0.8603464416684504,0.0,0.0
0.9329304026284686,0.0,0.0
1.011637979766207,0.0,0.0
1.096985797892384,0.0,0.0
1.1895340673703196,0.0,0.0
1.289890261253308,0.0,0.0
1.3987131026472386,0.0,0.0
1.5167168884709226,0.0,0.0
1.6446761779946644,0.0,0.0
1.7834308769319094,0.0,0.0
1.9338917504552302,0.0,0.0
2.0970464013232326,0.0,0.0
2.2739657523579275,0.0,0.0
2.4658110758226037,0.0,0.0
2.6738416158399465,0.0,0.0
2.899422853882875,0.0,0.0
3.1440354715915,0.0,0.0
3.409285069746811,0.0,0.0
3.6969127071950285,0.0,0.0
4.008806328898465,0.0,0.0
4.347013158125022,0.0,0.0
4.7137531341167245,0.0,0.0
5.111433483440165,0.0,0.0
5.5426645206631076,0.0,0.0
6.010276782070382,0.0,0.0
6.51733960488242,0.0,0.0
7.067181273927491,0.0,0.0
