element_id,node_0,node_1,node_2,area_um2,edge_min_um,edge_max_um,edge_mean_um,quality_equilateral_normalized,aspect_edge_ratio
0,1018,819,1109,76.05914692230196,10.59646774909801,16.462419722839808,13.879062689836223,0.8844120065216965,1.553576164495109
1,794,795,974,47.05132581639215,9.167771465468705,11.590564602456064,10.566080011431573,0.9642395155614045,1.2642728547622553
2,793,974,792,55.5123497358265,10.056387403784907,15.636012813906227,12.259757186242824,0.8208590990511904,1.554833976266798
3,1018,792,974,109.22928726626576,15.084319006381284,17.152257812297066,15.957529877528193,0.9876552361436798,1.1370919565570683
4,1109,791,1018,103.00596496789244,14.578300597570848,16.01223142057124,15.460777320690005,0.9935220745677008,1.0983606294439645
5,974,793,794,53.605647940997905,10.056387403784907,11.999999999999991,11.215650668746987,0.978703857636652,1.1932714520806518
6,797,975,796,62.29456872585742,11.2520476873585,13.394302803255291,12.108520159455786,0.9755200000620984,1.1903880231776462
7,1019,1157,799,153.72108777262804,17.91159469640737,20.312011464383218,18.926568886944633,0.9881965420187023,1.1340146876178097
8,1157,1019,817,142.3829584205683,17.89462786682042,18.55610050004331,18.14070176577229,0.9989277261937438,1.0369648722591973
9,1264,1437,1415,117.06920134537512,16.26119025027449,16.542569227736454,16.44413803415605,0.999753340470065,1.0173037135124359
10,1382,1314,1438,103.42514313801144,14.261513400399826,18.530766422211446,15.850233020722953,0.9371682430379534,1.2993548371726054
11,1019,800,1264,124.12827141415079,15.690314408084273,19.80049432080097,17.253241150120058,0.9524464093500156,1.2619565042367136
12,1103,1247,514,101.27425799809399,12.44114547041028,18.020752517258572,15.803824248099767,0.9150136148522992,1.4484801709069872
13,1018,818,819,73.11341251508051,11.098571991716566,16.462419722839808,13.597800699843015,0.8897888936515029,1.4832917005112511
14,1407,1345,1190,100.0715969007583,14.791650108259342,15.657195086357723,15.214529398782743,0.997834657952565,1.0585157823341886
15,1021,1020,826,154.11509480695457,17.59181172864456,20.079586942291915,18.947939664338605,0.9884260755052177,1.1414166574780091
16,820,1021,827,156.00515489268457,18.153826567254548,20.448204974392635,19.06279787861682,0.9887407782265968,1.1263853876006855
17,1020,1021,823,144.81329402775535,17.714203354833664,19.17242032207934,18.319841074298157,0.9953289211491411,1.0823190824919469
18,1449,1215,1426,147.09194252292198,16.24435242902354,22.370968725084374,18.99682224940376,0.924770013635049,1.3771536183316548
19,1435,1181,1039,132.41924940027053,16.80268084130739,18.56753861103956,17.537211030565118,0.9925110110020046,1.1050342969910776
20,1437,1324,1415,94.58106381419826,12.58235138329746,16.528654624457218,15.064700675391345,0.9494316866593646,1.3136379775880611
21,1465,1121,990,205.72014995777187,19.598752571523534,23.935868463131857,22.0121374461898,0.9739665494061797,1.2212955072411107
22,1427,1069,1142,146.82440838269522,16.7012607549299,20.114935897115537,18.571740915489745,0.9774322628993598,1.2043962544071998
23,1402,1440,1295,195.38508628550164,18.08324688905567,24.60989026055666,21.73476093406623,0.940437349887713,1.3609220961005095
24,1473,1434,1451,134.6883211962327,14.337222368208078,20.84253271808821,18.235232876043654,0.9137495371189428,1.453735750399273
25,1020,823,824,96.64030030610934,12.0,17.714203354833664,15.490748443971171,0.9064730637047557,1.4761836129028054
26,1246,1373,1471,112.91805584097025,14.361431521400343,18.904633372710492,16.486689893774912,0.947253424150597,1.3163474229250898
27,1456,1450,1430,77.43697296545584,11.558658642787494,14.962549990257918,13.59593740300277,0.9562982826364705,1.2944884395902134
28,694,695,1159,68.18869838166586,11.434065137623701,13.357847977633321,12.630943025618521,0.9825733818315262,1.168250120744846
29,1086,288,1400,113.20366917600086,13.473362060063891,18.752983804495482,16.60051306510763,0.9313671294905728,1.3918562954736298
30,690,1160,694,88.08502910824184,12.84531741800677,15.8229608138688,14.416777627981872,0.9717619846399291,1.23180769294871
31,1215,1355,1426,81.42135821917466,12.375317768684516,16.24435242902354,14.027825288543582,0.9428418288540915,1.3126412373934782
32,820,821,1021,78.50947435518691,11.999999999999984,18.586362094203274,14.575392432288046,0.821512386024553,1.5488635078502748
33,802,803,1265,81.54715896162499,11.999999999999986,15.014326051382197,13.90716115003999,0.9645653135491001,1.2511938376151845
34,803,804,1022,86.37826004425479,11.999999999999986,16.38181953844388,14.45784596630574,0.9393053809121447,1.3651516282036584
35,806,1022,804,114.1323592138154,14.991718360473353,19.996534047504248,16.782973321710013,0.918854385878757,1.3338386945839658
36,1266,1381,809,90.97959616373872,13.39170632066553,17.564430859679707,14.910147546313175,0.9302613837190065,1.3115902065874159
37,1252,1434,1375,105.08733955197643,14.635329368687014,16.300343845141025,15.626121396816687,0.9918303720733518,1.1137667922948415
38,807,1022,806,78.60732053927408,11.30221366518862,15.360667557152444,13.791104414467265,0.9388376870247833,1.3590848671056417
39,200,1472,1060,144.55957768437818,17.780351024644034,18.660911660030028,18.282555710007895,0.9983770405959994,1.0495243673291665
40,804,805,806,100.17613766806898,12.0,19.996534047504248,16.24073167018204,0.8426820847074554,1.6663778372920206
41,1449,1153,995,118.04032464572408,14.436720929669358,19.05774021474987,16.831824034699178,0.9502197742999171,1.3200878722801734
42,1288,1215,1449,219.89462236766428,21.56216592700187,23.85560488494506,22.596246512343768,0.992829809974006,1.1063640343789007
43,810,1266,809,95.14515871974208,12.0,17.564430859679707,15.344566312357607,0.9107960189879957,1.4637025716399756
44,933,1161,932,67.70015653987647,12.000000000000027,13.286943615360205,12.540635642376118,0.992270378219541,1.1072453012800145
45,1161,931,932,85.6855374373904,13.286943615360205,15.08803498463036,14.126618863240202,0.9888703217432837,1.1355534742533284
46,234,1234,1451,214.47760376602977,20.720307090399878,25.191924869923866,22.523667369649903,0.9692628461969556,1.2158084704061058
47,933,1023,929,104.27665264341428,14.008224815612234,17.69268527362269,15.746445273744227,0.9623629265139911,1.263021225494904
48,1470,1400,1295,143.5617794571624,16.225164443228216,20.557922164187495,18.464596894762888,0.9635577400803012,1.2670393718423982
49,927,1023,935,155.80139132313167,17.855529587347487,21.281484384445477,19.162683656460956,0.973785439214966,1.1918708028422544
50,876,877,1424,63.416756162787046,11.15669996998905,13.518369320120597,12.225023096703177,0.9737287043562123,1.2116817120191736
51,1351,1121,1352,121.44452819908506,14.151912752974463,20.935509136260652,17.46206715515679,0.897179006059614,1.4793413089591303
52,1266,810,1024,109.47434516445033,15.441031644126076,16.469268077393114,15.91737848269935,0.9971530073870492,1.0665911745384054
53,811,1162,1024,79.90218487658579,11.861214485135926,14.824269727583497,13.76854719731457,0.9640927581136473,1.2498104427806083
54,1335,1329,677,50.510249897762826,9.78799051520439,12.580992144058314,11.003568482658714,0.9526665501167365,1.2853498503615581
55,1225,1247,522,65.863264959468,10.987767217379973,13.411787894447423,12.459778375576834,0.9727815321492356,1.2206108510592797
56,533,1314,532,97.31545839559605,12.000000000000002,17.665832838231925,15.545967328032043,0.9060496869147282,1.4721527365193268
57,1163,670,672,63.97878977880915,10.811209291939639,15.044445451883414,12.596334743009251,0.912762764031744,1.3915599120904902
58,1326,668,669,78.91409210057053,12.000000000000016,21.200808601488667,15.714546765175443,0.6939318930962352,1.7667340501240532
59,901,1121,1351,107.92848044620987,12.668104451882936,19.598879020136803,16.521921016085,0.8861232917069681,1.5471043118233607
60,626,1181,1376,79.82290395230099,12.17674029547118,15.680246796462129,13.815514064104507,0.95544402675366,1.2877212140505276
61,813,976,812,49.832175580510224,9.06636969184658,13.14514157294451,11.120083913959824,0.9102508886087045,1.4498792813143264
62,976,813,814,46.82694583484679,9.06636969184658,11.397867222180052,10.544607068254146,0.9630615650134706,1.257158886034638
63,1368,1234,150,96.32911502264812,13.359464321491446,18.56538473452854,15.480674441804913,0.9093749573039626,1.389680326078816
64,672,670,671,52.05796021758458,9.355630259442457,15.044445451883414,11.851744844006094,0.8228782379685761,1.6080632768379604
65,1262,527,1267,74.14782351000953,12.595106061200454,13.700120636245654,13.109705836405643,0.9951548589282864,1.0877336458840332
66,1252,1375,124,109.67362322131392,15.027371833419116,16.94952268513299,15.973195165058044,0.9903079821603226,1.1279099814006888
67,1327,1329,1335,75.21073749679081,12.580992144058314,14.392177100929317,13.257630221611004,0.9845560046719609,1.1439620131808428
68,1305,1306,1110,199.60907992481106,18.916531906985906,24.972401305126652,21.90493411271655,0.9486273597785378,1.3201363457063873
69,1434,1252,1374,122.13201558907805,15.37839789793491,19.73710021251369,17.13861398519654,0.9488712542118517,1.2834301949726563
70,513,1225,512,96.93040921279972,12.32344157167962,16.97791623251143,15.371852697985469,0.9290561927918491,1.3776927600750923
71,1352,898,899,83.70171047063438,11.402215686158357,15.891827022436065,14.303229728430262,0.9257567579652396,1.393749027369114
72,694,1159,690,85.32052751066514,13.357847977633321,15.8229608138688,14.191102186633165,0.9719821881321355,1.1845441601344107
73,725,726,731,79.92872755589579,11.448736053581866,17.542839766882548,14.326342222778772,0.8727904494801191,1.5322948913119603
74,816,1415,1324,77.27309241318895,12.58235138329746,15.168682610636274,13.52457154449685,0.9684132796821869,1.2055522969078785
75,672,673,1163,65.78284833091621,11.933349485204705,13.165294623521188,12.366214702908621,0.9913582498904887,1.1032354863857698
76,1066,887,1353,65.97543617929281,11.759999380507987,13.432252813996673,12.411848540693198,0.9856118870811853,1.1421984287057378
77,1450,1085,1430,103.39422544374904,14.266603575962897,18.645311791403774,15.87568696893605,0.9330706655482536,1.306920157424038
78,690,691,1160,66.54978888059729,11.597669534885553,12.871219133412398,12.438068695434907,0.9911733744624686,1.109810819725121
79,1377,1477,1466,112.57967290509497,15.250178053806,17.855533473193166,16.253967003954756,0.9792475414185409,1.1708409836393316
80,1360,1428,1223,136.06935787751698,17.292128952296046,18.40460965243984,17.746392255037986,0.9970720282198493,1.0643345133044524
81,1451,1246,1473,188.13599068915653,19.993436107663484,21.817141345312013,20.884370057021233,0.9948921837506277,1.0912151982194547
82,1269,1468,1474,146.33519324527458,15.893029438699847,20.76186288929722,18.706389468052674,0.9542010758948617,1.3063502442612775
83,1165,675,676,91.45551417507244,12.0,17.059469648075872,14.969212024293126,0.9233922035048769,1.4216224706729894
84,462,463,1104,79.48915047082055,11.092212177163491,15.60670023567953,13.95028562009289,0.9237309056493891,1.40699618673094
85,336,337,1053,93.18936696845759,11.089038559326339,18.02584666636154,15.511248928698128,0.8593401748709203,1.6255554140174815
86,1072,759,1126,148.04844612780005,17.65081232198908,19.32808197442307,18.52862864005183,0.9945349643445688,1.0950250686391627
87,1328,684,1164,94.1517522204248,12.676611091159362,18.176407678078434,15.289890014681973,0.9103020197815976,1.433853854738402
88,1329,1416,1165,72.92984856543832,11.368621174491784,14.58773156399434,13.176175328084511,0.9601359047495462,1.2831575034556872
89,1330,1166,674,73.0556293998739,11.971749745364534,15.542077379509188,13.314148942397741,0.9384345432227726,1.298229390864697
