equivalent_t2_ms_center,pore_diameter_um_center,volume_weighted_count,normalized_volume_weighted_count,display_equivalent_t2_ms_center,display_alignment_scale,display_alignment_shift_ms
0.011059869434355595,0.0003317960830306678,0.0,0.0,-10399.617085269305,1.0,-10399.628145138739
0.013528511027866503,0.00040585533083599504,0.0,0.0,-10399.61461662771,1.0,-10399.628145138739
0.016548170999431816,0.0004964451299829545,0.0,0.0,-10399.61159696774,1.0,-10399.628145138739
0.020241840573760616,0.0006072552172128185,0.0,0.0,-10399.607903298165,1.0,-10399.628145138739
0.02475996349249774,0.0007427989047749322,0.0,0.0,-10399.603385175245,1.0,-10399.628145138739
0.030286563611439634,0.000908596908343189,0.0,0.0,-10399.597858575127,1.0,-10399.628145138739
0.03704674022107156,0.0011114022066321468,0.0,0.0,-10399.591098398518,1.0,-10399.628145138739
0.04531583637600816,0.0013594750912802448,0.0,0.0,-10399.582829302362,1.0,-10399.628145138739
0.05543065366083506,0.0016629196098250517,0.0,0.0,-10399.572714485077,1.0,-10399.628145138739
0.0678031701715246,0.0020340951051457377,0.0,0.0,-10399.560341968567,1.0,-10399.628145138739
0.08293732044796284,0.002488119613438885,0.0,0.0,-10399.54520781829,1.0,-10399.628145138739
0.10144952080687358,0.0030434856242062074,0.0,0.0,-10399.526695617931,1.0,-10399.628145138739
0.12409377607517193,0.0037228132822551578,0.0,0.0,-10399.504051362663,1.0,-10399.628145138739
0.15179239032493838,0.004553771709748152,0.0,0.0,-10399.476352748414,1.0,-10399.628145138739
0.18567353246307058,0.005570205973892117,0.0,0.0,-10399.442471606275,1.0,-10399.628145138739
0.22711718672797654,0.006813515601839296,0.0,0.0,-10399.40102795201,1.0,-10399.628145138739
0.27781135966425347,0.008334340789927603,0.0,0.0,-10399.350333779073,1.0,-10399.628145138739
0.33982083289425585,0.010194624986827674,0.0,0.0,-10399.288324305844,1.0,-10399.628145138739
0.4156712619977309,0.012470137859931927,0.0,0.0,-10399.212473876742,1.0,-10399.628145138739
0.5084520468600938,0.015253561405802814,0.0,0.0,-10399.119693091878,1.0,-10399.628145138739
0.6219421634147762,0.018658264902443284,0.0,0.0,-10399.006202975324,1.0,-10399.628145138739
0.76076408192627,0.022822922457788098,0.0,0.0,-10398.867381056813,1.0,-10399.628145138739
0.9305720409296986,0.027917161227890955,0.0,0.0,-10398.697573097808,1.0,-10399.628145138739
1.1382823452540312,0.03414847035762093,0.0,0.0,-10398.489862793485,1.0,-10399.628145138739
1.3923550682035835,0.041770652046107505,0.0,0.0,-10398.235790070536,1.0,-10399.628145138739
1.7031386316718768,0.0510941589501563,0.0,0.0,-10397.925006507066,1.0,-10399.628145138739
2.0832912989899985,0.06249873896969996,0.0,0.0,-10397.544853839749,1.0,-10399.628145138739
2.5482967479793452,0.07644890243938035,0.0,0.0,-10397.079848390758,1.0,-10399.628145138739
3.1170947235801236,0.0935128417074037,0.0,0.0,-10396.511050415158,1.0,-10399.628145138739
3.812852456636187,0.1143855736990856,0.0,0.0,-10395.815292682102,1.0,-10399.628145138739
4.663908268844406,0.13991724806533215,0.0,0.0,-10394.964236869893,1.0,-10399.628145138739
5.704925797046318,0.17114777391138952,0.0,0.0,-10393.923219341692,1.0,-10399.628145138739
6.9783058485986595,0.20934917545795978,0.0,0.0,-10392.64983929014,1.0,-10399.628145138739
8.535913392913653,0.25607740178740956,0.0,0.0,-10391.092231745824,1.0,-10399.628145138739
10.44119002980564,0.3132357008941692,0.0,0.0,-10389.186955108933,1.0,-10399.628145138739
12.771737975811428,0.38315213927434283,0.0,0.0,-10386.856407162928,1.0,-10399.628145138739
15.622480814652898,0.4686744244395869,0.0,0.0,-10384.005664324086,1.0,-10399.628145138739
19.109529749704393,0.5732858924911318,0.0,0.0,-10380.518615389034,1.0,-10399.628145138739
23.374912831534868,0.701247384946046,0.0,0.0,-10376.253232307203,1.0,-10399.628145138739
28.59235978270505,0.8577707934811515,0.0,0.0,-10371.035785356033,1.0,-10399.628145138739
34.97437803664179,1.0492313410992535,0.0,0.0,-10364.653767102096,1.0,-10399.628145138739
42.78090819876379,1.2834272459629137,0.0,0.0,-10356.847236939975,1.0,-10399.628145138739
52.32991146814944,1.5698973440444832,0.0,0.0,-10347.29823367059,1.0,-10399.628145138739
64.01032024709305,1.9203096074127914,0.0,0.0,-10335.617824891646,1.0,-10399.628145138739
78.29787941891017,2.348936382567305,0.0,0.0,-10321.33026571983,1.0,-10399.628145138739
95.77452351172401,2.8732357053517203,0.0,0.0,-10303.853621627015,1.0,-10399.628145138739
117.15207898315589,3.5145623694946764,0.0,0.0,-10282.476066155583,1.0,-10399.628145138739
143.3012570236961,4.299037710710883,0.0,0.0,-10256.326888115042,1.0,-10399.628145138739
175.28711776018906,5.258613532805672,0.0,0.0,-10224.34102737855,1.0,-10399.628145138739
214.41245032200712,6.432373509660214,0.0,0.0,-10185.215694816732,1.0,-10399.628145138739
262.27083564681885,7.868125069404566,855688.3523799995,0.012108344518716816,-10137.35730949192,1.0,-10399.628145138739
320.8115532823633,9.624346598470899,2843789.2488999944,0.04024079545845282,-10078.816591856375,1.0,-10399.628145138739
392.41897584845316,11.772569275453595,6928778.112168003,0.09804507942935912,-10007.209169290285,1.0,-10399.628145138739
480.009684908111,14.40029054724333,6356304.354399992,0.08994433870091546,-9919.618460230628,1.0,-10399.628145138739
587.1512637925164,17.61453791377549,7810081.183899943,0.11051588283372149,-9812.476881346221,1.0,-10399.628145138739
718.2076058301701,21.546228174905103,7365363.466000017,0.1042229429719919,-9681.420539308569,1.0,-10399.628145138739
878.5166564072711,26.35549969221813,8391926.272,0.11874923176694381,-9521.111488731467,1.0,-10399.628145138739
1074.6078283213164,32.23823484963949,8062910.710000023,0.1140935253223786,-9325.020316817423,1.0,-10399.628145138739
1314.4679457894206,39.43403837368262,10725399.63999997,0.15176884619363018,-9085.160199349319,1.0,-10399.628145138739
1607.8665490525602,48.235996471576804,12088466.580000035,0.17105680782789637,-8791.761596086179,1.0,-10399.628145138739
1966.753809283337,59.002614278500104,7495093.99000001,0.10605868360678786,-8432.874335855402,1.0,-10399.628145138739
2405.747260933949,72.17241782801847,8901294.0,0.1259569960425537,-7993.880884204789,1.0,-10399.628145138739
2942.727176209279,88.28181528627837,14530925.500000015,0.20561861294528014,-7456.90096892946,1.0,-10399.628145138739
3599.5648313608917,107.98694494082675,13563448.400000006,0.19192841135706584,-6800.063313777847,1.0,-10399.628145138739
4403.013327202412,132.09039981607236,5060166.0,0.07160344426739132,-5996.614817936326,1.0,-10399.628145138739
5385.7972471057155,161.57391741317147,16094924.999999985,0.2277498535078379,-5013.830898033023,1.0,-10399.628145138739
6587.945534419233,197.63836603257698,0.0,0.0,-3811.6826107195056,1.0,-10399.628145138739
8058.42187761481,241.7526563284443,0.0,0.0,-2341.2062675239285,1.0,-10399.628145138739
9857.11900900615,295.7135702701845,36503600.0,0.5165410557991864,-542.5091361325885,1.0,-10399.628145138739
12057.298145138739,361.71894435416215,70669310.0,1.0,1657.67,1.0,-10399.628145138739
14748.572927641237,442.45718782923706,0.0,0.0,4348.944782502498,1.0,-10399.628145138739
18040.55940091785,541.2167820275355,0.0,0.0,7640.931255779111,1.0,-10399.628145138739
22067.340690845875,662.0202207253762,0.0,0.0,11667.712545707136,1.0,-10399.628145138739
26992.928231542905,809.7878469462871,0.0,0.0,16593.300086404168,1.0,-10399.628145138739
33017.941976827184,990.5382593048155,0.0,0.0,22618.313831688443,1.0,-10399.628145138739
40387.78168243258,1211.6334504729773,0.0,0.0,29988.153537293838,1.0,-10399.628145138739
49402.62207658594,1482.0786622975781,0.0,0.0,39002.9939314472,1.0,-10399.628145138739
60429.63902381322,1812.8891707143966,0.0,0.0,50030.01087867448,1.0,-10399.628145138739
73917.96465554587,2217.5389396663763,0.0,0.0,63518.336510407134,1.0,-10399.628145138739
90416.980592345,2712.50941777035,0.0,0.0,80017.35244720627,1.0,-10399.628145138739
