fit_time_ms,fit_amplitude,residual
5.0,0.9736052510803843,-0.0011254078795983613
10.0,0.9697685821586439,-0.0011478167218227364
17.5,0.9640437081874937,-0.0011753773755565078
27.5,0.9564664103082741,-0.0012085992126508183
40.0,0.9470837796784904,-0.0012371131008387382
60.0,0.9322746672182572,-0.0012585831744794662
90.0,0.9105210972259019,-0.0012559966683695079
137.5,0.8771750672416612,-0.0011517304542439932
212.5,0.8271414553408072,-0.000870251833466007
330.0,0.754763521135094,-0.00019146177351236915
510.0,0.6566519758526939,0.0009348988420990745
787.5,0.5310549891656193,0.0026705100577163465
1220.0,0.3835956194122949,-0.001709369861402077
