time_ms,signal,normalized_signal
0.0,149952.60847718158,1.0
5.0,149288.26207842497,0.9955696242599361
10.0,148627.96563418818,0.9911662567497452
15.0,147971.62226043557,0.9867892513717261
20.0,147319.1472898191,0.9824380434985017
25.0,146670.46551164432,0.9781121315669763
30.0,146025.50925062544,0.9738110642659896
35.0,145384.21697073113,0.9695344312256787
40.0,144746.5322249842,0.9652818560139312
45.0,144112.40284377645,0.9610529907234402
50.0,143481.78029407837,0.9568475116984185
55.0,142854.61916502682,0.9526651161040999
60.0,142230.8767493581,0.9485055191354107
65.0,141610.51269901096,0.9443684517202644
70.0,140993.48873905017,0.9402536586117825
75.0,140379.768428055,0.9361608967903796
80.0,139769.31695592697,0.9320899341153894
85.0,139162.1009721164,0.9280405481795458
90.0,138558.08843877586,0.9240125253296968
95.0,137957.24850449228,0.9200056598247529
100.0,137359.55139511943,0.916019753107673
105.0,136764.9683189092,0.9120546131728069
110.0,136173.47138366813,0.9081100540134303
115.0,135585.0335240817,0.9041858951370878
120.0,134999.62843768203,0.9002819611385756
125.0,134417.23052819495,0.8963980813221355
130.0,133837.8148552212,0.8925340893658906
135.0,133261.35708937506,0.8886898230226755
140.0,132687.8334721463,0.8848651238523638
145.0,132117.22077986598,0.8810598369815645
150.0,131549.49629125203,0.8772738108871913
155.0,130984.6377580873,0.8735068972009202
160.0,130422.62337864983,0.8697589505320034
165.0,129863.4317735683,0.8660298283062527
170.0,129307.04196382123,0.8623193906193236
175.0,128753.43335063706,0.8586275001026713
180.0,128202.5856970845,0.8549540218007825
185.0,127654.47911117015,0.8512988230584562
190.0,127109.09403028368,0.8476617734170725
195.0,126566.41120685037,0.8440427445189131
200.0,126026.41169506928,0.8404416100187202
205.0,125489.07683862839,0.8368582455017725
210.0,124954.38825930198,0.833292528407843
215.0,124422.3278463459,0.8297443379604788
220.0,123892.87774661648,0.8262135551011063
225.0,123366.02035534615,0.8227000624275159
230.0,122841.73830751772,0.8192037441363392
235.0,122320.01446978362,0.8157244859691598
240.0,121800.83193288394,0.8122621751619511
245.0,121284.17400452019,0.8088167003975533
250.0,120770.02420264769,0.8053879517609417
255.0,120258.36624915202,0.8019758206970561
