component_label,voxel_count,volume_um3,is_open
1,2,905.9696639999999,True
2,3,1358.9544959999998,True
3,11,4982.833151999999,True
4,3,1358.9544959999998,True
5,8,3623.8786559999994,True
6,3,1358.9544959999998,True
7,31033,14057478.291455997,True
8,1,452.9848319999999,True
9,4,1811.9393279999997,True
10,8,3623.8786559999994,True
11,1,452.9848319999999,True
12,8,3623.8786559999994,True
13,18,8153.726975999999,True
14,1,452.9848319999999,True
15,3,1358.9544959999998,True
16,7,3170.8938239999993,True
17,1,452.9848319999999,True
18,2,905.9696639999999,True
19,200,90596.96639999999,True
20,1,452.9848319999999,True
21,30,13589.544959999997,True
22,1,452.9848319999999,True
23,4,1811.9393279999997,True
24,6,2717.9089919999997,True
25,1,452.9848319999999,True
26,4,1811.9393279999997,True
27,6,2717.9089919999997,True
28,6,2717.9089919999997,True
29,2,905.9696639999999,True
30,148,67041.75513599999,True
31,1,452.9848319999999,True
32,2,905.9696639999999,False
33,1,452.9848319999999,False
34,1,452.9848319999999,False
35,2,905.9696639999999,False
36,10,4529.848319999999,False
37,1,452.9848319999999,False
38,1,452.9848319999999,False
39,1,452.9848319999999,False
40,1,452.9848319999999,False
41,1,452.9848319999999,False
42,2,905.9696639999999,False
43,7,3170.8938239999993,False
44,1,452.9848319999999,False
45,1,452.9848319999999,True
46,6,2717.9089919999997,False
47,1,452.9848319999999,False
48,3,1358.9544959999998,False
49,13,5888.802815999999,False
50,1,452.9848319999999,False
51,1,452.9848319999999,False
52,1,452.9848319999999,False
53,1,452.9848319999999,False
54,1,452.9848319999999,False
55,1,452.9848319999999,False
56,1,452.9848319999999,False
57,1,452.9848319999999,False
58,1,452.9848319999999,False
59,1,452.9848319999999,False
60,1,452.9848319999999,False
61,1,452.9848319999999,False
62,2,905.9696639999999,True
63,1,452.9848319999999,True
64,4,1811.9393279999997,True
65,2,905.9696639999999,False
66,1,452.9848319999999,False
67,2,905.9696639999999,False
68,8,3623.8786559999994,False
69,1,452.9848319999999,False
70,5,2264.9241599999996,False
