fit_time_ms,fit_amplitude,residual
5.0,0.866808499986936,-0.0011348113024676199
10.0,0.8492584927450024,-0.0010819686790354277
17.5,0.8236928342605964,-0.0009591181569551521
27.5,0.7909675196388173,-0.0008733984510118642
40.0,0.7521377796405617,-0.0007140375526039078
60.0,0.6944680915202441,-0.00042114026401784965
90.0,0.617205447869823,-0.00015514900750068783
137.5,0.5141276016349017,0.0004365877688355946
212.5,0.3888722244835447,0.0006813546595157427
330.0,0.2562612662914512,0.0008507369810173415
510.0,0.14087104094722427,5.652186992100017e-05
787.5,0.06034154665673426,-0.000552816640722105
1220.0,0.01828910332573926,-0.0010563856824865846
