time_index,time_ms,cg_info,cg_iterations
0,0.0,0,14
1,5.0,0,14
2,10.0,0,14
3,15.0,0,14
4,20.0,0,14
5,25.0,0,14
6,30.0,0,14
7,35.0,0,14
8,40.0,0,14
9,45.0,0,14
10,50.0,0,14
11,55.0,0,14
12,60.0,0,14
13,65.0,0,14
14,70.0,0,14
15,75.0,0,14
16,80.0,0,14
17,85.0,0,14
18,90.0,0,14
19,95.0,0,14
20,100.0,0,13
21,105.0,0,13
22,110.0,0,13
23,115.0,0,13
24,120.0,0,13
25,125.0,0,13
26,130.0,0,13
27,135.0,0,13
28,140.0,0,13
29,145.0,0,13
30,150.0,0,13
31,155.0,0,13
32,160.0,0,13
33,165.0,0,13
34,170.0,0,13
35,175.0,0,13
36,180.0,0,13
37,185.0,0,13
38,190.0,0,13
39,195.0,0,13
40,200.0,0,13
41,205.0,0,13
42,210.0,0,13
43,215.0,0,13
44,220.0,0,13
45,225.0,0,13
46,230.0,0,13
47,235.0,0,13
48,240.0,0,13
49,245.0,0,13
50,250.0,0,13
51,255.0,0,13
52,260.0,0,13
53,265.0,0,13
54,270.0,0,13
55,275.0,0,13
56,280.0,0,13
57,285.0,0,13
58,290.0,0,13
59,295.0,0,13
60,300.0,0,13
61,305.0,0,13
62,310.0,0,13
63,315.0,0,13
64,320.0,0,13
65,325.0,0,13
66,330.0,0,12
67,335.0,0,12
68,340.0,0,12
69,345.0,0,12
70,350.0,0,12
71,355.0,0,12
72,360.0,0,12
73,365.0,0,12
74,370.0,0,12
75,375.0,0,12
76,380.0,0,12
77,385.0,0,12
78,390.0,0,12
79,395.0,0,12
80,400.0,0,12
81,405.0,0,12
82,410.0,0,12
83,415.0,0,12
84,420.0,0,12
85,425.0,0,12
86,430.0,0,12
87,435.0,0,12
88,440.0,0,12
89,445.0,0,12
90,450.0,0,12
91,455.0,0,12
92,460.0,0,12
93,465.0,0,12
94,470.0,0,12
95,475.0,0,12
96,480.0,0,12
97,485.0,0,12
98,490.0,0,12
99,495.0,0,12
100,500.0,0,12
101,505.0,0,12
102,510.0,0,12
103,515.0,0,12
104,520.0,0,12
105,525.0,0,12
106,530.0,0,11
107,535.0,0,11
108,540.0,0,11
109,545.0,0,11
110,550.0,0,11
111,555.0,0,11
112,560.0,0,11
113,565.0,0,11
114,570.0,0,11
115,575.0,0,11
116,580.0,0,11
117,585.0,0,11
118,590.0,0,11
119,595.0,0,11
120,600.0,0,11
121,605.0,0,11
122,610.0,0,11
123,615.0,0,11
124,620.0,0,11
125,625.0,0,11
126,630.0,0,11
127,635.0,0,11
128,640.0,0,11
129,645.0,0,11
130,650.0,0,11
131,655.0,0,11
132,660.0,0,11
133,665.0,0,11
134,670.0,0,11
135,675.0,0,11
136,680.0,0,11
137,685.0,0,11
138,690.0,0,11
139,695.0,0,11
140,700.0,0,11
141,705.0,0,11
142,710.0,0,11
143,715.0,0,11
144,720.0,0,11
145,725.0,0,11
146,730.0,0,11
147,735.0,0,11
148,740.0,0,11
149,745.0,0,11
150,750.0,0,11
151,755.0,0,11
152,760.0,0,11
153,765.0,0,11
154,770.0,0,11
155,775.0,0,11
156,780.0,0,11
157,785.0,0,11
158,790.0,0,11
159,795.0,0,11
160,800.0,0,11
161,805.0,0,11
162,810.0,0,11
163,815.0,0,11
164,820.0,0,11
165,825.0,0,11
166,830.0,0,10
167,835.0,0,11
168,840.0,0,10
169,845.0,0,10
170,850.0,0,10
171,855.0,0,10
172,860.0,0,10
173,865.0,0,10
174,870.0,0,10
175,875.0,0,10
176,880.0,0,10
177,885.0,0,10
178,890.0,0,10
179,895.0,0,10
180,900.0,0,10
181,905.0,0,10
182,910.0,0,10
183,915.0,0,10
184,920.0,0,10
185,925.0,0,10
186,930.0,0,10
187,935.0,0,10
188,940.0,0,10
189,945.0,0,10
190,950.0,0,10
191,955.0,0,10
192,960.0,0,10
193,965.0,0,10
194,970.0,0,10
195,975.0,0,10
196,980.0,0,10
197,985.0,0,10
198,990.0,0,10
199,995.0,0,10
200,1000.0,0,10
201,1005.0,0,10
202,1010.0,0,10
203,1015.0,0,10
204,1020.0,0,10
205,1025.0,0,10
206,1030.0,0,10
207,1035.0,0,10
208,1040.0,0,10
209,1045.0,0,10
210,1050.0,0,10
211,1055.0,0,10
212,1060.0,0,10
213,1065.0,0,10
214,1070.0,0,10
215,1075.0,0,10
216,1080.0,0,10
217,1085.0,0,10
218,1090.0,0,10
219,1095.0,0,10
220,1100.0,0,10
221,1105.0,0,10
222,1110.0,0,10
223,1115.0,0,10
224,1120.0,0,10
225,1125.0,0,10
226,1130.0,0,10
227,1135.0,0,10
228,1140.0,0,10
229,1145.0,0,10
230,1150.0,0,10
231,1155.0,0,10
232,1160.0,0,10
233,1165.0,0,10
234,1170.0,0,10
235,1175.0,0,10
236,1180.0,0,10
237,1185.0,0,10
238,1190.0,0,10
239,1195.0,0,10
240,1200.0,0,10
241,1205.0,0,10
242,1210.0,0,10
243,1215.0,0,10
244,1220.0,0,10
245,1225.0,0,10
246,1230.0,0,10
247,1235.0,0,10
248,1240.0,0,10
249,1245.0,0,10
250,1250.0,0,10
251,1255.0,0,10
252,1260.0,0,10
253,1265.0,0,10
254,1270.0,0,10
255,1275.0,0,10
256,1280.0,0,10
257,1285.0,0,10
258,1290.0,0,10
259,1295.0,0,10
260,1300.0,0,10
261,1305.0,0,10
262,1310.0,0,10
263,1315.0,0,10
264,1320.0,0,10
265,1325.0,0,10
266,1330.0,0,10
267,1335.0,0,10
268,1340.0,0,10
269,1345.0,0,10
270,1350.0,0,10
271,1355.0,0,10
272,1360.0,0,10
273,1365.0,0,10
274,1370.0,0,10
275,1375.0,0,10
276,1380.0,0,10
277,1385.0,0,10
278,1390.0,0,10
279,1395.0,0,10
280,1400.0,0,10
281,1405.0,0,10
282,1410.0,0,10
283,1415.0,0,10
284,1420.0,0,10
285,1425.0,0,10
286,1430.0,0,10
287,1435.0,0,10
288,1440.0,0,10
289,1445.0,0,10
290,1450.0,0,10
291,1455.0,0,10
292,1460.0,0,10
293,1465.0,0,10
294,1470.0,0,10
295,1475.0,0,10
296,1480.0,0,10
297,1485.0,0,10
298,1490.0,0,10
299,1495.0,0,10
300,1500.0,0,0
