fit_time_ms,fit_amplitude,residual
5.0,0.9704052695848389,-0.0009552624055575443
10.0,0.9660166236742078,-0.0008213990193141063
17.5,0.9594983491727289,-0.0006327694150882746
27.5,0.9509245511273826,-0.00041342105287434094
40.0,0.9403885363528905,-0.0001765220652302224
60.0,0.9239279137462353,0.00012042371050313694
90.0,0.9000863773385954,0.0003884483190005339
137.5,0.8642032057911815,0.000532520009452031
212.5,0.811529277283607,0.00029100708164642164
330.0,0.7369782773200022,-0.00031864748243293217
510.0,0.6375214597249,-0.0007444001224132801
787.5,0.5110206793108932,0.000798836388174351
1220.0,0.36247743600151067,-0.00023909671174748848
