time_ms,fit_amplitude,residual
5.0,0.9467728653608689,-0.000900730388618598
10.0,0.942321432118424,-0.0007557066500792908
17.5,0.9357151758737153,-0.000554493689316482
27.5,0.9270345991073018,-0.0003255207528403137
40.0,0.916380021407312,-8.566231291307069e-05
60.0,0.8997584809081483,0.00020029562953194358
90.0,0.8757265347070091,0.00042918485073006885
137.5,0.8396250255519881,0.000495122123786329
212.5,0.786721524309633,0.0001601913771955843
330.0,0.7119669481042062,-0.0004506046626647775
510.0,0.6125532296590485,-0.0006981935353638224
787.5,0.4871216400339565,0.0009691733904748645
1220.0,0.34210413106298854,-0.000326577817481577
