pore_diameter_left_um,pore_diameter_right_um,pore_diameter_center_um,normalized_volume_weighted_frequency
6.815658,7.861849025,7.3387535125,0.019756657452761166
7.861849025,8.90804005,8.384944537500001,0.020423177405018554
8.90804005,9.954231075,9.4311355625,0.08754047901252106
9.954231075,11.0004221,10.477326587499999,0.053390763345447144
11.0004221,12.046613125,11.523517612500001,0.1891784838076933
12.046613125,13.09280415,12.5697086375,0.2514100684066672
13.09280415,14.138995175,13.615899662499999,0.22225296846760184
14.138995175,15.1851862,14.662090687500001,0.10603955508697892
15.1851862,16.231377225,15.7082817125,0.1719118414253836
16.231377225,17.277568249999998,16.7544727375,0.2987455625837358
17.277568249999998,18.323759275,17.8006637625,0.3739177000909414
18.323759275,19.3699503,18.8468547875,0.2648284995346639
19.3699503,20.416141324999998,19.8930458125,0.18994560997231844
20.416141324999998,21.46233235,20.939236837499998,0.3268714475570606
21.46233235,22.508523375,21.9854278625,0.17747665709872218
22.508523375,23.554714399999998,23.0316188875,0.20836293615921003
23.554714399999998,24.600905424999997,24.077809912499998,0.37227654503205715
24.600905424999997,25.64709645,25.1240009375,0.27317257707755604
25.64709645,26.693287474999998,26.1701919625,0.2561888889872334
26.693287474999998,27.739478499999997,27.216382987499998,0.17352154941644524
27.739478499999997,28.785669525,28.262574012499996,0.36373754012411513
28.785669525,29.83186055,29.3087650375,0.21033735921453459
29.83186055,30.878051574999997,30.354956062499998,0.3310906365930199
30.878051574999997,31.9242426,31.4011470875,0.2887603414395495
31.9242426,32.970433625,32.4473381125,0.35983904724659665
32.970433625,34.01662465,33.4935291375,0.44979404843059356
34.01662465,35.062815674999996,34.5397201625,0.23732512248232823
35.062815674999996,36.1090067,35.5859111875,0.25943972740336935
36.1090067,37.155197725,36.6321022125,0.5104473978858972
37.155197725,38.20138875,37.6782932375,0.32682113270684915
38.20138875,39.247579775,38.7244842625,0.24912127034398496
39.247579775,40.2937708,39.7706752875,0.5601345728037025
40.2937708,41.339961824999996,40.8168663125,0.4802779112348034
41.339961824999996,42.386152849999995,41.863057337499995,0.23098683944250467
42.386152849999995,43.432343874999994,42.909248362499994,0.7588581431209086
43.432343874999994,44.4785349,43.95543938749999,0.4642940065101455
44.4785349,45.524725925,45.0016304125,0.5140692158023197
45.524725925,46.57091695,46.0478214375,0.5998931064364355
46.57091695,47.617107974999996,47.0940124625,0.7358883782337587
47.617107974999996,48.663298999999995,48.140203487499996,0.4822774808305238
48.663298999999995,49.709490024999994,49.186394512499994,0.7003427021740766
49.709490024999994,50.75568105,50.2325855375,0.5615619189660432
50.75568105,51.801872075,51.2787765625,0.38955576440828077
51.801872075,52.8480631,52.3249675875,0.7246581005731566
52.8480631,53.894254124999996,53.3711586125,0.5981262032078218
53.894254124999996,54.940445149999995,54.417349637499996,0.22173104212516703
54.940445149999995,55.986636174999994,55.463540662499994,0.433206526482508
55.986636174999994,57.0328272,56.50973168749999,0.6612821447274949
57.0328272,58.079018225,57.5559227125,0.4681170712240579
58.079018225,59.12520925,58.6021137375,0.5599018863858162
59.12520925,60.171400274999996,59.6483047625,0.4604583900090048
60.171400274999996,61.217591299999995,60.694495787499996,0.30489514259296996
61.217591299999995,62.263782324999994,61.740686812499995,0.4014902540470861
62.263782324999994,63.30997334999999,62.78687783749999,0.40286731285742244
63.30997334999999,64.356164375,63.8330688625,0.7853680190028671
64.356164375,65.4023554,64.87925988750001,0.60931868801571
65.4023554,66.448546425,65.9254509125,0.3316125468948305
66.448546425,67.49473745,66.97164193750001,0.5793253044861097
67.49473745,68.540928475,68.0178329625,0.469695353916718
68.540928475,69.5871195,69.06402398750001,0.25865375121561446
69.5871195,70.633310525,70.11021501249999,0.5231678579836638
70.633310525,71.67950155,71.1564060375,1.0
71.67950155,72.725692575,72.20259706249999,0.5752067314014625
72.725692575,73.7718836,73.2487880875,0.41111691915322934
73.7718836,74.818074625,74.29497911249999,0.700537615790022
74.818074625,75.86426565,75.3411701375,0.2161662665533874
75.86426565,76.91045667499999,76.38736116249999,0.18105448933632481
76.91045667499999,77.95664769999999,77.4335521875,0.0
77.95664769999999,79.00283872499999,78.47974321249998,0.3650265674244804
79.00283872499999,80.04902974999999,79.5259342375,0.11984155416676322
80.04902974999999,81.095220775,80.5721252625,0.0
81.095220775,82.1414118,81.6183162875,0.0
82.1414118,83.187602825,82.6645073125,0.0
83.187602825,84.23379385,83.71069833749999,0.0
84.23379385,85.279984875,84.7568893625,0.0
85.279984875,86.3261759,85.80308038749999,0.0
86.3261759,87.372366925,86.8492714125,0.0
87.372366925,88.41855795,87.89546243749999,0.22757255281038374
88.41855795,89.46474897499999,88.9416534625,0.0
89.46474897499999,90.51093999999999,89.98784448749998,0.3599710501133975
