throat_diameter_left_um,throat_diameter_right_um,throat_diameter_center_um,normalized_volume_weighted_frequency
2.719968,2.8351567356626406,2.7769651773090063,0.14939016519222112
2.8351567356626406,2.955223633429966,2.8945677034245354,0.0011033873941965124
2.955223633429966,3.080375280043143,3.0171506139761974,0.0014938167798352526
3.080375280043143,3.2108270110468244,3.1449248247491464,0.0006790076271978278
3.2108270110468244,3.3468032812948336,3.278110183663996,0.000853003331667275
3.3468032812948336,3.4885380511465103,3.416935849046485,0.0016890314726546566
3.4885380511465103,3.636275189018197,3.561640683916606,0.0005474498994282715
3.636275189018197,3.790268890982497,3.7124736669755882,0.0006111068644780518
3.790268890982497,3.95078411813727,3.8696943209979016,0.006857977034698189
3.95078411813727,4.118097052496891,4.033573159365356,0.05458372640465313
4.118097052496891,4.292495572190196,4.204392151511607,0.006395403088669564
4.292495572190196,4.474279746782718,4.382445208077916,0.001099143596526494
4.474279746782718,4.663762353575465,4.568038686614902,0.00920904094387069
4.663762353575465,4.861269415768614,4.761491918700425,0.003798198914637957
4.861269415768614,5.067140763416031,4.96313775938053,0.006683981330228697
5.067140763416031,5.2817306181358346,5.173323159878826,0.06026192691380794
5.2817306181358346,5.505408202583049,5.392409764559724,0.019979799043652994
5.505408202583049,5.738558375732979,5.62077453317263,0.00027160305087914913
5.738558375732979,5.981582295068403,5.858810389447749,0.023022602359676746
5.981582295068403,6.234898106809925,6.106926897159466,0.0030130963456904353
6.234898106809925,6.498941665377091,6.365550964820544,0.021749463058680918
6.498941665377091,6.7741672833182,6.6351275802196135,0.04937658589029258
6.7741672833182,7.061048512999082,6.91612057606582,0.02180463204174716
7.061048512999082,7.360078961395872,7.209013428057972,0.0623541191651118
7.360078961395872,7.671773139393698,7.5143100867513795,0.07066347422965771
7.671773139393698,7.996667347052524,7.832535844653647,0.021376008863721825
7.996667347052524,8.335320596363433,8.164238240041373,0.12126651803322056
8.335320596363433,8.688315573082965,8.509987999052855,0.0614459460770906
8.688315573082965,9.056259639300452,8.870380017677755,0.13135402625470913
9.056259639300452,9.43978587846342,9.246034385333349,0.13201605521143708
9.43978587846342,9.839554184659026,9.637597451788485,0.1271738843898408
9.839554184659026,10.256252398025838,10.045742939271058,0.10363777941894982
10.256252398025838,10.690597488249518,10.471173101672425,0.15298466413856018
10.690597488249518,11.143336788178651,10.914619932843339,0.1925028999219624
11.143336788178651,11.615249279683436,11.376846426060343,0.19469695375671628
11.615249279683436,12.10714693396949,11.858647886829706,0.2241701270282015
12.10714693396949,12.61987610865307,12.360853301287651,0.1810955829976959
12.61987610865307,13.154319004001438,12.884326762551423,0.30720426798607936
13.154319004001438,13.71139518084395,13.429968957475266,0.29961636587165336
13.71139518084395,14.292063142765638,13.998718716369517,0.30581230544346966
14.292063142765638,14.897321985305624,14.591554628349192,0.23952418583828286
14.897321985305624,15.528213114997808,15.209496725091464,0.3075225528113255
15.528213114997808,16.18582204121188,15.853608235899072,0.3491499633829385
16.18582204121188,16.871280243877386,16.524997417089455,0.3685356373257299
16.871280243877386,17.585767120304716,17.224819458857194,0.5334878193998057
17.585767120304716,18.330512014452566,17.954278472890813,0.5190079539114896
18.330512014452566,19.106796332133374,18.714629564163673,0.5758621232822404
19.106796332133374,19.915955745796325,19.50718099046379,0.4060974901161373
19.915955745796325,20.759382492681354,20.33329641337825,0.4902053180708133
20.759382492681354,21.638527770298257,21.19439724460521,0.4845525764812504
21.638527770298257,22.55490423335282,22.091965091630545,0.5294732138690369
22.55490423335282,23.51008859641586,23.027544306977237,0.8190487242953142
23.51008859641586,24.505724346813576,24.00274464541362,0.9274777450973839
24.505724346813576,25.543524572406906,25.0192440336926,0.6377494134909985
25.543524572406906,26.625274909125256,26.078791457587332,0.39797486060249804
26.625274909125256,27.75283661332631,27.183209971190852,0.84622172288519
27.75283661332631,28.92814976426812,28.334399833657447,0.8216798556521085
28.92814976426812,30.153236602203535,29.534341778782796,0.8699870431938977
30.153236602203535,31.43020500784076,30.785100423048565,0.4327485081655338
31.43020500784076,32.761252129156446,32.088827817995266,0.7736740597132756
32.761252129156446,34.14866816180186,33.44776715303561,0.3932515072228586
34.14866816180186,35.59484028960667,34.86425661507948,0.4236201287622962
35.59484028960667,37.102256791960144,36.34073341161122,0.9479710308998712
37.102256791960144,38.67351132513719,37.87973796414145,0.8934764254062249
38.67351132513719,40.31130738493545,39.48391827924868,0.45931467964643913
40.31130738493545,42.018462958302024,41.156034504731345,0.8738064560705253
42.018462958302024,43.79791537195332,42.898963678709855,0.5139196254260855
43.79791537195332,45.65272634633044,44.715704679849615,1.0
45.65272634633044,47.5860872635862,46.609383387222586,0.48540135148098057
47.5860872635862,49.60132465866753,48.58325805868543,0.3251300697307431
49.60132465866753,51.70190594294146,50.64072493702802,0.29957816821283473
51.70190594294146,53.89144537021273,52.7853240935386,0.30054999633268237
53.89144537021273,56.1737102553978,55.020745519039714,0.48437434161882986
56.1737102553978,58.55262745655557,57.35083547287522,0.2535669107816925
58.55262745655557,61.03229013142757,59.77960310077252,0.1000814773581443
61.03229013142757,63.61696478011263,62.311227332966595,0.0
63.61696478011263,66.3110985859941,64.95006407445464,0.0
66.3110985859941,69.11932706755027,67.70065369975313,0.3662057916316208
69.11932706755027,72.04648205421317,70.56772886505242,0.047742723787347965
72.04648205421317,75.09760000000001,73.55622265121069,0.13568269059865312
