alpha,residual_norm,roughness_norm,reciprocal_slope,is_selected
1e-06,3.2448263143301026,1.036912047826145,1.0211767787209096e-13,False
1.3664483492953243e-06,3.2448263143300577,1.0369120478261427,1.9067219720941166e-13,False
1.8671810912919206e-06,3.2448263143301914,1.0369120478261367,3.560195212644648e-13,False
2.5514065200312875e-06,3.2448263143298397,1.0369120478261242,6.647529182359372e-13,False
3.4863652276780875e-06,3.244826314330161,1.0369120478261096,1.2412140793109875e-12,False
4.763938010401341e-06,3.244826314330132,1.03691204782608,2.317571459134692e-12,False
6.509675230458164e-06,3.2448263143301634,1.0369120478260139,4.327325606213479e-12,False
8.895134973108237e-06,3.244826314329984,1.0369120478258893,8.079900547784122e-12,False
1.2154742500762858e-05,3.2448263143300498,1.036912047825676,1.508663752233489e-11,False
1.6608827826277167e-05,3.244826314330094,1.0369120478252627,2.8169484312855732e-11,False
2.2695105366946683e-05,3.2448263143299534,1.0369120478244922,5.259752846033488e-11,False
3.1011689265747754e-05,3.2448263143300458,1.0369120478230427,9.82091105895456e-11,False
4.237587160604064e-05,3.244826314329952,1.0369120478203515,1.8337419428445577e-10,False
5.790443980602483e-05,3.244826314330126,1.0369120478153466,3.423928281954842e-10,False
7.912342618981327e-05,3.244826314330018,1.0369120478059737,6.393094145890573e-10,False
0.00010811807510766077,3.2448263143300315,1.0369120477884755,1.1937064503652938e-09,False
0.00014773776525985112,3.244826314330113,1.0369120477558083,2.2288661125347252e-09,False
0.00020187602546790388,3.244826314330049,1.0369120476948075,4.161696659856675e-09,False
0.00027585316176291844,3.2448263143299902,1.0369120475809246,7.770641309270528e-09,False
0.00037693909753883597,3.2448263143301292,1.036912047368258,1.4509194513928994e-08,False
0.0005150678076168122,3.244826314329905,1.0369120469711817,2.709129362553967e-08,False
0.0007038135554931555,3.2448263143301204,1.0369120462297823,5.0584351123901975e-08,False
0.0009617248711152964,3.2448263143300844,1.0369120448454447,9.445014368163027e-08,False
0.0013141473626117567,3.2448263143300498,1.0369120422606233,1.7635552147290835e-07,False
0.001795714494371641,3.2448263143299245,1.0369120374342888,3.2928769197380974e-07,False
0.002453751106639817,3.2448263143301155,1.0369120284226712,6.148397413616568e-07,False
0.0033529241492495565,3.2448263143303486,1.0369120115963428,1.1480171019865979e-06,False
0.004581597669054491,3.2448263143302234,1.036911980178589,2.1435556954126203e-06,False
0.006260516572014822,3.244826314330788,1.0369119215160534,4.002406209737717e-06,False
0.008554672535565685,3.244826314332912,1.0369118119828469,7.4732156156295245e-06,False
0.011689518164985776,3.244826314339614,1.0369116074658542,1.3953841384174326e-05,False
0.015973122800602556,3.2448263143633747,1.0369112256002728,2.605432959286121e-05,False
0.021826447283974874,3.244826314446663,1.036910512604346,4.8648084657185896e-05,False
0.02982471286216888,3.2448263147375593,1.0369091813685267,9.083455054716e-05,False
0.040753929658717776,3.244826315750265,1.036906695907827,0.00016960374203199853,False
0.05568813990945267,3.244826319280771,1.036902055791508,0.00031667806518279973,False
0.07609496685459884,3.24482633158575,1.0368933942550962,0.0005912854123789805,False
0.103979841848149,3.244826374462178,1.0368772299635955,0.0011040024906376947,False
0.14208308325339208,3.2448265237926774,1.0368470774343972,0.0020612524972957957,False
0.19414919457438817,3.244827043425587,1.0367908785337832,0.003848313250286439,False
0.26529484644318946,3.2448288486521855,1.036686296817563,0.007184040202965624,False
0.36251170499885355,3.244835100984989,1.0364922408470671,0.013408830959351657,False
0.495353520895917,3.2526127451745905,0.9073645932156209,0.019095430174852074,False
0.6768750009458527,3.260925935460464,0.8086840557614333,0.02817687597670056,False
0.9249147277217336,3.290449893415747,0.602025554804678,0.028636680850646287,False
1.2638482029342972,3.3208997891523055,0.4299367670824073,0.02677240968578875,False
1.726983290659436,3.3401862795357107,0.35094531026823195,0.032924090151960496,False
2.359833466782194,3.353438163546777,0.31887892546565605,0.050353973002003775,False
3.224590545296398,3.3937568852102835,0.25950341133318117,0.06079583659919611,False
4.406236427773573,3.4550197901161432,0.19112803810524043,0.05941325118711456,False
6.020894493336125,3.4940375473963723,0.16120025060193827,0.07716108464203596,False
8.227241341700473,3.542193349474194,0.1393753530821042,0.10479387727126598,False
11.242100350620863,3.643830254525156,0.10585915609253374,0.10666832987690023,False
15.361749466718296,3.7142392298506195,0.08991860541082082,0.13830590911440102,False
20.991037201085547,3.8325575652321437,0.07362406996709685,0.16260356636276369,False
28.68316813342009,3.9680188886206476,0.059971689922224014,0.18793140012262835,False
39.194067748472214,4.114477930079086,0.050983899785285655,0.2358724984877217,True
53.55666917706897,4.322610250023317,0.04170298925969646,0.26697422418941946,False
73.18242219076181,4.534427945677272,0.0357419312709764,0.33275499222936816,False
100.0,4.833686302115781,0.029740103123771112,0.3785541539603596,False
