fit_time_ms,fit_amplitude,residual
5.0,0.9714931672958862,-0.00015522394497469172
10.0,0.9673334487151205,-4.309550069803159e-06
17.5,0.9612425270482888,0.00011569898004681889
27.5,0.9533203811489706,0.0001457038372734143
40.0,0.9436372903115966,8.157418139131956e-05
60.0,0.9284896618149974,-0.00010543642731408731
90.0,0.9063523867601063,-0.00040651459523388667
137.5,0.8725008621369535,-0.0007326393212139237
212.5,0.8217998113691565,-0.000951187258805053
330.0,0.7486298074725588,-0.0007060886755518858
510.0,0.6497857009125303,0.0002581676922932541
787.5,0.5238651046720981,0.002305261356862376
1220.0,0.3769946029863879,-0.0012475648800474026
