tetra_index,volume_um3,min_edge_um,max_edge_um,aspect_max_over_min
0,66.14660404969362,6.920099971741333,12.12548084412193,1.7522118023781592
50,76.29692103785369,7.679999999999978,10.86116015902536,1.4142135623730978
101,5.4485607227920845,2.6003013468562117,7.679999999999978,2.9535038349632705
152,18.8743680000002,5.43058007951267,9.406040612287423,1.7320508075688856
203,96.93475055842141,7.67999999999995,11.570845624277226,1.5066205239944404
254,16.23928114160891,5.121252162846665,7.881823052436864,1.5390421720721768
304,18.874368000000164,5.430580079512685,7.68,1.414213562373095
355,58.90557027966392,7.566584787615092,10.86116015902542,1.435411148343022
406,26.415981393688043,5.785866161738311,10.86116015902538,1.8771882818254202
457,74.32709203529939,7.027839825774102,9.904516767893833,1.4093259114372134
508,52.85367219730307,5.723069555490409,10.86116015902542,1.8977858042290958
558,81.05267309168907,7.67999999999995,10.86116015902534,1.4142135623731005
609,33.31778806168551,5.43058007951269,9.67023535763284,1.780700259648983
660,255.30617197001268,8.528346934460403,17.133659145585714,2.0090246418510387
711,98.42909460830856,7.680000000000007,13.473536569373662,1.7543667408038608
762,514.6336801466729,12.45831601277668,21.193342926708347,1.701140258841839
812,37.37333856535326,5.43058007951269,10.889943850323018,2.0053002977354533
863,49.67770487324751,5.430580079512629,10.952664151586863,2.0168497639703005
914,18.87436799999998,5.43058007951267,9.40604061228739,1.7320508075688794
965,47.64763263795384,5.43058007951265,10.788166080727096,1.9865586958981454
1016,68.14708726118916,6.899539444366751,10.296436527509899,1.492336787191876
1066,236.64295653723264,12.391277384866415,19.414643292834757,1.5667991837989235
1117,59.56443818193065,5.43058007951269,9.877846217926141,1.8189302198472552
1168,12.786078986113155,2.715290039756395,7.098386523640838,2.61422773247372
1219,18.87436799999998,5.43058007951267,9.40604061228739,1.7320508075688794
1270,19.771391514839454,5.43058007951269,8.591528659022204,1.5820646290503022
1320,51.076666467773585,6.208047973441611,12.736276600511642,2.0515750933301695
1371,52.49694661981895,5.43058007951271,9.6375110047514,1.7746743190676197
1422,56.62310400000041,5.43058007951273,9.406040612287436,1.732050807568869
1473,85.77946913232897,7.800173648706487,10.355123196420411,1.3275503421821404
1524,54.51803534964423,6.8324613163056105,9.40604061228739,1.3766694280200247
1575,55.29280798437489,7.325942076458929,10.86116015902538,1.4825615662354834
1625,58.54915278530245,6.494718184302396,10.69230422775464,1.6463076494370033
1676,44.530677756926536,6.012103015292975,10.77353673910548,1.7919747402366288
1727,43.58000368389622,5.43058007951271,10.476737874368709,1.929211561375004
1778,679.5743495943204,15.304896896465145,23.941925899331846,1.564331080522439
1829,42.35421876034889,5.43058007951273,9.40604061228739,1.7320508075688603
1879,23.426008200648557,5.43058007951265,9.04481531901157,1.665533918399242
1930,89.68787427443777,7.121922838491874,12.442424226420203,1.7470596787671726
1981,112.86544052162704,8.303698006676253,11.745331610601564,1.414469986885145
2032,65.77651900488895,6.528429597219223,9.813689851795967,1.5032236628508788
2083,48.108192852447736,5.4305800795127,11.681931177456987,2.1511387377433233
2133,29.855410771929154,5.43058007951269,7.879832994948667,1.4510112878504426
2184,51.43753403182287,6.865379936076423,9.725486970167626,1.4165985073982315
2235,18.87436799999991,5.43058007951265,9.406040612287365,1.7320508075688814
2286,60.45638226802661,6.817523792849693,10.86116015902538,1.5931239096542213
2337,50.185569284087855,5.665844070943624,11.928280836499857,2.1052963489892247
2387,42.66253989148936,6.315596895708598,10.310998318163175,1.6326245149004717
2438,49.076689120718044,5.43058007951271,9.95535575778196,1.8332030118364928
2489,73.84334592293526,7.680000000000064,13.118613212535344,1.7081527620488588
2540,1199.620332090547,18.78650536156688,25.752180127359832,1.3707807616015277
2591,45.59807230108331,5.43058007951269,9.406040612287413,1.7320508075688774
2641,72.5214746344087,7.620666994860333,10.519612923348538,1.3804058004953326
2692,112.37527583169812,7.092309546085108,13.517491252050613,1.9059364462613098
2743,88.91363110933851,7.680000000000064,10.916330570350741,1.4213972096810743
2794,19.125457308552864,5.193999493535511,8.373418998389628,1.6121331950092113
2845,24.588801860928665,5.43058007951261,9.94894075288737,1.8320217374973835
2896,56.771588626894356,5.43058007951269,9.908012734611471,1.8244851543558422
