fit_time_ms,fit_amplitude,residual
5.0,0.9615719031557952,-0.000617914428373112
10.0,0.9561231057039105,-0.000557404987157395
17.5,0.9480398106261572,-0.0004650526123790577
27.5,0.9374265005406268,-0.0003579395026718224
40.0,0.9244170307413221,-0.00022996247807427483
60.0,0.9041740070297528,-4.833183665708951e-05
90.0,0.8750587609541883,0.00014026804955513672
137.5,0.8317771582897213,0.00033475347952849344
212.5,0.7696259473291195,0.00031076692190501465
330.0,0.6848478594193533,5.623952437305846e-06
510.0,0.5777234099882462,-0.0005277531936795921
787.5,0.45018161914748284,0.0003412713241222054
1220.0,0.3097048563527846,-7.434237907266716e-05
