component_label,voxel_count,volume_um3,is_open
1,2,905.9696639999999,True
2,1,452.9848319999999,True
3,36,16307.453951999998,True
4,1,452.9848319999999,True
5,65,29444.014079999994,True
6,12,5435.817983999999,True
7,1,452.9848319999999,True
8,16,7247.757311999999,True
9,9,4076.8634879999995,True
10,1,452.9848319999999,True
11,2,905.9696639999999,True
12,285,129100.67711999998,True
13,19037,8623472.246783998,True
14,4,1811.9393279999997,True
15,1,452.9848319999999,True
16,14,6341.787647999999,True
17,10,4529.848319999999,True
18,2,905.9696639999999,True
19,1,452.9848319999999,True
20,1,452.9848319999999,True
21,1,452.9848319999999,True
22,18,8153.726975999999,True
23,3,1358.9544959999998,True
24,2,905.9696639999999,True
25,13,5888.802815999999,True
26,9,4076.8634879999995,True
27,1,452.9848319999999,True
28,20,9059.696639999998,True
29,1,452.9848319999999,True
30,34703,15719932.624895997,True
31,5,2264.9241599999996,True
32,5,2264.9241599999996,True
33,2,905.9696639999999,True
34,2,905.9696639999999,True
35,45,20384.317439999995,True
36,1,452.9848319999999,True
37,4,1811.9393279999997,True
38,15,6794.772479999999,True
39,1,452.9848319999999,True
40,1,452.9848319999999,True
41,7,3170.8938239999993,True
42,4,1811.9393279999997,True
43,77,34879.832063999995,True
44,5,2264.9241599999996,True
45,1,452.9848319999999,True
46,44,19931.332607999997,True
47,4,1811.9393279999997,True
48,6,2717.9089919999997,True
49,2,905.9696639999999,True
50,1,452.9848319999999,True
51,1,452.9848319999999,True
52,17087,7740151.824383998,True
53,6,2717.9089919999997,True
54,1,452.9848319999999,True
55,25,11324.620799999999,True
56,1,452.9848319999999,True
57,8,3623.8786559999994,True
58,3,1358.9544959999998,True
59,1,452.9848319999999,True
60,6,2717.9089919999997,True
61,3,1358.9544959999998,True
62,26,11777.605631999999,True
63,548,248235.68793599997,True
64,2,905.9696639999999,True
65,2,905.9696639999999,True
66,1,452.9848319999999,True
67,1,452.9848319999999,True
68,342974,155362019.77036798,True
69,293,132724.55577599996,True
70,5,2264.9241599999996,True
71,2,905.9696639999999,True
72,2,905.9696639999999,True
73,646,292628.2014719999,True
74,1,452.9848319999999,True
75,1,452.9848319999999,True
76,3,1358.9544959999998,True
77,85,38503.710719999995,True
78,1,452.9848319999999,True
79,1,452.9848319999999,True
80,1,452.9848319999999,True
81,1,452.9848319999999,True
82,129,58435.04332799999,True
83,2,905.9696639999999,True
84,1,452.9848319999999,True
85,104,47110.422527999996,True
86,11,4982.833151999999,True
87,35,15854.469119999998,True
88,2,905.9696639999999,True
89,1,452.9848319999999,True
90,19,8606.711807999998,True
91,12,5435.817983999999,True
92,72,32614.907903999996,True
93,3,1358.9544959999998,True
94,27,12230.590463999997,True
95,11,4982.833151999999,True
96,904,409498.2881279999,True
97,403,182552.88729599997,True
98,12,5435.817983999999,True
99,1,452.9848319999999,True
100,8,3623.8786559999994,True
101,7,3170.8938239999993,True
102,1,452.9848319999999,True
103,2,905.9696639999999,True
104,2,905.9696639999999,False
105,16,7247.757311999999,True
106,1,452.9848319999999,False
107,2,905.9696639999999,False
108,21,9512.681471999998,False
