fit_time_ms,fit_amplitude,residual
5.0,0.9738375694079776,-0.0009425557796062245
10.0,0.9700727610533793,-0.0009781234205138434
17.5,0.9644545813968267,-0.0010246017644423011
27.5,0.9570175154968492,-0.0010814812030333076
40.0,0.9478069588885405,-0.0011371853298079992
60.0,0.9332658675554542,-0.001196935154510581
90.0,0.9118979379087814,-0.001240720879946089
137.5,0.8791239393410505,-0.0011876799062238153
212.5,0.8299034402011047,-0.0009455715963019307
330.0,0.7585995662339516,-0.00026937186623876563
510.0,0.6617315378205056,0.0009124100632046384
787.5,0.5373134123717204,0.0027394380987723066
1220.0,0.39050013224560454,-0.001714891652920325
