element_id,node_0,node_1,node_2,area_um2,edge_min_um,edge_max_um,edge_mean_um,quality_equilateral_normalized,aspect_edge_ratio
0,497,675,850,122.61913838715353,15.76290596656515,20.30841225317234,17.287829622903764,0.933248827848994,1.2883672779783566
1,497,498,675,137.4303767471731,16.000000000000043,20.30841225317234,18.08263006787134,0.9615141146440134,1.2692757658232678
2,628,631,633,198.21473561034256,20.219250081337954,22.50780212933064,21.456712245532582,0.9923615815872581,1.113186791734921
3,631,628,630,141.9362192327951,15.921198252041318,21.643084525929147,18.58813384181244,0.9337332004517971,1.3593879168707799
4,633,631,632,101.12499018071681,13.45267122708404,20.219250081337954,16.2354198744694,0.8587816550628071,1.5029914683881425
5,500,501,675,130.19511236124012,12.781026666836734,21.714949167976247,18.512927717128196,0.8369896282228444,1.6989988155114797
6,675,498,500,188.393723984609,17.939477950441635,26.8021710974135,21.92815212147558,0.8801394089175886,1.4940329463017445
7,491,752,490,182.4965781958703,15.999999999999961,25.916143227862626,21.675516804122086,0.8649798401106084,1.6197589517414182
8,490,752,878,143.51956116806807,16.824364613578755,23.11040718450367,19.013453450125954,0.8959959454399309,1.3736273384048943
9,490,878,489,81.96711187172167,11.107449865065076,16.824364613578755,14.3329100494649,0.896499843726212,1.5146919246058812
10,880,494,495,124.52544626743973,16.00000000000004,19.80628949313809,17.272641569263516,0.9536578448344462,1.2378930933211276
11,493,880,753,340.6102972389431,25.646305971468074,30.431431317407352,28.250038402227137,0.9808417976740773,1.1865814652317883
12,851,753,987,286.408288896412,21.690306351588088,29.021656684019135,26.27690539194955,0.9433793165066608,1.3380012349108326
13,881,754,524,171.12760813622262,18.897730645045826,22.54849037274346,20.121270430079836,0.9690812744411175,1.1931850864143154
14,881,752,969,228.17852584126848,21.590058985763964,27.017313642820945,23.424918034111954,0.9491612105770589,1.2513774816750431
15,511,882,510,191.85217014142134,15.519892104403187,26.881070697597025,22.539507755135123,0.8310640338131624,1.7320397923366058
16,502,676,501,104.84922626830641,11.914357656867859,19.472585052093073,16.44950328967376,0.8609369581672576,1.6343797637188089
17,630,628,629,81.66666666666659,10.250821188976628,18.200118747466856,14.816979978814492,0.8172525345634785,1.775479096936997
18,500,498,499,175.96125794558031,16.0,26.8021710974135,21.60265726043758,0.8357915999547725,1.6751356935883437
19,838,840,965,231.21048132035617,19.29781145658194,28.272431968230094,23.971388665338356,0.9079048105073261,1.465058979969833
20,508,940,738,123.69228294500883,14.096384009088236,19.484011808729665,17.337182625063406,0.9334705362972533,1.3821992786354225
21,873,502,720,97.90867088666499,11.914076773742357,18.007562349285834,15.659097071234726,0.8959446651215055,1.5114526027709523
22,901,989,803,255.41805359288412,21.4636510175746,27.48900001982426,24.656645963802223,0.9605851859801399,1.2807233959085553
23,893,699,946,119.47939087670639,15.94435076065403,17.809709174203135,16.67342318664979,0.9901672738980448,1.1169918074150915
24,738,720,506,96.54694396282571,14.202752889227158,15.436501407602771,14.960628739532764,0.9948764969473372,1.0868668579956366
25,512,513,755,130.36803867619506,15.283208080017253,19.60102749543758,17.616704436267813,0.960307007226333,1.2825204886836463
26,989,410,704,168.852805215151,17.9115715211242,22.35466755189127,20.00738136835695,0.9661355713270924,1.2480572977936113
27,833,922,94,237.58579762782915,19.972059541450545,26.100144306109026,23.86515536984362,0.9506248547800151,1.3068328908162972
28,697,973,667,260.33621658761774,22.48979136401205,26.613714643528823,24.6922864426991,0.9814519371500707,1.1833686766039029
29,511,512,755,135.9423381463354,16.0,19.80236192872231,17.922746554023636,0.9700587436825125,1.2376476205451443
30,505,677,504,73.3310996352574,11.867762977805363,14.864987302784504,13.202102789947425,0.9630599067111276,1.2525517513776132
31,677,505,720,73.93331868655237,12.28328993000399,14.301342757985351,13.152730259080583,0.9829007115921526,1.1642925339612744
32,861,862,718,295.22535341169896,21.9027785667381,30.327697314226437,26.78424652068202,0.9338094078395379,1.384650683556768
33,924,877,834,162.8427344343612,18.566952699457637,20.24138116868246,19.428591753312933,0.9950535106601925,1.0901832678915444
34,339,862,955,231.42323885476154,19.715168901776078,28.342959088597997,23.948672444426787,0.9120940496750362,1.43762192603101
35,516,756,515,150.99637208428976,16.0,21.90174556262129,19.133129071990137,0.9375262981518511,1.3688590976638306
36,457,458,818,129.07213828243772,15.270421661956128,19.011856791652555,17.47312941274683,0.968218383337286,1.2450119068432557
37,516,517,757,161.72394590356618,15.337615768491036,22.742478496336883,20.08167079712878,0.9008720599156561,1.4827909917431945
38,816,980,915,218.6184565136536,19.835271021693703,24.749037086770254,22.746637241148765,0.9674826027214836,1.2477287081029746
39,201,926,200,111.77809782565689,13.982621828920538,20.839698455379544,16.940773428100027,0.8742554545553558,1.4903999200118805
