equivalent_t2_ms_center,pore_diameter_um_center,volume_weighted_count,normalized_volume_weighted_count
0.011059869434355595,0.0003317960830306678,0.0,0.0
0.013528511027866503,0.00040585533083599504,0.0,0.0
0.016548170999431816,0.0004964451299829545,0.0,0.0
0.020241840573760616,0.0006072552172128185,0.0,0.0
0.02475996349249774,0.0007427989047749322,0.0,0.0
0.030286563611439634,0.000908596908343189,0.0,0.0
0.03704674022107156,0.0011114022066321468,0.0,0.0
0.04531583637600816,0.0013594750912802448,0.0,0.0
0.05543065366083506,0.0016629196098250517,0.0,0.0
0.0678031701715246,0.0020340951051457377,0.0,0.0
0.08293732044796284,0.002488119613438885,0.0,0.0
0.10144952080687358,0.0030434856242062074,0.0,0.0
0.12409377607517193,0.0037228132822551578,0.0,0.0
0.15179239032493838,0.004553771709748152,0.0,0.0
0.18567353246307058,0.005570205973892117,0.0,0.0
0.22711718672797654,0.006813515601839296,0.0,0.0
0.27781135966425347,0.008334340789927603,0.0,0.0
0.33982083289425585,0.010194624986827674,0.0,0.0
0.4156712619977309,0.012470137859931927,0.0,0.0
0.5084520468600938,0.015253561405802814,0.0,0.0
0.6219421634147762,0.018658264902443284,0.0,0.0
0.76076408192627,0.022822922457788098,0.0,0.0
0.9305720409296986,0.027917161227890955,0.0,0.0
1.1382823452540312,0.03414847035762093,0.0,0.0
1.3923550682035835,0.041770652046107505,0.0,0.0
1.7031386316718768,0.0510941589501563,0.0,0.0
2.0832912989899985,0.06249873896969996,0.0,0.0
2.5482967479793452,0.07644890243938035,0.0,0.0
3.1170947235801236,0.0935128417074037,0.0,0.0
3.812852456636187,0.1143855736990856,0.0,0.0
4.663908268844406,0.13991724806533215,0.0,0.0
5.704925797046318,0.17114777391138952,0.0,0.0
6.9783058485986595,0.20934917545795978,0.0,0.0
8.535913392913653,0.25607740178740956,0.0,0.0
10.44119002980564,0.3132357008941692,0.0,0.0
12.771737975811428,0.38315213927434283,0.0,0.0
15.622480814652898,0.4686744244395869,0.0,0.0
19.109529749704393,0.5732858924911318,0.0,0.0
23.374912831534868,0.701247384946046,0.0,0.0
28.59235978270505,0.8577707934811515,0.0,0.0
34.97437803664179,1.0492313410992535,0.0,0.0
42.78090819876379,1.2834272459629137,0.0,0.0
52.32991146814944,1.5698973440444832,0.0,0.0
64.01032024709305,1.9203096074127914,0.0,0.0
78.29787941891017,2.348936382567305,0.0,0.0
95.77452351172401,2.8732357053517203,0.0,0.0
117.15207898315589,3.5145623694946764,0.0,0.0
143.3012570236961,4.299037710710883,0.0,0.0
175.28711776018906,5.258613532805672,0.0,0.0
214.41245032200712,6.432373509660214,0.0,0.0
262.27083564681885,7.868125069404566,855688.3523799995,0.012108344518716816
320.8115532823633,9.624346598470899,2843789.2488999944,0.04024079545845282
392.41897584845316,11.772569275453595,6928778.112168003,0.09804507942935912
480.009684908111,14.40029054724333,6356304.354399992,0.08994433870091546
587.1512637925164,17.61453791377549,7810081.183899943,0.11051588283372149
718.2076058301701,21.546228174905103,7365363.466000017,0.1042229429719919
878.5166564072711,26.35549969221813,8391926.272,0.11874923176694381
1074.6078283213164,32.23823484963949,8062910.710000023,0.1140935253223786
1314.4679457894206,39.43403837368262,10725399.63999997,0.15176884619363018
1607.8665490525602,48.235996471576804,12088466.580000035,0.17105680782789637
1966.753809283337,59.002614278500104,7495093.99000001,0.10605868360678786
2405.747260933949,72.17241782801847,8901294.0,0.1259569960425537
2942.727176209279,88.28181528627837,14530925.500000015,0.20561861294528014
3599.5648313608917,107.98694494082675,13563448.400000006,0.19192841135706584
4403.013327202412,132.09039981607236,5060166.0,0.07160344426739132
5385.7972471057155,161.57391741317147,16094924.999999985,0.2277498535078379
6587.945534419233,197.63836603257698,0.0,0.0
8058.42187761481,241.7526563284443,0.0,0.0
9857.11900900615,295.7135702701845,36503600.0,0.5165410557991864
12057.298145138739,361.71894435416215,70669310.0,1.0
14748.572927641237,442.45718782923706,0.0,0.0
18040.55940091785,541.2167820275355,0.0,0.0
22067.340690845875,662.0202207253762,0.0,0.0
26992.928231542905,809.7878469462871,0.0,0.0
33017.941976827184,990.5382593048155,0.0,0.0
40387.78168243258,1211.6334504729773,0.0,0.0
49402.62207658594,1482.0786622975781,0.0,0.0
60429.63902381322,1812.8891707143966,0.0,0.0
73917.96465554587,2217.5389396663763,0.0,0.0
90416.980592345,2712.50941777035,0.0,0.0
