time_ms,uncoupled_signal_normalized,coupled_signal_normalized
0.0,1.0,1.0
2.0,0.9955913878608792,0.9957091373856324
4.0,0.9912082770879195,0.9914526096992865
6.0,0.9868483641238315,0.9872196225136718
8.0,0.9825105478770916,0.9830049718245498
10.0,0.978194165619915,0.9788058845582313
12.0,0.9738987716396271,0.9746208167359902
14.0,0.9696240444951049,0.9704488985034572
16.0,0.9653697391875745,0.9662896513252033
18.0,0.961135659442199,0.9621428319332251
20.0,0.9569216406276394,0.9580083410050005
22.0,0.9527275389009763,0.9538861676400463
24.0,0.9485532242030866,0.9497763548254796
26.0,0.9443985757044697,0.9456789776824921
28.0,0.9402634788329571,0.9415941296760103
30.0,0.936147823329846,0.9375219138534616
32.0,0.9320515019769686,0.9334624372852721
34.0,0.9279744097622233,0.9294158075535683
36.0,0.9239164433319031,0.9253821305549879
38.0,0.9198775006306877,0.9213615091478821
40.0,0.9158574806644715,0.9173540423423443
42.0,0.9118562833435998,0.9133598248389689
44.0,0.9078738093787524,0.9093789467911495
46.0,0.9039099602112973,0.905411493710134
48.0,0.899964637966224,0.901457546460625
50.0,0.8960377454198649,0.8975171813131831
52.0,0.892129185977315,0.8935904700316446
54.0,0.8882388636562002,0.8896774799814818
56.0,0.8843666830746296,0.8857782742500534
58.0,0.8805125494418796,0.8818929117729173
60.0,0.8766763685508946,0.8780214474624976
62.0,0.8728580467719744,0.8741639323367473
64.0,0.8690574910472582,0.8703204136463394
66.0,0.8652746088857386,0.8664909349994684
68.0,0.8615093083586337,0.8626755364837443
70.0,0.8577614980949996,0.8588742547848695
72.0,0.8540310872775229,0.8550871233019534
74.0,0.8503179856384286,0.8513141722594008
76.0,0.8466221034554828,0.847555428815408
78.0,0.8429433515480655,0.8438109171670892
80.0,0.8392816412732964,0.8400806586523101
82.0,0.8356368845222122,0.8363646718483129
84.0,0.8320089937159824,0.8326629726672178
86.0,0.8283978818021642,0.828975574448492
88.0,0.8248034622509879,0.8253024880484859
90.0,0.8212256490516814,0.8216437219271133
92.0,0.81766435670882,0.8179992822317864
94.0,0.814119500238707,0.8143691728786714
96.0,0.810590995165788,0.8107533956313634
98.0,0.8070787575190904,0.8071519501770598
100.0,0.8035827038286927,0.8035648342003134
102.0,0.8001027511222218,0.7999920434544379
104.0,0.7966388169213792,0.796433571830642
106.0,0.7931908192384911,0.7928894114249737
108.0,0.7897586765730917,0.7893595526031224
110.0,0.7863423079085298,0.7858439840631756
112.0,0.7829416327086011,0.7823426928963664
114.0,0.77955657091421,0.7788556646458972
116.0,0.7761870429400586,0.7753828833638859
118.0,0.7728329696713551,0.7719243316665021
120.0,0.7694942724605563,0.7684799907873452
122.0,0.7661708731241322,0.7650498406291257
124.0,0.7628626939393534,0.7616338598136908
126.0,0.7595696576411091,0.7582320257304644
128.0,0.7562916874187455,0.7548443145833333
130.0,0.7530287069129329,0.7514707014360377
132.0,0.7497806402125534,0.7481111602561179
