t2_ms,uncoupled_amplitude_per_total_volume,coupled_amplitude_per_total_volume
1.0,0.0,0.0
1.0637648543163132,0.0,0.0
1.131595665278607,0.0,0.0
1.2037516980200687,0.0,0.0
1.2805087496773329,0.0,0.0
1.3621602035512723,0.0,0.0
1.4490181504861988,0.0,0.0
1.5414145817536447,0.0,0.0
1.6397026580002065,0.0,0.0
1.744258059109661,0.0,0.0
1.8554804201388437,0.0,0.0
1.9737948588157688,0.0,0.0
2.099653600438444,0.0,0.0
2.233537706385124,0.0,0.0
2.3759589128427634,0.0,0.0
2.527461586781728,0.0,0.0
2.688624806652942,0.0,0.0
2.8600645757603926,0.0,0.0
3.042436176769002,0.0,0.0
3.2364366763473584,0.0,0.0
3.4428075895186203,0.0,0.0
3.662337713903372,0.0,0.0
3.8958661446875604,0.0,0.0
4.144285481839419,0.0,0.0
4.408545241834121,0.0,0.0
4.689655486926549,0.0,0.0
4.988690685844119,0.0,0.0
5.306793820656117,0.0,0.0
5.645180755516966,0.0,0.0
6.005144883981759,0.0,0.0
6.388062072657209,0.0,0.0
6.795395920083762,0.0,0.0
7.228703350949571,0.0,0.0
7.6896405670187145,0.0,0.0
8.179969377519475,0.0,0.0
8.701563933188908,0.0,0.0
9.25641788971278,0.0,0.0
9.846652027941234,0.0,0.0
10.474522360006336,0.0,0.0
11.142428752325104,0.0,0.0
11.852924098447012,0.0,0.0
12.608724076806801,0.0,0.0
13.412717530678977,0.0,0.0
14.26797751000858,0.0,0.0
15.177773017322716,0.0,0.0
16.145581502618366,0.0,0.0
17.175102154984984,0.0,0.0
18.270270041765396,0.0,0.0
19.435271149298263,0.0,0.0
20.67455838273131,0.0,0.0
21.99286858606029,0.0,0.0
23.395240647448244,0.0,0.0
24.887034759027866,0.0,0.0
26.473952904802296,0.0,0.0
28.162060654953947,0.0,0.0
29.957810349864257,0.0,0.0
31.868065762459103,0.0,0.0
33.90012833314499,0.0,0.0
36.0617650776123,0.0,0.0
38.36123827417535,0.0,0.0
40.80733704412151,0.0,0.0
43.40941094577661,0.0,0.0
46.17740571069104,0.0,0.0
49.121901258538536,0.0,0.0
52.25415213602956,0.0,0.0
55.58613053440594,0.0,0.0
59.13057204993989,0.0,0.0
62.9010243623446,0.0,0.0
66.91189901715636,0.0,0.0
71.17852651001319,0.0,0.0
75.717214883374,0.0,0.0
80.5453120596493,0.0,0.0
85.68127214899482,0.0,0.0
91.14472598521189,0.0,0.0
96.9565561593592,0.0,0.0
103.13897683787211,0.0,0.0
109.71561867027272,0.0,0.0
116.71161911100681,0.0,0.0
124.15371850064118,0.0,0.0
132.0703622736631,0.0,0.0
140.4918096835459,0.0,0.0
149.4502494606524,0.000554514786572941,0.0
158.97992284504755,0.0018141603976271077,0.0
169.11725446448068,0.003604846239283346,0.0
179.90099155778313,0.005570308081691167,0.0
191.37235207582543,0.007297094913414367,0.0
203.57518222611063,0.00841824462050202,0.0
216.55612406317545,0.008691906582700793,0.0
230.36479376536948,0.00805126027408643,0.0
245.05397127942575,0.006622239260960908,0.0
260.6798020576923,0.0047057990365174975,0.0
277.30201165910637,0.002721762232737707,0.0
294.9841340341698,0.0011116310928394276,0.0
313.7937543664824,0.00019816783220027876,0.00911275911416232
333.8027673990301,0.004803647394693005,0.03267523387450771
355.0876522326114,0.021025810638722192,0.06722530476195647
377.7297646467455,0.04774164114605183,0.1046988214118826
401.8156480603804,0.07960287053842886,0.13590814808660592
427.43736432096546,0.10949908035535716,0.15323147515872654
454.6928455862411,0.13070856060398037,0.15245281809390698
483.6862686437176,0.13849106385329416,0.13370440470740344
514.5284530985853,0.13108334975421096,0.10147570111709783
547.3372849520146,0.11006761877955565,0.06366628115387506
582.238167188866,0.0800924652859249,0.029672742548937325
619.3644990970612,0.04793555808040703,0.007512576521664206
658.8581861506815,0.020906620628047483,0.0
700.87018240569,0.004598201200376265,0.0
745.5610674814366,0.0,0.0
793.1016603333052,0.0,0.0
843.6736721624843,0.0,0.0
897.470400958434,0.0,0.0
954.6974703287526,0.0,0.0
1015.573615440418,0.0,0.0
1080.3315190764677,0.0,0.0
1149.2187010036998,0.0,0.0
1222.4984640507832,0.0,0.0
1300.4509005128978,0.0,0.0
1383.3739627296209,0.0,0.0
1471.5846019280557,0.0,0.0
1565.4199796841278,0.0,0.0
1665.238756632532,0.0,0.0
1771.4224633510835,0.0,0.0
1884.3769586593098,0.0,0.0
2004.5339809052398,0.0,0.0
2132.352798169761,0.0,0.0
2268.321963696039,0.0,0.0
2412.9611832536098,0.0,0.0
2566.8233015746946,0.0,0.0
2730.4964154553227,0.0,0.0
2904.6061215980462,0.0,0.0
3089.8179077880163,0.0,0.0
3286.8396965420548,0.0,0.0
3496.4245509531333,0.0,0.0
3719.37355307264,0.0,0.0
3956.5388658322686,0.0,0.0
4208.826990208893,0.0,0.0
4477.20223008213,0.0,0.0
4762.690378027989,0.0,0.0
5066.382636136649,0.0,0.0
5389.4397868406,0.0,0.0
5733.096629695033,0.0,0.0
6098.666701068882,0.0,0.0
6487.547294786289,0.0,0.0
6901.224802908527,0.0,0.0
7341.280397070115,0.0,0.0
7809.396072084496,0.0,0.0
8307.36107491936,0.0,0.0
8837.078743614602,0.0,0.0
9400.573782282974,0.0,0.0
10000.0,0.0,0.0
