fit_time_ms,fit_amplitude,residual
5.0,0.9727768280505339,-0.0006661490802664094
10.0,0.9689227023582941,-0.0007165866899224715
17.5,0.9631720011864351,-0.0007835271774594421
27.5,0.9555609273309165,-0.0008653081988360123
40.0,0.9461371212134544,-0.0009483293262589898
60.0,0.9312644881816661,-0.0010450569748223781
90.0,0.9094209063712582,-0.0011336506478279995
137.5,0.8759446350778411,-0.0011321661461685117
212.5,0.8257336212432764,-0.0009450498718895917
330.0,0.7531388466757676,-0.0003156847106395855
510.0,0.6548130595745081,0.000832676947029154
787.5,0.5290879996962938,0.0026468525272075327
1220.0,0.3817164307534061,-0.0016476562002870065
