fit_time_ms,fit_amplitude,residual
5.0,0.969302163000023,-0.0009364767263763119
10.0,0.9647604937877807,-0.0007980988539521006
17.5,0.9580173452871441,-0.0006041558293853333
27.5,0.9491519579748771,-0.00038071396309358185
40.0,0.9382637994611592,-0.0001420497249471353
60.0,0.9212656357846218,0.00015170383310791902
90.0,0.8966699684221436,0.0004053290086806216
137.5,0.8596983695240666,0.0005204722054601429
212.5,0.8055105553339535,0.00024169689127784277
330.0,0.7289675579778334,-0.00036834499459481584
510.0,0.6271661919738242,-0.0007249027729189228
787.5,0.4984250402688677,0.0008559010262266797
1220.0,0.3488245146089042,-0.00026843002840143404
