time_ms,normalized_signal
5.0,1.0
10.0,0.9963209605185825
15.0,0.9926665194647607
20.0,0.9890355916679499
25.0,0.9854274184254813
30.0,0.9818414113374713
35.0,0.9782770810185402
40.0,0.97473400118441
45.0,0.9712117889902646
50.0,0.9677100934691418
55.0,0.9642285882967363
60.0,0.9607669670095776
65.0,0.9573249396895108
70.0,0.9539022305663893
75.0,0.950498576220206
80.0,0.9471137241894084
85.0,0.9437474318637927
90.0,0.9403994655828
95.0,0.9370695998860983
100.0,0.933757616879774
105.0,0.9304633056922026
110.0,0.9271864620008132
115.0,0.9239268876158826
120.0,0.9206843901109091
125.0,0.9174587824915729
130.0,0.9142498828970662
135.0,0.9110575143288903
140.0,0.9078815044031989
145.0,0.9047216851235264
150.0,0.9015778926713071
155.0,0.8984499672120493
160.0,0.8953377527153789
165.0,0.8922410967874563
170.0,0.8891598505144871
175.0,0.8860938683162445
180.0,0.8830430078086624
185.0,0.8800071296746849
190.0,0.8769860975426665
195.0,0.8739797778716969
200.0,0.8709880398432961
205.0,0.8680107552589996
210.0,0.8650477984433891
215.0,0.8620990461521826
220.0,0.8591643774850263
225.0,0.8562436738026786
230.0,0.853336818648286
235.0,0.8504436976724967
240.0,0.8475641985621678
245.0,0.8446982109724446
250.0,0.8418456264620107
255.0,0.8390063384313241
260.0,0.8361802420636628
265.0,0.8333672342688228
270.0,0.8305672136293202
275.0,0.8277800803489602
280.0,0.8250057362036421
285.0,0.8222440844942857
290.0,0.8194950300017597
295.0,0.8167584789437176
300.0,0.8140343389332341
305.0,0.8113225189391554
310.0,0.8086229292480758
315.0,0.8059354814278583
320.0,0.8032600882926256
325.0,0.8005966638691475
330.0,0.7979451233645578
335.0,0.795305383135337
340.0,0.7926773606574989
345.0,0.7900609744979277
350.0,0.7874561442868074
355.0,0.7848627906910965
360.0,0.7822808353889968
365.0,0.779710201045371
370.0,0.7771508112880688
375.0,0.7746025906851177
380.0,0.7720654647227376
385.0,0.7695393597841477
390.0,0.7670242031291279
395.0,0.7645199228742984
400.0,0.7620264479740928
405.0,0.7595437082023863
410.0,0.7570716341347589
415.0,0.7546101571313587
420.0,0.752159209320346
425.0,0.7497187235818886
430.0,0.747288633532688
435.0,0.7448688735110129
440.0,0.7424593785622187
445.0,0.7400600844247328
450.0,0.7376709275164894
455.0,0.7352918449217883
460.0,0.7329227743785683
465.0,0.7305636542660736
470.0,0.728214423592898
475.0,0.7258750219853934
480.0,0.7235453896764265
485.0,0.7212254674944694
490.0,0.7189151968530137
495.0,0.716614519740292
500.0,0.7143233787092976
505.0,0.7120417168680881
510.0,0.7097694778703657
515.0,0.7075066059063196
520.0,0.7052530456937232
525.0,0.7030087424692759
530.0,0.7007736419801798
535.0,0.6985476904759428
540.0,0.6963308347003999
545.0,0.6941230218839446
550.0,0.6919241997359633
555.0,0.6897343164374627
560.0,0.6875533206338883
565.0,0.6853811614281209
570.0,0.6832177883736513
575.0,0.6810631514679207
580.0,0.6789172011458259
585.0,0.67677988827338
590.0,0.674651164141527
595.0,0.6725309804601004
600.0,0.6704192893519253
605.0,0.6683160433470555
610.0,0.666221195377145
615.0,0.6641346987699448
620.0,0.6620565072439252
625.0,0.6599865749030164
630.0,0.6579248562314649
635.0,0.655871306088803
640.0,0.6538258797049251
645.0,0.6517885326752693
650.0,0.6497592209561016
655.0,0.6477379008598967
660.0,0.6457245290508163
665.0,0.6437190625402783
670.0,0.6417214586826161
675.0,0.6397316751708252
680.0,0.6377496700323944
685.0,0.6357754016252167
690.0,0.633808828633584
695.0,0.6318499100642542
700.0,0.6298986052425953
705.0,0.6279548738088042
710.0,0.6260186757141925
715.0,0.624089971217544
720.0,0.622168720881537
725.0,0.6202548855692334
730.0,0.6183484264406294
735.0,0.6164493049492688
740.0,0.6145574828389156
745.0,0.6126729221402849
750.0,0.6107955851678308
755.0,0.6089254345165893
760.0,0.6070624330590744
765.0,0.6052065439422284
770.0,0.6033577305844211
775.0,0.6015159566725008
780.0,0.5996811861588921
785.0,0.5978533832587422
790.0,0.5960325124471135
795.0,0.5942185384562202
800.0,0.5924114262727102
805.0,0.5906111411349885
810.0,0.5888176485305847
815.0,0.587030914193559
820.0,0.5852509041019498
825.0,0.5834775844752598
830.0,0.5817109217719801
835.0,0.5799508826871539
840.0,0.5781974341499716
845.0,0.5764505433214072
850.0,0.574710177591887
855.0,0.5729763045789911
860.0,0.5712488921251918
865.0,0.5695279082956217
870.0,0.5678133213758748
875.0,0.56610509986984
880.0,0.564403212497563
885.0,0.5627076281931407
890.0,0.5610183161026431
895.0,0.5593352455820655
900.0,0.5576583861953079
905.0,0.5559877077121831
910.0,0.5543231801064499
915.0,0.552664773553876
920.0,0.5510124584303249
925.0,0.5493662053098686
930.0,0.5477259849629251
935.0,0.5460917683544229
940.0,0.5444635266419856
945.0,0.5428412311741445
950.0,0.541224853488571
955.0,0.5396143653103345
960.0,0.5380097385501795
965.0,0.5364109453028293
970.0,0.5348179578453071
975.0,0.5332307486352804
980.0,0.5316492903094254
985.0,0.5300735556818136
990.0,0.5285035177423155
995.0,0.5269391496550275
1000.0,0.5253804247567152
1005.0,0.5238273165552785
1010.0,0.5222797987282328
1015.0,0.5207378451212118
1020.0,0.5192014297464849
1025.0,0.5176705267814948
1030.0,0.5161451105674132
1035.0,0.5146251556077117
1040.0,0.5131106365667503
1045.0,0.5116015282683839
1050.0,0.5100978056945843
1055.0,0.5085994439840776
1060.0,0.5071064184309991
1065.0,0.5056187044835629
1070.0,0.5041362777427468
1075.0,0.5026591139609935
1080.0,0.5011871890409249
1085.0,0.49972047903407296
1090.0,0.49825896013962384
1095.0,0.4968026087031773
1100.0,0.4953514012155189
1105.0,0.4939053143114066
1110.0,0.492464324768372
1115.0,0.4910284095055334
1120.0,0.4895975455824227
1125.0,0.4881717101978255
1130.0,0.48675088068863465
1135.0,0.4853350345287145
1140.0,0.48392414932777983
1145.0,0.48251820283028557
1150.0,0.48111717291432926
1155.0,0.47972103759056545
1160.0,0.47832977500113155
1165.0,0.4769433634185854
1170.0,0.47556178124485443
1175.0,0.474185007010196
1180.0,0.4728130193721687
1185.0,0.47144579711461476
1190.0,0.4700833191466529
1195.0,0.4687255645016832
1200.0,0.4673725123364
1205.0,0.4660241419298173
1210.0,0.46468043268230375
1215.0,0.4633413641146274
1220.0,0.46200691586701076
1225.0,0.4606770676981954
1230.0,0.459351799484516
1235.0,0.4580310912189852
1240.0,0.45671492301038624
1245.0,0.4554032750823754
1250.0,0.4540961277725946
1255.0,0.45279346153179184
1260.0,0.45149525692295084
1265.0,0.45020149462042997
1270.0,0.44891215540910906
1275.0,0.44762722018354595
1280.0,0.44634666994714056
1285.0,0.44507048581130765
1290.0,0.44379864899465715
1295.0,0.4425311408221845
1300.0,0.4412679427244672
1305.0,0.4400090362368692
1310.0,0.43875440299875573
1315.0,0.4375040247527121
1320.0,0.43625788334377325
1325.0,0.43501596071865894
1330.0,0.4337782389250177
1335.0,0.4325447001106771
1340.0,0.43131532652290216
1345.0,0.43009010050766033
1350.0,0.42886900450889337
1355.0,0.42765202106779787
1360.0,0.42643913282210977
1365.0,0.4252303225053987
1370.0,0.42402557294636706
1375.0,0.4228248670681573
1380.0,0.4216281878876637
1385.0,0.42043551851485317
1390.0,0.4192468421520905
1395.0,0.4180621420934713
1400.0,0.41688140172415966
1405.0,0.4157046045197342
1410.0,0.41453173404553806
1415.0,0.41336277395603643
1420.0,0.4121977079941795
1425.0,0.4110365199907712
1430.0,0.409879193863844
1435.0,0.40872571361803967
1440.0,0.4075760633439953
1445.0,0.4064302272177353
1450.0,0.40528818950006884
1455.0,0.40414993453599285
1460.0,0.40301544675410045
1465.0,0.4018847106659948
1470.0,0.4007577108657079
1475.0,0.39963443202912585
1480.0,0.3985148589134176
1485.0,0.39739897635647
1490.0,0.3962867692763278
1495.0,0.3951782226706383
1500.0,0.3940733216161012
