pore_diameter_left_um,pore_diameter_right_um,pore_diameter_center_um,normalized_volume_weighted_frequency,mapped_t2_left_ms,mapped_t2_right_ms,mapped_t2_center_ms
7.432502,7.750040841956673,7.589610929285154,0.003543339495204677,228.85079970542074,237.85281648588844,233.31205618141146
7.750040841956673,8.081145898379374,7.913861937275049,0.004152434148669999,237.85281648588844,247.1773496636799,242.47420479680736
8.081145898379374,8.426396758756447,8.251965923653703,0.007917232453498521,247.1773496636799,256.8334421326908,251.96338351333938
8.426396758756447,8.786397774382543,8.604514729326803,0.010469502190406476,256.8334421326908,266.8301903603083,261.7886641280025
8.786397774382543,9.161779116257476,8.972125480423752,0.003901669603213223,266.8301903603083,277.17672669576206,271.95916335650685
9.161779116257476,9.553197878181686,9.355441668558475,0.01650516814379968,277.17672669576206,287.88220012394163,282.48402437082774
9.553197878181686,9.961339226979273,9.755134277242236,0.021148808006455657,287.88220012394163,298.9557554154118,293.3723967569578
9.961339226979273,10.386917601861997,10.17190295642017,0.017998765547282723,298.9557554154118,310.406510628911,304.6334148462407
10.386917601861997,10.830677965033729,10.606477247187575,0.016279047351219378,310.406510628911,322.2435329292226,316.2761743797388
10.830677965033729,11.293397105724507,11.059617858829757,0.01185886451818177,322.2435329292226,334.47581269104074,328.30970747224507
11.293397105724507,11.775884999936789,11.532118000420859,0.0038760268958099647,334.47581269104074,347.112235868372,340.7429558508685
11.775884999936789,12.278986228284243,12.02480476931259,0.02027163151441676,347.112235868372,360.1615546191817,353.5847423526594
12.278986228284243,12.803581454404778,12.538540598943396,0.009370201207506817,360.1615546191817,373.63235618644455,366.84374067654517
12.803581454404778,13.350588966535902,13.074224768502342,0.024974548829008233,373.63235618644455,387.5330300495544,380.52844339696435
13.350588966535902,13.9209662849508,13.632794977090445,0.025144056144981122,387.5330300495544,401.8717333741753,394.6471282600505
13.9209662849508,14.515711838068876,14.215228985134852,0.017116927044170428,401.8717333741753,416.65635480411083,409.2078227980239
14.515711838068876,15.135866710174813,14.822546325929197,0.012862255684851177,416.65635480411083,431.8944766556054,424.21826731362233
15.135866710174813,15.782516463805488,15.45581009029612,0.014257278986496105,431.8944766556054,447.5933355926249,439.6858763038891
15.782516463805488,16.456793039994622,16.116128787495917,0.022059619383942936,447.5933355926249,463.75978188104887,455.6176984114109
16.456793039994622,17.15987673970174,16.804658285638812,0.011444254229348996,463.75978188104887,480.40023734025533,472.02037501107014
17.15987673970174,17.8929982898936,17.522603834997476,0.01872341871538962,480.40023734025533,497.5206521321499,488.9000975614595
17.8929982898936,18.65744099789497,18.271222177761548,0.030381471608489072,497.5206521321499,515.1264605501732,506.262563872149
18.65744099789497,19.454542997779605,19.051823747927223,0.015540408040401072,515.1264605501732,533.222535993986,524.1129334608495
19.454542997779605,20.285699592733927,19.8657749651727,0.017733015185453976,533.222535993986,551.8131453392105,542.4557821979628
20.285699592733927,21.152365697493497,20.714500626734957,0.018188254130377262,551.8131453392105,570.9019029354898,561.2950564598281
21.152365697493497,22.056058385127645,21.59948640147464,0.038648041283584254,570.9019029354898,590.4917244899714,580.6340270358779
22.056058385127645,22.998359542630485,22.522281430494903,0.02385992950138254,590.4917244899714,610.584781116773,600.4752430586009
22.998359542630485,23.980918639966756,23.48450103886656,0.03256375606663886,610.584781116773,631.1824538556926,620.8204862483427
23.980918639966756,25.005455617419607,24.487829563206276,0.03289844159131026,631.1824538556926,652.2852889849886,641.6707257871565
25.005455617419607,26.073763896294537,25.53402330005733,0.04386880769683771,652.2852889849886,673.8929544730711,663.0260741567544
26.073763896294537,27.1877135182497,26.62491358023417,0.03975600246576319,673.8929544730711,696.0041979319551,684.8857442946894
27.1877135182497,28.349254418747925,27.762409974512174,0.07694874435284274,696.0041979319551,718.6168064508838,707.2480084397282
28.349254418747925,29.56041984036024,28.948503636274125,0.047845072801649596,718.6168064508838,741.7275687011632,730.1101590515367
29.56041984036024,30.82332989189618,30.18527078696457,0.060355992168320355,741.7275687011632,765.3322397125114,753.4684722008006
30.82332989189618,32.14019525959084,31.47487635045333,0.10678372926583189,765.3322397125114,789.4255087266308,777.3181738332974
32.14019525959084,33.513321076844825,32.81957774266991,0.08833105621350461,789.4255087266308,814.0009705348521,801.6534093147533
33.513321076844825,34.94511095929133,34.221728823142456,0.15936935421717446,814.0009705348521,839.0511007031771,826.4672166621859
34.94511095929133,36.43807121225335,35.68378401535846,0.13634030955609183,839.0511007031771,864.5672350794782,851.7515038614195
36.43807121225335,37.99481521795611,37.20830260315958,0.17918407996108635,864.5672350794782,890.5395539637273,877.4970306592725
37.99481521795611,39.61806801017435,38.79795321069131,0.1600550405446544,890.5395539637273,916.9570713026952,903.6933952022792
39.61806801017435,41.31067104432239,40.45551847374971,0.2672000946187167,916.9570713026952,943.8076292454202,930.3290258715315
41.31067104432239,43.075587171336856,42.183899910702074,0.292564274875178,943.8076292454202,971.077898364853,957.391178635214
43.075587171336856,44.91590582405839,43.98612300150792,0.32486193297099103,971.077898364853,998.7533838144885,984.8659402066487
44.91590582405839,46.83484842519141,45.86534248373108,0.3866556026765517,998.7533838144885,1026.8184376466722,1012.73823725627
46.83484842519141,48.835774026308165,47.824847874813386,0.33864067366647177,1026.8184376466722,1055.256277471847,1040.991851881153
48.835774026308165,50.92218518776792,49.86806923027651,0.41732912376417286,1055.256277471847,1084.0490115857497,1069.609443485801
50.92218518776792,53.09773410984382,51.998583147931335,0.4837620836798469,1084.0490115857497,1113.1776706349228,1098.5725771733983
53.09773410984382,55.36622902579043,54.2201190286054,0.6246867689317798,1113.1776706349228,1142.6222458305813,1127.861758688143
55.36622902579043,57.73164086804188,56.53656560434751,0.6453170445623816,1142.6222458305813,1172.361733657506,1157.4564758873432
57.73164086804188,60.19811021921012,58.95197774553658,0.8459846165858899,1172.361733657506,1202.3741869591952,1187.335246657437
60.19811021921012,62.769954560050934,61.47058355881093,0.7402249252008869,1202.3741869591952,1232.636772213818,1217.4756731219163
62.769954560050934,65.45167582708478,64.09679178824238,0.7952718957488615,1232.636772213818,1263.1258327486157,1247.8545019222065
65.45167582708478,68.24796829310178,66.83519953271075,0.9200857119073478,1263.1258327486157,1293.8169575743639,1278.4476902859633
68.24796829310178,71.16372678434566,69.69060029298772,1.0,1293.8169575743639,1324.6850554573675,1309.2304775320194
71.16372678434566,74.20405524876074,72.66799236261657,0.4538611516653102,1324.6850554573675,1355.7044337853665,1340.1774615984637
74.20405524876074,77.3742756902999,75.77258757727532,0.969107343170212,1355.7044337853665,1386.8488817266457,1371.26268012111
77.3742756902999,80.67993748493302,79.00982043793904,0.6776509941159248,1386.8488817266457,1418.091757129718,1402.4596955350007
80.67993748493302,84.12682709466367,82.385357623811,0.9244999211152404,1418.091757129718,1449.4060765650138,1433.7416836225202
84.12682709466367,87.72097819655761,85.90510791167522,0.5823654880780522,1449.4060765650138,1480.7646078709813,1465.081524889139
87.72097819655761,91.46868224451369,89.57523251903308,0.6652902715410641,1480.7646078709813,1512.1399645356005,1496.4518981124927
91.46868224451369,95.3764994822656,93.40215588913019,0.3983649393662388,1512.1399645356005,1543.504701221149,1527.8253753831568
95.3764994822656,99.45127042689232,97.39257693675196,0.3771838398417809,1543.504701221149,1574.8314097255382,1559.1745179365917
99.45127042689232,103.70012784293816,101.55348077447346,0.5715732384305849,1574.8314097255382,1606.0928146679921,1590.471972065671
103.70012784293816,108.13050922810365,105.89215093988956,0.16800023075799173,1606.0928146679921,1637.2618681903527,1621.6905644021908
108.13050922810365,112.75016983236277,110.41618214522977,0.5080429960756437,1637.2618681903527,1668.3118429777865,1652.8033958637782
112.75016983236277,117.56719623329577,115.13349357167453,0.0,1668.3118429777865,1699.2164229239158,1683.7839335795213
117.56719623329577,122.59002049140071,120.05234273164459,0.145577993282385,1699.2164229239158,1729.9497907949942,1714.606100133135
122.59002049140071,127.82743491016359,125.1813399233294,0.459626456198796,1729.9497907949942,1760.4867122851012,1745.2443594960284
127.82743491016359,133.28860742672208,130.52946330275654,0.4233667872329809,1760.4867122851012,1790.802615898765,1775.6737990636325
133.28860742672208,138.9830976600646,136.1060745997846,0.31802235636758414,1790.802615898765,1820.8736681480884,1805.8702072560009
138.9830976600646,144.92087364485783,141.92093550553125,0.5494707046426587,1820.8736681480884,1850.6768436074647,1835.8101461971698
144.92087364485783,151.1123292801928,147.98422475992152,0.8990404837211562,1850.6768436074647,1880.1899894292121,1865.4710190460062
151.1123292801928,157.5683025237932,154.3065559692668,0.181615471675077,1880.1899894292121,1909.3918839870425,1894.831131613327
157.5683025237932,164.30009436353774,160.89899618506539,0.0,1909.3918839870425,1938.2622893799705,1923.8697479648522
164.30009436353774,171.31948859949904,167.77308527654463,0.0,1938.2622893799705,1966.7819975960356,1952.567139775908
171.31948859949904,178.63877247113373,174.94085613085613,0.0,1966.7819975960356,1994.9328702020757,1980.904629270749
178.63877247113373,186.2707581657284,182.41485571628516,0.0,1994.9328702020757,2022.6978714915847,2008.8646256458205
186.2707581657284,194.22880524574757,190.20816704534275,0.0,2022.6978714915847,2050.061095086563,2036.4306549412274
194.22880524574757,202.52684403434964,198.33443207618689,0.0,2050.061095086563,2077.0077840504255,2063.5873833872965
202.52684403434964,211.17940000000002,206.80787559246272,0.13677591223958657,2077.0077840504255,2103.5243446264917,2090.3206343125203
