time_ms,fit_amplitude,residual
5.0,0.9748646615072727,-0.0009120660300681038
10.0,0.9710283210330517,-0.0007129683231328343
17.5,0.9653488923795779,-0.00044883865543865475
27.5,0.9579080051021835,-0.00016247581167250225
40.0,0.9488021075055627,0.00011201515371417337
60.0,0.9346371418140964,0.000391820228239359
90.0,0.9141936241580901,0.0005315112683039747
137.5,0.8834300330435704,0.000384075386497873
212.5,0.8379465071176715,-0.00020165582254250136
330.0,0.7724424278180089,-0.0008552491211543112
510.0,0.6827976547919874,-0.0006813752905887593
787.5,0.5653849683964678,0.0016360153436341118
1220.0,0.42251221538093103,-0.000619758171685858
