fit_time_ms,fit_amplitude,residual
5.0,0.9719378264904479,-0.0013546930743977281
10.0,0.9676563814668993,-0.0011324342634202456
17.5,0.9613287935182413,-0.0008262259885375434
27.5,0.9530607028778499,-0.00047827053944249354
40.0,0.9429809856742947,-0.0001171575768417199
60.0,0.9273969855404871,0.00030827241616493417
90.0,0.9051373910641867,0.0006464569513392471
137.5,0.8722032105468537,0.0007315684910523812
212.5,0.8247406404574136,0.00024360239916632054
330.0,0.7585617112433836,-0.0006451238841953533
510.0,0.6707957052302775,-0.00096319227874897
787.5,0.5584887488431323,0.0012741935706752638
1220.0,0.423789694763387,-0.00040169499905923223
