time_ms,average_normalized_signal
0.0,1.0
5.0,0.9961347598619564
10.0,0.9922958218416376
15.0,0.9884820767324798
20.0,0.9846926587509028
25.0,0.980926856472356
30.0,0.9771840637663676
35.0,0.9734637505755054
40.0,0.9697654443228572
45.0,0.9660887174023782
50.0,0.9624331783653984
55.0,0.9587984654754116
60.0,0.9551842418512768
65.0,0.9515901917175386
70.0,0.9480160174513712
75.0,0.9444614372180332
80.0,0.9409261830506048
85.0,0.937409999271286
90.0,0.9339126411793448
95.0,0.9304338739499846
100.0,0.9269734717020042
105.0,0.923531216701908
110.0,0.9201068986793518
115.0,0.9167003142341984
120.0,0.9133112663195296
125.0,0.9099395637880996
130.0,0.9065850209921236
135.0,0.903247457428196
140.0,0.8999266974206225
145.0,0.8966225698376307
150.0,0.8933349078358807
155.0,0.8900635486294456
160.0,0.8868083332800775
165.0,0.8835691065060491
170.0,0.8803457165072955
175.0,0.8771380148049205
180.0,0.8739458560934011
185.0,0.8707690981040797
190.0,0.867607601478707
195.0,0.8644612296519905
200.0,0.861329848742217
205.0,0.858213327449151
210.0,0.8551115369585147
215.0,0.8520243508524225
220.0,0.8489516450252379
225.0,0.8458932976043688
230.0,0.8428491888755786
235.0,0.8398192012124328
240.0,0.8368032190095509
245.0,0.8338011286193567
250.0,0.8308128182920569
255.0,0.8278381781186117
260.0,0.8248770999764746
265.0,0.8219294774778979
270.0,0.8189952059206407
275.0,0.8160741822408966
280.0,0.8131663049683131
285.0,0.8102714741829525
290.0,0.8073895914740784
295.0,0.8045205599006541
300.0,0.8016642839534487
305.0,0.7988206695186555
310.0,0.7959896238429358
315.0,0.7931710554998058
320.0,0.7903648743572932
325.0,0.7875709915467948
330.0,0.7847893194330692
335.0,0.7820197715853054
340.0,0.7792622627492145
345.0,0.7765167088200895
350.0,0.7737830268167868
355.0,0.7710611348565837
360.0,0.7683509521308723
365.0,0.7656523988816489
370.0,0.7629653963787586
375.0,0.7602898668978675
380.0,0.7576257336991258
385.0,0.7549729210064925
390.0,0.7523313539876902
395.0,0.7497009587347677
400.0,0.747081662245244
405.0,0.7444733924038026
410.0,0.7418760779645257
415.0,0.739289648533636
420.0,0.7367140345527305
425.0,0.7341491672824881
430.0,0.7315949787868289
435.0,0.7290514019175096
440.0,0.7265183702991429
445.0,0.7239958183146165
450.0,0.7214836810909044
455.0,0.7189818944852537
460.0,0.7164903950717302
465.0,0.7140091201281188
470.0,0.7115380076231546
475.0,0.7090769962040828
