t2_ms,png_spectrum,png_spectrum_normalized,comsol_spectrum,comsol_spectrum_normalized,extra_comsol_spectrum,extra_comsol_spectrum_normalized
1.0,0.0,0.0,26.74084304353844,0.008318019797635216,27.51239185767629,0.008493344669092268
1.0473708979594496,0.0,0.0,72.34412332774964,0.02250339860650699,74.38227990996265,0.022962537892609398
1.0969857978923836,0.0,0.0,130.02641597171822,0.04044608094469365,133.58940055034563,0.041240355577987914
1.1489510001873091,0.0,0.0,194.02386263218986,0.06035315819925828,199.1713482598582,0.06148614477904075
1.2033778407775895,0.0,0.0,259.51916492476283,0.08072615916391435,266.14903871719446,0.08216281342845186
1.2603829296797275,0.0,0.0,322.5708480513218,0.10033904674816234,330.4542679029579,0.10201446712417636
1.3200884008314178,0.0,0.0,380.0446446033665,0.11821687418938377,388.8592139516762,0.12004464566109257
1.3826221737646558,0.0,0.0,429.54683719575553,0.13361505057968795,438.9077174729948,0.13549510859349786
1.4481182276745337,0.0,0.0,469.3593885030287,0.14599916238308475,478.8481662759119,0.14782511609252816
1.516716888470923,0.0,0.0,498.37667852418497,0.15502529489793168,507.5678019885867,0.15669114875665877
1.5885651294280527,0.0,0.0,516.0436615777658,0.16052079534138836,524.5282590551557,0.16192700786905068
1.6638168860761289,0.0,0.0,522.2952496935993,0.1624654174174201,529.702141073959,0.16352423589234427
1.7426333860096501,0.0,0.0,517.4967247646446,0.16097278589142427,523.5104354597904,0.16161279576228468
1.8251834943190435,0.0,0.0,502.3849790720955,0.1562721188390508,506.76056498317246,0.15644194679151896
1.9116440753857022,0.0,0.0,478.0103825945789,0.14869014486279114,480.5848738543641,0.14836125472160572
2.0022003718155847,0.0,0.0,445.67907582867366,0.13863315266832846,446.37934664622804,0.1378016736546599
2.0970464013232326,0.0,0.0,406.89548863013357,0.1265691109469991,405.7423604320759,0.12525663823878616
2.1963853724165463,0.0,0.0,363.3048887584704,0.11300979749779563,360.413273974521,0.11126310554956352
2.3004301197729182,0.0,0.0,316.6357682781786,0.09849287791297753,312.21066254287047,0.0963824875735911
2.409403560239525,0.0,0.0,268.6418816284565,0.08356387591151244,262.97001284803173,0.08118141702502624
2.5235391704347663,0.0,0.0,221.04375589836476,0.06875797949648142,214.4806995425606,0.06621229137424933
2.643081486974105,0.0,0.0,175.46950150691634,0.05458162949609754,168.42207260943627,0.05199354239917562
2.768286630392066,0.0,0.0,133.39475995491648,0.04149383968183858,126.29849362401275,0.03898958124342784
