time_ms,extra_comsol_signal,extra_comsol_normalized
0.0,88253.1991064634,1.0
4.447523709639762e-06,88253.1969879223,0.9999999759947388
1.3342571128920153e-05,88253.1927508448,0.9999999279842694
3.113266596748007e-05,88253.1842767077,0.9999998319635339
6.67128556445999e-05,88253.1673285059,0.9999996399228829
0.00013787323499884997,88253.1334323911,0.9999992558448535
0.00028019399370734013,88253.0656413151,0.9999984877018663
0.00056483551112433,88252.9300637709,0.9999969514681027
0.0011341185459582993,88252.6589270383,0.9999938792085661
0.00227268461562625,88252.1167264164,0.9999877355148825
0.004549816754962151,88251.0326120317,0.9999754513779259
0.00910408103363387,88248.865496431,0.9999508957173645
0.01821260959097747,88244.5354698687,0.9999018320391507
0.03642966670566467,88235.8905830864,0.9998038765330634
0.07286378093503897,88218.6518342866,0.9996085436842338
0.14573200939378705,88184.3316968842,0.9992196610403196
0.2914684663112841,88116.1387557723,0.9984469645057766
0.582941380146279,87980.9648507483,0.9969153043915531
1.165887207816263,87713.8748868779,0.9938888989289226
1.748833035486253,87449.3140198023,0.9908911507480727
2.618016066984543,87059.1900895523,0.9864706432287998
3.487199098482843,86672.8575997083,0.9820930966496899
5.225565161479423,85912.7631455692,0.9734804405439078
6.977899098482843,85157.4384045496,0.9649218302196698
10.468599098482843,83689.5461235788,0.9482890928703979
13.959299098482843,82254.7624812252,0.9320315106311099
17.449999098482845,80850.7819917721,0.9161229599647548
20.940699098482842,79475.9814953559,0.9005450487917248
24.431399098482842,78129.1184213131,0.8852836975015805
27.922099098482843,76809.1784153399,0.8703274124112134
31.412799098482843,75507.11350239281,0.8555736706077421
34.90349909848285,74227.5548910782,0.8410749484733635
38.394199098482844,72972.190024106,0.8268503664788026
41.88489909848284,71741.0855890911,0.8129006802636914
45.375599098482844,70533.8057309882,0.7992209511396908
48.86629909848284,69349.8829074392,0.7858058813684434
52.35699909848284,68188.730196421,0.7726488205165478
55.84769909848284,67049.775725273,0.7597432886754409
59.33839909848274,65932.4923453959,0.7470833127064195
62.82909909848284,64836.3896849686,0.7346633361897039
66.31979909848285,63761.0022695428,0.7224780848184927
69.81049909848285,62705.8824459096,0.7105224862190543
73.30119909848284,61670.5972730938,0.6987916347224769
76.79189909848284,60654.7271719648,0.6872807760633646
80.28259909848285,59657.8650628482,0.6759852976080845
83.77329909848284,58679.6140987193,0.6649007026695055
87.26399909848284,57719.590445258,0.6540226420078951
90.75469909848285,56777.420648038,0.6433468839984497
94.24539909848284,55852.7407685429,0.6328693048414651
97.73609909848284,54945.1955597028,0.6225858792203123
101.22679909848284,54054.4382917132,0.6124926783277866
104.71749909848283,53180.1305261396,0.6025858673064787
108.20819909848284,52321.9418875402,0.5928617026610233
111.69889909848284,51479.5496578613,0.5833165276621807
115.18959909848184,50652.6384910346,0.5739467691129279
118.68029909848185,49840.9001133986,0.564748933953924
122.17099909848184,49044.0331316719,0.555719607087649
125.66169909848284,48261.7428046591,0.5468554487915958
129.15239909848285,47493.7408577904,0.5381531926168113
132.64309909848285,46739.7452694434,0.5296096429667027
136.13379909848283,45999.4801004331,0.5212216731649815
139.62449909848286,45272.6753169615,0.5129862234495005
143.11519909848283,44559.0666445987,0.5049002993177085
