time_ms,average_normalized_signal,slice_0081_normalized_signal
0.0,1.0,1.0
5.0,0.9954843255622968,0.9954843255622968
10.0,0.9910019645450128,0.9910019645450128
15.0,0.9865513351413002,0.9865513351413002
20.0,0.9821312063150088,0.9821312063150088
25.0,0.9777405771992266,0.9777405771992266
30.0,0.9733786073201294,0.9733786073201294
35.0,0.9690445732885308,0.9690445732885308
40.0,0.9647378404035016,0.9647378404035016
45.0,0.9604578431688116,0.9604578431688116
50.0,0.956204071407706,0.956204071407706
55.0,0.9519760600486584,0.9519760600486584
60.0,0.9477733814101148,0.9477733814101148
65.0,0.9435956392424129,0.9435956392424129
70.0,0.9394424640401914,0.9394424640401914
75.0,0.9353135092955503,0.9353135092955503
80.0,0.9312084484621652,0.9312084484621652
85.0,0.9271269724661468,0.9271269724661468
90.0,0.9230687876437926,0.9230687876437926
95.0,0.9190336140170168,0.9190336140170168
100.0,0.9150211838390412,0.9150211838390412
105.0,0.911031240358586,0.911031240358586
110.0,0.9070635367623738,0.9070635367623738
115.0,0.9031178352643529,0.9031178352643529
120.0,0.8991939063165796,0.8991939063165796
125.0,0.8952915279216835,0.8952915279216835
130.0,0.8914104850307021,0.8914104850307021
135.0,0.8875505690130964,0.8875505690130964
140.0,0.8837115771881403,0.8837115771881403
145.0,0.8798933124087699,0.8798933124087699
150.0,0.8760955826904933,0.8760955826904933
155.0,0.8723182008791989,0.8723182008791989
160.0,0.8685609843526728,0.8685609843526728
165.0,0.8648237547514693,0.8648237547514693
170.0,0.8611063377354362,0.8611063377354362
175.0,0.8574085627627398,0.8574085627627398
180.0,0.8537302628887113,0.8537302628887113
185.0,0.8500712745822001,0.8500712745822001
190.0,0.8464314375574435,0.8464314375574435
195.0,0.8428105946197442,0.8428105946197442
200.0,0.8392085915234513,0.8392085915234513
205.0,0.8356252768409546,0.8356252768409546
210.0,0.8320605018415571,0.8320605018415571
215.0,0.8285141203792258,0.8285141203792258
220.0,0.8249859887883528,0.8249859887883528
225.0,0.8214759657867597,0.8214759657867597
230.0,0.8179839123852558,0.8179839123852558
235.0,0.8145096918031516,0.8145096918031516
240.0,0.811053169389198,0.811053169389198
245.0,0.8076142125474651,0.8076142125474651
250.0,0.8041926906677389,0.8041926906677389
255.0,0.8007884750600586,0.8007884750600586
260.0,0.7974014388930424,0.7974014388930424
265.0,0.7940314571357099,0.7940314571357099
270.0,0.7906784065025122,0.7906784065025122
275.0,0.7873421654013255,0.7873421654013255
280.0,0.7840226138841841,0.7840226138841841
285.0,0.7807196336005485,0.7807196336005485
290.0,0.777433107752914,0.777433107752914
295.0,0.7741629210546129,0.7741629210546129
300.0,0.7709089596896324,0.7709089596896324
305.0,0.7676711112743263,0.7676711112743263
310.0,0.7644492648208845,0.7644492648208845
315.0,0.7612433107024454,0.7612433107024454
