element_id,node_0,node_1,node_2,area_um2,edge_min_um,edge_max_um,edge_mean_um,quality_equilateral_normalized,aspect_edge_ratio
0,698,699,967,167.4564465702022,18.63379409162083,20.437587963848518,19.709939195302272,0.9939329184806737,1.0968022863920566
1,1090,1207,1198,137.079943357628,16.602310288433053,20.262539333459205,18.026183940099457,0.9666153504603887,1.2204650426017072
2,432,1000,1191,166.15460200643565,17.408774585583057,22.787899504556616,19.973249712048982,0.9503029990520637,1.3089892911490875
3,950,1173,108,139.16070284602992,16.33493995559757,18.987272995433703,18.042182491331328,0.9828572623280446,1.1623717654944452
4,970,1179,1207,136.72908199115275,16.196336926416045,21.032639803260807,18.167950535426726,0.9443456379405991,1.2986047338245235
5,703,1089,702,120.92533298323234,15.516589319825776,20.806005900558468,17.335128381741125,0.9110388668066638,1.3408878376367366
6,968,1089,703,214.4093415836461,20.806005900558468,24.711518323518135,22.446740112639713,0.9774259348343114,1.1877108197328174
7,194,1156,1079,135.11278963973677,17.134271385257634,18.603016808750173,17.700809645004068,0.9945657479486949,1.0857197478940512
8,673,674,774,38.892472188416875,6.813990029398791,12.55958903098915,10.299138431725193,0.7996347500515606,1.8432062531352575
9,774,677,673,8.752612781497424,2.580387130234738,7.509132358558415,5.634503172730649,0.5539106359427148,2.9100797591853236
10,1105,983,131,156.30456733662083,16.11282988527534,24.177995976086418,19.92170064540713,0.8851307102250355,1.5005431167731378
11,1140,1042,1186,158.7754872591923,18.447075295414212,20.570862172679423,19.223807936954554,0.9897619312451953,1.1151286501114444
12,1192,1121,1008,141.7355659918007,17.283679041120937,20.212893484432968,18.261914844280668,0.9759200592718051,1.1694786414595475
13,43,1104,1098,139.26219462369465,16.45174482006231,21.291914048881946,18.34648782867764,0.9430058533226211,1.2942040058217548
14,1139,1047,474,170.37483128256062,16.442920373206185,22.939472702904915,20.377651049389616,0.9296793416622179,1.3950972322583823
15,905,1173,1165,143.52699834890274,16.467438452323155,19.460599297542316,18.343858287054392,0.9798466363099227,1.1817623824060444
16,652,653,654,75.91279408887434,11.7376875105141,16.0,13.626338735633793,0.9284539019308221,1.3631305132009954
17,652,654,651,105.1065418948817,13.141328696387276,20.921184578303723,16.687504424897,0.8404980161621682,1.5920144044532751
18,202,1155,201,105.39874723148786,13.17575488555782,20.60682485372338,16.594193246427086,0.8548211829918728,1.56399576591326
19,651,654,655,166.42246208075233,15.999999999999991,24.951523079843344,20.62423588604902,0.8759636893869552,1.55947019249021
20,655,969,651,221.92432186792558,20.871734968410802,24.951523079843344,22.826982197710958,0.9783390601461923,1.1954695245798812
21,1174,1168,1127,200.8166094817266,19.545990540731925,24.9139279481793,21.906829543800303,0.9563755867241538,1.2746311268421582
22,658,650,969,112.71900161170683,14.260120707353368,21.849998900323047,17.31350224597037,0.8384812170398807,1.5322450173269493
23,15,162,736,4.648479051374299,2.675688491072117,5.086097936731562,3.7960928847799953,0.6974058569096868,1.9008557811203286
24,969,655,656,131.06300805646896,14.79262487920478,22.65768854487872,18.394375712884543,0.8675634145768362,1.531688170956766
25,1166,1105,997,251.82739723187055,21.7455127893505,25.95914160239466,24.31381915562372,0.9781743015204366,1.19377003678238
26,614,1120,1122,148.62117386946488,17.333420547380808,20.761059410093957,18.714599368525516,0.973923552439696,1.1977474009439577
27,1179,1206,1207,121.27079361643905,16.196336926416045,17.62550737795403,16.770165576003663,0.9944762212633261,1.0882403507676495
28,480,1047,1139,166.34162524783753,16.442920373206185,22.301949674484696,20.058080460343845,0.9392680413370141,1.3563253466109235
29,1198,1157,1090,138.25755890816157,15.314985902624066,20.262539333459205,18.21372697106764,0.9497633396989765,1.3230530842334909
