fit_time_ms,fit_amplitude,residual
5.0,0.9707025463306804,-0.0002855363598619487
10.0,0.9666313562073834,-0.0003508390377962023
17.5,0.9605587358224412,-0.0004389929740842291
27.5,0.9525252279285589,-0.000548115171098984
40.0,0.9425841397606833,-0.000662914899988043
60.0,0.9269082265225306,-0.0008058306852097852
90.0,0.9039143167667028,-0.0009557633916452701
137.5,0.8687445865006611,-0.0010305724110456493
212.5,0.816156448181027,-0.0009311441028867495
330.0,0.7404886178336798,-0.0003768658036858996
510.0,0.638742432723378,0.0007149044334291421
787.5,0.5100450245569176,0.0024866872924432792
1220.0,0.36158589721260515,-0.0015457587817593321
