time_ms,group_weighted_normalized_signal
0.0,1.0
5.0,0.9962059850397341
10.0,0.9924367444115367
15.0,0.9886912187660704
20.0,0.9849685876353951
25.0,0.9812681818268844
30.0,0.9775894351691525
35.0,0.9739318557038821
40.0,0.9702950073168257
45.0,0.9666784973692779
50.0,0.9630819679904553
55.0,0.9595050897218449
60.0,0.9559475567407015
65.0,0.9524090831838399
70.0,0.9488894002621496
75.0,0.9453882539581302
80.0,0.9419054031626106
85.0,0.9384406181483245
90.0,0.9349936793058288
95.0,0.9315643760864623
100.0,0.928152506110588
105.0,0.9247578744091547
110.0,0.9213802927737816
115.0,0.9180195791959288
120.0,0.9146755573797576
125.0,0.9113480563163894
130.0,0.9080369099096555
135.0,0.9047419566453049
140.0,0.9014630392971051
145.0,0.8982000046644374
150.0,0.8949527033369234
155.0,0.8917209894823682
160.0,0.8885047206549117
165.0,0.8853037576207862
170.0,0.8821179641994571
175.0,0.8789472071182939
180.0,0.8757913558791643
185.0,0.8726502826355866
190.0,0.8695238620792716
195.0,0.8664119713350332
200.0,0.8633144898631965
205.0,0.8602312993687323
210.0,0.8571622837164616
215.0,0.8541073288517373
220.0,0.8510663227260955
225.0,0.8480391552274255
230.0,0.8450257181142525
235.0,0.8420259049537904
240.0,0.8390396110634316
245.0,0.8360667334554186
250.0,0.833107170784414
255.0,0.8301608232977751
260.0,0.8272275927883053
265.0,0.8243073825493137
270.0,0.8214000973318174
275.0,0.8185056433037227
280.0,0.815623928010872
285.0,0.8127548603398133
290.0,0.8098983504821882
295.0,0.8070543099006373
300.0,0.8042226512961232
305.0,0.8014032885765873
310.0,0.798596136826863
315.0,0.7958011122797692
320.0,0.7930181322883173
325.0,0.7902471152989713
330.0,0.7874879808259013
335.0,0.784740649426176
340.0,0.7820050426758498
345.0,0.7792810831468948
350.0,0.7765686943849304
355.0,0.7738678008877197
360.0,0.7711783280843926
365.0,0.7685002023153514
370.0,0.765833350812844
375.0,0.763177701682156
380.0,0.7605331838834053
385.0,0.7578997272139071
390.0,0.7552772622910874
395.0,0.7526657205359144
400.0,0.7500650341568346
405.0,0.7474751361341846
410.0,0.7448959602050635
415.0,0.7423274408486473
420.0,0.7397695132719205
425.0,0.7372221133958189
430.0,0.7346851778417566
435.0,0.7321586439185349
440.0,0.729642449609603
445.0,0.7271365335606694
