group_id,start_index,end_index,representative_index,slice_count,porosity_min,porosity_max,porosity_mean
0,0,7,3,8,0.250484375,0.260303125,0.25468085937499996
1,8,12,10,5,0.241628125,0.250146875,0.24660156250000004
2,13,17,15,5,0.23024375,0.2392734375,0.23462062499999997
3,18,33,25,16,0.21919375,0.2287125,0.2233673828125
4,34,49,41,16,0.2268609375,0.2358671875,0.22984384765625
5,50,53,51,4,0.2380015625,0.2451796875,0.24139609374999998
6,54,57,55,4,0.24811875,0.2568,0.2526421875
7,58,62,60,5,0.259225,0.2672703125,0.26320437500000005
8,63,92,77,30,0.2672078125,0.2772015625,0.27129328124999996
9,93,105,99,13,0.2728109375,0.282765625,0.27956947115384617
10,106,109,107,4,0.261715625,0.2698015625,0.26556640625000005
11,110,127,118,18,0.2499484375,0.2593984375,0.25330772569444443
12,128,171,149,44,0.238909375,0.2488828125,0.24407830255681817
13,172,187,179,16,0.2495796875,0.2584859375,0.255096875
14,188,191,189,4,0.238765625,0.2478484375,0.243049609375
15,192,209,200,18,0.2332609375,0.2425796875,0.23567586805555557
16,210,218,214,9,0.244140625,0.2540796875,0.24973645833333333
17,219,264,241,46,0.2529109375,0.262740625,0.2594260529891304
18,265,283,274,19,0.2494421875,0.2592625,0.2525514802631579
19,284,314,299,31,0.2596796875,0.2688984375,0.2641941532258064
20,315,319,317,5,0.248440625,0.258184375,0.253493125
21,320,339,329,20,0.2371859375,0.246565625,0.24106578124999997
22,340,360,350,21,0.24443125,0.2532953125,0.24997968750000008
23,361,406,383,46,0.238625,0.2476359375,0.24328274456521742
24,407,411,409,5,0.2495671875,0.2585046875,0.25402312499999996
25,412,425,418,14,0.2571140625,0.2670546875,0.26305691964285716
26,426,434,430,9,0.24545,0.255415625,0.24947465277777775
27,435,453,444,19,0.242340625,0.2513125,0.24579588815789477
28,454,483,468,30,0.24733125,0.2561953125,0.2521872916666667
29,484,518,501,35,0.2382453125,0.24774375,0.2424688392857143
30,519,534,526,16,0.248215625,0.2570171875,0.25033457031249995
31,535,575,555,41,0.2528578125,0.262778125,0.25927065548780487
32,576,591,583,16,0.251065625,0.2609140625,0.25514970703125
33,592,617,604,26,0.2585875,0.267240625,0.2609481370192308
34,618,624,621,7,0.268840625,0.278190625,0.2735602678571429
35,625,640,632,16,0.271021875,0.280909375,0.278360546875
36,641,646,643,6,0.259959375,0.2695609375,0.2652625
37,647,683,665,37,0.248803125,0.257659375,0.25427618243243233
38,684,716,700,33,0.2429203125,0.2521765625,0.24583802083333336
39,717,721,719,5,0.2532234375,0.261246875,0.25687781249999997
40,722,728,725,7,0.26354375,0.27334375,0.2695296875
41,729,762,745,34,0.2717703125,0.2814734375,0.2764494485294118
42,763,772,767,10,0.2609546875,0.2704609375,0.26544468749999994
43,773,778,775,6,0.2502484375,0.2596015625,0.25489635416666667
44,779,798,788,20,0.245909375,0.254940625,0.25040796874999993
45,799,799,799,1,0.2448,0.2448,0.2448
