fit_time_ms,fit_amplitude,residual
5.0,0.9742583638042969,-0.0017067537046674408
10.0,0.9704104680144019,-0.0017091076604157651
17.5,0.9646688448847887,-0.0017073075045754837
27.5,0.9570693844318611,-0.0017025435540667377
40.0,0.9476593221393541,-0.0016854747075747412
60.0,0.9328069430321352,-0.001638077980313457
90.0,0.910989900713784,-0.0015407333054272554
137.5,0.8775468278519485,-0.0013061624621738543
212.5,0.827368416118805,-0.0008620772036890267
330.0,0.7547835758621407,-1.9170027096504505e-05
510.0,0.656399242211944,0.0011979931842379665
787.5,0.5304750194314447,0.0028355206316729165
1220.0,0.3826898995072935,-0.0019004043829135009
